Frame	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X1	Y1	Flag1
1	-24.2729	-0.7346	0	-1.9284	1.4692	0	43.6483	17.4471	0	-6.6982	-15.5262	0
2	-24.2778	-0.6595	0	-1.9262	1.5552	0	43.6219	17.5217	0	-6.6591	-15.4860	0
3	-24.2961	-0.6901	0	-1.9400	1.5198	0	43.6510	17.5176	0	-6.6950	-15.5290	0
4	-24.2753	-0.6810	0	-1.9454	1.4635	0	43.6003	17.4939	0	-6.6997	-15.5057	0
5	-24.1883	-0.6556	0	-1.9299	1.5242	0	43.5986	17.5953	0	-6.7353	-15.4828	0
6	-24.2047	-0.7068	0	-1.9195	1.4799	0	43.5183	17.5886	0	-6.7388	-15.4738	0
7	-24.1739	-0.7223	0	-1.8984	1.5071	0	43.5815	17.6811	0	-6.7854	-15.5384	0
8	-24.1304	-0.6628	0	-1.8945	1.5465	0	43.6906	17.7468	0	-6.8795	-15.4959	0
9	-24.1441	-0.6503	0	-1.8889	1.5229	0	43.6679	17.7094	0	-6.9887	-15.3834	0
10	-24.1298	-0.7025	0	-1.8600	1.4799	0	43.7043	17.7419	0	-7.0550	-15.4038	0
11	-24.1406	-0.6566	0	-1.8352	1.5235	0	43.7632	17.8373	0	-7.0205	-15.3811	0
12	-24.1793	-0.5923	0	-1.7813	1.5804	0	43.7930	17.8498	0	-7.1697	-15.3798	0
13	-24.2117	-0.5944	0	-1.8008	1.5154	0	43.8127	17.7729	0	-7.2478	-15.3888	0
14	-24.1831	-0.6300	0	-1.8254	1.4969	0	43.7925	17.7368	0	-7.3035	-15.3988	0
15	-24.1905	-0.5408	0	-1.9080	1.4845	0	43.7928	17.7437	0	-7.2557	-15.3787	0
16	-24.1810	-0.6122	0	-1.8671	1.4080	0	43.8013	17.9674	0	-7.2466	-15.4040	0
17	-24.1565	-0.5852	0	-1.8639	1.4143	0	44.0156	18.0286	0	-7.2498	-15.4231	0
18	-24.1920	-0.6106	0	-1.8650	1.4206	0	43.9800	18.0284	0	-7.2511	-15.4594	0
19	-24.2421	-0.5546	0	-1.8903	1.4183	0	43.9414	18.0400	0	-7.2281	-15.4335	0
20	-24.3233	-0.5651	0	-1.8629	1.4324	0	43.9580	18.0689	0	-7.2322	-15.3910	0
21	-24.3682	-0.5634	0	-1.8908	1.4245	0	44.0124	18.1060	0	-7.1609	-15.4402	0
22	-24.3100	-0.5691	0	-1.8989	1.4179	0	43.9965	18.1731	0	-7.0758	-15.4655	0
23	-24.2941	-0.5889	0	-1.9371	1.3798	0	44.0810	18.1916	0	-7.1017	-15.4198	0
24	-24.3051	-0.6061	0	-1.8998	1.4604	0	44.1273	18.2446	0	-7.1603	-15.4780	0
25	-24.2793	-0.5670	0	-1.8994	1.4322	0	44.1703	18.2339	0	-7.1148	-15.4557	0
26	-24.2510	-0.6081	0	-1.8913	1.4059	0	44.2760	18.2197	0	-7.1975	-15.4373	0
27	-24.2381	-0.6456	0	-1.8536	1.4396	0	44.2071	18.2639	0	-7.2599	-15.4615	0
28	-24.2189	-0.5891	0	-1.8559	1.4840	0	44.1638	18.2924	0	-7.2440	-15.4190	0
29	-24.2161	-0.5817	0	-1.8595	1.4383	0	44.2174	18.1628	0	-7.2582	-15.3814	0
30	-24.1775	-0.6283	0	-1.8485	1.4666	0	44.0899	18.1739	0	-7.2324	-15.4568	0
31	-24.1864	-0.5918	0	-1.8528	1.5144	0	44.0834	18.2573	0	-7.3389	-15.3939	0
32	-24.1686	-0.5402	0	-1.8379	1.4576	0	44.1280	18.2581	0	-7.2631	-15.3787	0
33	-24.2071	-0.6021	0	-1.8389	1.4897	0	44.1681	18.2038	0	-7.2743	-15.5687	0
34	-24.1816	-0.5389	0	-1.8056	1.4749	0	44.1724	18.2335	0	-7.3029	-15.5895	0
35	-24.1695	-0.4884	0	-1.8375	1.4150	0	44.0911	18.1667	0	-7.3178	-15.6918	0
36	-24.1503	-0.5789	0	-1.8207	1.4424	0	44.0779	18.1684	0	-7.2267	-15.5164	0
37	-24.1672	-0.5641	0	-1.7877	1.5514	0	44.0635	18.1216	0	-7.2259	-15.5238	0
38	-24.1621	-0.5302	0	-1.8104	1.5284	0	44.0497	18.1565	0	-7.2343	-15.4546	0
39	-24.1583	-0.5674	0	-1.8122	1.5418	0	43.9591	18.1185	0	-7.2518	-15.4960	0
40	-24.1623	-0.5782	0	-1.8292	1.5678	0	43.8848	18.1805	0	-7.1814	-15.5360	0
41	-24.1220	-0.5944	0	-1.8817	1.5635	0	43.8873	18.1546	0	-7.1717	-15.4893	0
42	-24.1059	-0.5903	0	-1.9209	1.6132	0	43.9508	18.1520	0	-7.2381	-15.4485	0
43	-24.0925	-0.6229	0	-1.9050	1.6243	0	43.8337	18.1712	0	-7.3501	-15.4044	0
44	-24.0842	-0.6325	0	-1.9073	1.6030	0	43.9620	18.1348	0	-7.2686	-15.3910	0
45	-24.1235	-0.6116	0	-1.9153	1.5707	0	43.8865	18.2259	0	-7.4474	-15.3782	0
46	-24.0414	-0.5587	0	-1.8586	1.6100	0	43.8386	18.2500	0	-7.5128	-15.3941	0
47	-24.0197	-0.5822	0	-1.8453	1.5812	0	43.8732	18.3490	0	-7.5050	-15.3480	0
48	-23.9939	-0.5021	0	-1.8519	1.6494	0	43.8829	18.2976	0	-7.5141	-15.2938	0
49	-24.0138	-0.5568	0	-1.8355	1.6565	0	43.8580	18.4041	0	-7.5504	-15.2627	0
50	-24.0448	-0.5630	0	-1.8693	1.6464	0	43.9154	18.3843	0	-7.5632	-15.1940	0
51	-24.0794	-0.5144	0	-1.8893	1.6192	0	43.8163	18.2592	0	-7.6120	-15.1854	0
52	-24.1036	-0.5509	0	-1.8952	1.5657	0	43.7917	18.3202	0	-7.6171	-15.1111	0
53	-24.1014	-0.5496	0	-1.8785	1.5868	0	43.7505	18.3271	0	-7.6408	-15.0800	0
