Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
1	-13.9340	-12.9990	0	-35.1987	-12.3596	0	8.2356	-9.5883	0	13.7882	6.0938	0	-24.2089	21.9471	0
2	-13.9138	-12.9480	0	-35.1956	-12.2805	0	8.3165	-9.5399	0	13.8356	6.0756	0	-24.2180	22.0109	0
3	-13.9542	-12.9849	0	-35.2314	-12.3438	0	8.3311	-9.4599	0	13.8458	6.0626	0	-24.1849	21.9357	0
4	-13.9447	-13.0423	0	-35.1539	-12.3467	0	8.2624	-9.4990	0	13.9005	6.0808	0	-24.2052	21.9358	0
5	-13.9649	-13.0079	0	-35.0999	-12.3209	0	8.2368	-9.4654	0	13.8775	6.1156	0	-24.1967	21.9627	0
6	-13.9198	-12.9955	0	-35.1224	-12.3238	0	8.2533	-9.4691	0	13.8085	6.0579	0	-24.1889	21.9325	0
7	-13.9779	-13.0885	0	-35.1453	-12.3000	0	8.2422	-9.4617	0	13.7534	5.9427	0	-24.2195	21.8529	0
8	-14.0084	-13.0750	0	-35.1151	-12.2743	0	8.2671	-9.5141	0	13.7163	6.0331	0	-24.2440	21.9031	0
9	-14.0066	-13.0273	0	-35.1370	-12.3001	0	8.1445	-9.4907	0	13.7084	6.0374	0	-24.2374	21.8281	0
10	-13.9912	-13.0519	0	-35.1618	-12.2525	0	8.2208	-9.5116	0	13.7249	6.0760	0	-24.2162	21.8308	0
11	-13.9919	-13.0160	0	-35.0974	-12.2403	0	8.2339	-9.5157	0	13.7317	6.0998	0	-24.1997	21.7985	0
12	-14.0486	-13.0105	0	-35.0763	-12.2122	0	8.2534	-9.4995	0	13.7088	6.0742	0	-24.2541	21.7675	0
13	-14.0660	-12.9912	0	-35.0870	-12.2662	0	8.2664	-9.5121	0	13.7274	6.0762	0	-24.2995	21.7482	0
14	-14.0709	-13.0063	0	-35.0625	-12.3198	0	8.2016	-9.5591	0	13.6826	6.0773	0	-24.2800	21.7838	0
15	-14.1133	-13.0269	0	-35.0577	-12.3166	0	8.2204	-9.5977	0	13.6841	6.0922	0	-24.2760	21.7387	0
16	-14.0938	-12.9604	0	-35.0700	-12.2994	0	8.1876	-9.5627	0	13.6370	6.0842	0	-24.2367	21.7670	0
17	-14.0371	-12.9096	0	-35.0757	-12.4159	0	8.1247	-9.6083	0	13.6552	6.1950	0	-24.1470	21.7495	0
18	-14.0977	-13.0128	0	-35.0882	-12.4910	0	8.1098	-9.6810	0	13.5777	6.1174	0	-24.1448	21.6900	0
19	-14.1155	-12.9258	0	-35.0803	-12.4943	0	8.0833	-9.6510	0	13.5932	6.0902	0	-24.1277	21.7064	0
20	-14.1643	-12.9333	0	-35.0245	-12.4336	0	8.1086	-9.6368	0	13.5896	6.0917	0	-24.1095	21.7157	0
