Frame	X1	Y1	Flag1	X2	Y2	Flag2	X4	Y4	Flag4	X5	Y5	Flag5	X3	Y3	Flag3
1	-35.2429	4.8279	0	2.3708	2.6199	0	20.6457	-23.0486	0	-17.2822	32.7968	0	4.6709	32.1441	0
2	-35.1255	4.7930	0	2.4519	2.6655	0	20.7679	-23.1570	0	-17.2603	32.8297	0	4.6588	31.9968	0
3	-34.9515	4.8792	0	2.4209	2.6537	0	20.9475	-23.4281	0	-17.6099	32.8087	0	4.5598	31.9924	0
4	-34.7583	4.8978	0	2.5635	2.6463	0	21.0574	-23.5919	0	-17.5125	32.5832	0	4.7166	32.1022	0
5	-35.1172	4.8432	0	2.9516	2.2870	0	21.1486	-23.6884	0	-17.5921	32.4800	0	4.7112	32.1177	0
6	-35.1632	5.0077	0	2.9708	2.1165	0	20.5733	-23.8509	0	-17.5669	32.4828	0	4.7640	32.1816	0
7	-35.3075	4.8843	0	2.9496	2.0888	0	20.4229	-23.9793	0	-17.4422	32.5938	0	5.0290	32.0342	0
8	-35.2719	4.9063	0	2.9208	2.0673	0	20.6685	-24.1257	0	-17.2921	32.7446	0	5.2099	32.2385	0
9	-35.2460	4.8402	0	2.7914	2.2017	0	20.8717	-24.1835	0	-17.4740	32.8456	0	5.3487	32.3842	0
10	-35.4328	4.9395	0	2.8676	2.0965	0	20.9345	-24.3465	0	-17.4563	32.2583	0	5.4780	32.4055	0
11	-35.4557	5.2006	0	2.8963	2.0661	0	20.8059	-24.3611	0	-17.5154	32.1874	0	5.3772	32.3726	0
12	-35.4890	5.3002	0	3.1039	2.2077	0	20.6657	-24.3429	0	-17.2839	31.9845	0	5.3349	32.5540	0
13	-35.4513	5.1817	0	3.1941	2.3567	0	20.6536	-24.2660	0	-17.2529	32.1722	0	4.9979	32.6034	0
14	-35.6336	5.2423	0	3.1391	2.2448	0	20.4151	-24.1080	0	-17.1558	32.0492	0	4.9065	32.9045	0
15	-35.5928	5.1252	0	2.9801	2.4705	0	20.3825	-24.6398	0	-17.2431	32.2261	0	4.9860	32.8271	0
16	-35.4987	4.9127	0	3.1127	2.4971	0	20.2729	-24.8471	0	-17.3905	32.0324	0	4.8766	32.9217	0
17	-35.8306	4.8299	0	3.0429	2.2911	0	20.0247	-24.8067	0	-17.2807	32.0194	0	4.8191	32.6351	0
18	-35.7536	4.8616	0	3.2142	2.3657	0	20.0265	-24.8637	0	-17.1917	32.0245	0	4.7006	32.6662	0
19	-35.7111	4.6562	0	2.9657	2.1717	0	20.1030	-24.7313	0	-17.3336	31.7907	0	4.7919	32.7107	0
20	-35.7411	4.5801	0	2.8712	1.8678	0	20.2437	-24.7038	0	-17.6681	31.9261	0	4.8732	32.8399	0
21	-36.0294	4.5951	0	2.8142	1.7852	0	20.4014	-24.6238	0	-17.2719	31.8839	0	5.0622	32.7790	0
22	-35.9471	4.5608	0	2.8876	1.6133	0	20.2732	-24.4040	0	-17.2211	31.8536	0	5.2148	32.6275	0
23	-35.8876	4.5228	0	2.7642	1.4966	0	20.3566	-24.4014	0	-16.8351	31.9501	0	5.1938	32.7995	0
24	-36.2626	4.7160	0	2.9044	1.7079	0	20.6591	-24.2025	0	-16.8143	32.1292	0	5.2943	32.9348	0
25	-35.9316	4.4894	0	2.8990	1.6041	0	20.2207	-24.0108	0	-16.7399	32.1569	0	5.2449	33.0001	0
26	-35.7721	4.3857	0	3.0581	1.4992	0	20.5182	-23.8844	0	-16.9199	32.2725	0	5.2686	32.8953	0
27	-35.6428	4.4182	0	2.9099	1.5501	0	20.5599	-23.9703	0	-16.9822	32.1313	0	5.4568	32.8845	0
28	-35.5515	4.4743	0	2.8593	1.5242	0	20.3299	-23.6722	0	-16.9926	32.2690	0	5.8060	32.7604	0
