Frame	X1	Y1	Flag1	X2	Y2	Flag2	X4	Y4	Flag4	X5	Y5	Flag5	X3	Y3	Flag3
1	-30.5326	5.1675	0	11.3183	-10.3050	0	21.4765	-17.2249	0	33.6724	9.1834	0	-40.5673	-20.9879	0
2	-30.6364	5.0268	0	11.4009	-10.2500	0	21.4781	-17.1963	0	33.7878	9.2520	0	-40.6829	-20.7181	0
3	-30.7853	4.8972	0	11.3787	-10.3483	0	21.4577	-17.2265	0	33.8096	9.1693	0	-40.7190	-20.8109	0
4	-30.6772	4.8337	0	11.3287	-10.3341	0	21.6709	-17.1933	0	33.8167	9.2252	0	-40.6728	-20.8496	0
5	-30.7829	4.7751	0	11.2237	-10.4022	0	21.6042	-17.1472	0	33.8502	9.2067	0	-40.7656	-20.9195	0
6	-30.7754	4.7519	0	11.3274	-10.3906	0	21.6142	-17.1040	0	33.8674	9.1379	0	-40.7401	-21.0138	0
7	-30.8418	4.8082	0	11.3270	-10.3892	0	21.5734	-17.1296	0	33.7274	9.0469	0	-40.7835	-21.0470	0
8	-30.9165	4.7905	0	11.3360	-10.3402	0	21.6314	-17.0796	0	33.7972	9.0156	0	-40.7264	-21.1536	0
9	-30.9051	4.7052	0	11.2722	-10.3285	0	21.5589	-17.1537	0	33.7433	8.9713	0	-40.6765	-21.2357	0
10	-30.9688	4.5241	0	11.2260	-10.3672	0	21.6036	-17.0930	0	33.8333	8.9334	0	-40.7548	-21.3258	0
11	-30.9716	4.5462	0	11.3117	-10.3988	0	21.5778	-17.0137	0	33.7326	8.9119	0	-40.7381	-21.4285	0
12	-31.1076	4.6194	0	11.2826	-10.2944	0	21.6099	-16.9521	0	33.6749	9.1052	0	-40.7017	-21.5347	0
13	-31.0891	4.6521	0	11.1977	-10.3280	0	21.5948	-16.9819	0	33.5864	9.1313	0	-40.6416	-21.3334	0
14	-30.9880	4.7237	0	11.2294	-10.2898	0	21.6340	-16.8679	0	33.5577	8.9352	0	-40.5904	-21.2984	0
15	-31.0597	4.7691	0	11.2154	-10.2864	0	21.6825	-16.9201	0	33.6110	8.9505	0	-40.6809	-21.0999	0
16	-31.0387	4.7274	0	11.2032	-10.3729	0	21.7161	-17.0599	0	33.5895	8.9488	0	-40.9312	-21.4074	0
17	-31.0490	4.7809	0	11.2200	-10.3776	0	21.6271	-17.0449	0	33.6676	8.9740	0	-40.8964	-21.1169	0
18	-31.1000	4.7641	0	11.2831	-10.3609	0	21.5536	-16.9497	0	33.6811	8.9654	0	-40.8865	-20.9739	0
19	-31.0223	4.8442	0	11.1813	-10.2980	0	21.4932	-16.9268	0	33.7574	8.9597	0	-41.0525	-20.8081	0
20	-31.0954	4.8168	0	11.2404	-10.3216	0	21.5740	-17.0159	0	33.8115	9.0952	0	-41.0952	-20.8799	0
21	-31.1571	4.8109	0	11.2176	-10.3642	0	21.4983	-17.1565	0	33.7481	9.2126	0	-41.2180	-21.0587	0
22	-31.1004	4.8904	0	11.1856	-10.3987	0	21.4523	-17.1012	0	33.7967	9.2363	0	-41.0267	-21.0176	0
23	-31.0846	4.7575	0	11.2423	-10.4888	0	21.3909	-17.1706	0	33.8373	9.2653	0	-41.3335	-21.2295	0
24	-31.1889	4.7992	0	11.1952	-10.4892	0	21.4377	-17.1263	0	33.7687	9.2395	0	-41.3459	-21.2384	0
25	-31.1728	4.9153	0	11.1748	-10.3950	0	21.5456	-17.2241	0	33.7917	9.3256	0	-41.4530	-21.2042	0
26	-31.2270	4.9428	0	11.2075	-10.3930	0	21.6335	-17.3268	0	33.7813	9.3263	0	-41.4416	-21.2813	0
27	-31.1414	4.9211	0	11.1853	-10.4262	0	21.5737	-17.2388	0	33.8405	9.2538	0	-41.5680	-21.1992	0
28	-31.0169	4.8791	0	11.1913	-10.2929	0	21.5943	-17.1508	0	33.7242	9.1966	0	-41.3595	-21.0580	0
29	-31.0136	4.9509	0	11.1896	-10.3049	0	21.4892	-17.1866	0	33.7931	9.1217	0	-41.0977	-20.9378	0
30	-31.1556	4.9294	0	11.0967	-10.2426	0	21.6055	-17.1498	0	33.7580	9.0743	0	-41.2016	-20.7636	0
31	-31.0194	4.9817	0	11.0920	-10.1405	0	21.5535	-17.0782	0	33.7424	9.1600	0	-41.2655	-20.5881	0
32	-30.8105	5.0705	0	11.0902	-10.1239	0	21.5723	-17.2202	0	33.8420	9.2088	0	-41.1092	-20.6605	0
33	-30.8264	5.0983	0	11.3124	-10.1396	0	21.5043	-17.2270	0	33.7857	9.1143	0	-40.9249	-20.8273	0
34	-30.8863	5.1754	0	11.2839	-10.2622	0	21.4798	-17.2774	0	33.6969	9.2322	0	-41.0564	-20.8003	0
35	-30.8119	5.1799	0	11.2377	-10.1711	0	21.5476	-17.3499	0	33.6729	9.2018	0	-41.0178	-20.7113	0
36	-30.6806	5.2546	0	11.2812	-10.1808	0	21.5167	-17.3555	0	33.6105	9.1436	0	-40.9725	-20.6735	0
37	-30.7135	5.2293	0	11.1360	-10.2596	0	21.4711	-17.4072	0	33.5856	9.0548	0	-40.8903	-20.6193	0
38	-30.5403	5.3027	0	11.0971	-10.1341	0	21.4803	-17.3416	0	33.6984	9.0544	0	-40.9147	-20.5119	0
39	-30.5384	5.2828	0	11.1102	-10.0361	0	21.4419	-17.3190	0	33.7050	9.0374	0	-40.8382	-20.5691	0
40	-30.6019	5.2522	0	11.0613	-9.9724	0	21.4683	-17.4155	0	33.7239	9.0710	0	-40.9962	-20.6423	0
41	-30.5660	5.2426	0	10.9895	-10.0466	0	21.4909	-17.3235	0	33.7263	9.1122	0	-40.9171	-20.6331	0
42	-30.3527	5.2913	0	10.9305	-10.1090	0	21.4152	-17.2136	0	33.7720	9.1374	0	-40.8716	-20.7649	0
43	-30.1927	5.3845	0	10.8796	-10.1181	0	21.4763	-17.2362	0	33.7309	9.2645	0	-40.8430	-20.8265	0
44	-30.0201	5.4427	0	10.9108	-10.0512	0	21.3893	-17.1917	0	33.6612	9.2102	0	-40.8326	-20.7798	0
45	-30.0933	5.4760	0	10.9813	-10.0577	0	21.4155	-17.1771	0	33.7471	9.2187	0	-40.8249	-20.7247	0
46	-30.2535	5.4560	0	10.9835	-10.0523	0	21.4534	-17.1303	0	33.7854	9.2274	0	-40.8102	-20.7433	0
47	-30.1607	5.4389	0	11.0363	-10.0066	0	21.6139	-17.1056	0	33.8340	9.1019	0	-40.7266	-20.7812	0
48	-30.2046	5.4383	0	11.0663	-10.0422	0	21.4637	-17.2142	0	33.8285	9.0986	0	-40.6890	-20.9601	0
49	-30.3109	5.3991	0	11.1208	-10.0592	0	21.4735	-17.3008	0	33.8545	9.1622	0	-40.4623	-20.9917	0
50	-30.3860	5.3956	0	11.1508	-10.0186	0	21.5555	-17.3463	0	33.9225	9.1797	0	-40.4195	-21.0441	0
51	-30.4253	5.3829	0	11.1264	-10.0593	0	21.4504	-17.3219	0	33.7922	9.3184	0	-40.4201	-20.9922	0
52	-30.3237	5.3452	0	11.1208	-10.0090	0	21.5575	-17.3355	0	33.8529	9.3369	0	-40.3178	-20.9356	0
53	-30.1238	5.3271	0	11.1202	-10.0085	0	21.5194	-17.3278	0	33.8742	9.2818	0	-40.1888	-20.9694	0
54	-30.1214	5.2607	0	11.1591	-9.9745	0	21.5415	-17.2256	0	33.8797	9.1058	0	-40.0173	-20.8801	0
55	-30.1012	5.1816	0	11.2383	-9.9982	0	21.5398	-17.2575	0	33.9238	9.0334	0	-40.0941	-20.7525	0
56	-30.1500	5.1680	0	11.1909	-9.9744	0	21.5169	-17.1848	0	33.8445	9.0438	0	-40.3056	-20.6224	0
57	-30.1997	5.1045	0	11.1061	-9.9657	0	21.5650	-17.2203	0	33.9171	9.0452	0	-40.3850	-20.6721	0
58	-30.3394	5.0927	0	11.1957	-10.0293	0	21.5520	-17.2331	0	33.9525	9.0782	0	-40.2839	-20.6483	0
