Frame	X1	Y1	Flag1	X2	Y2	Flag2	X5	Y5	Flag5	X4	Y4	Flag4	X3	Y3	Flag3
1	-9.3778	-3.9357	0	-37.1481	15.0062	0	13.1908	30.5264	0	39.2116	4.9561	0	29.3006	-25.5736	0
2	-9.4020	-4.0572	0	-37.1539	15.0014	0	13.0409	30.3901	0	39.2359	4.9075	0	29.2147	-25.5736	0
3	-9.4465	-4.0138	0	-37.1691	14.9706	0	13.0000	30.3356	0	39.2961	4.9871	0	29.2601	-25.6808	0
4	-9.4345	-4.0345	0	-37.1339	14.9821	0	13.0877	30.5724	0	39.1747	4.9352	0	29.2401	-25.6646	0
5	-9.3280	-4.0300	0	-37.1314	15.0278	0	12.9788	30.4093	0	39.1519	5.0410	0	29.2596	-25.6203	0
6	-9.2365	-4.1751	0	-37.1430	14.9356	0	13.0939	30.4664	0	39.2958	5.0619	0	29.1869	-25.8676	0
7	-9.1059	-4.1536	0	-37.1939	14.9667	0	13.0169	30.5886	0	39.3052	5.1701	0	29.2503	-25.8305	0
8	-9.1871	-4.1660	0	-37.1708	14.9335	0	13.0693	30.5916	0	39.2541	5.1401	0	29.4050	-25.8295	0
9	-9.2286	-4.2083	0	-37.1478	15.0419	0	12.9384	30.5562	0	39.2781	4.9916	0	29.4608	-25.8305	0
10	-9.2020	-4.2036	0	-37.1482	14.9958	0	12.9268	30.5831	0	39.2547	4.9292	0	29.4097	-25.7963	0
11	-9.4111	-4.1952	0	-37.1423	15.0233	0	12.8363	30.7105	0	39.1479	4.8610	0	29.3558	-25.7570	0
12	-9.3037	-4.3190	0	-37.1798	14.9407	0	12.9383	30.6182	0	39.1022	4.7213	0	29.4017	-25.7828	0
13	-9.3472	-4.2182	0	-37.1137	14.9072	0	12.8594	30.5745	0	39.0886	4.7023	0	29.3373	-25.7708	0
14	-9.2377	-4.1281	0	-37.0985	15.0132	0	12.8318	30.3018	0	39.1173	4.7949	0	29.2791	-25.8137	0
15	-9.1374	-4.0430	0	-37.0523	15.0229	0	12.8559	30.3511	0	39.1063	4.7904	0	29.3865	-25.7804	0
16	-9.0264	-4.2041	0	-37.0665	14.9804	0	12.8547	30.3486	0	39.1547	4.6943	0	29.3315	-25.8079	0
17	-9.1151	-4.2443	0	-37.1140	15.0472	0	12.8459	30.1693	0	39.1995	4.6823	0	29.3596	-25.7521	0
18	-9.2938	-4.3031	0	-37.1262	15.0072	0	12.8964	30.1854	0	39.0988	4.7766	0	29.3622	-25.7758	0
19	-9.3295	-4.2426	0	-37.1354	15.0312	0	12.8928	30.1200	0	39.0346	4.7611	0	29.3412	-25.7860	0
20	-9.4856	-4.4201	0	-37.1501	15.0108	0	12.9015	30.0207	0	38.8190	4.7899	0	29.3591	-25.7217	0
21	-9.5454	-4.3882	0	-37.1880	14.9671	0	12.7602	30.0533	0	38.8314	4.6647	0	29.2691	-25.7331	0
22	-9.4069	-4.3398	0	-37.2093	14.9021	0	12.7175	29.9887	0	38.8971	4.6134	0	29.2522	-25.6213	0
23	-9.3670	-4.3109	0	-37.2270	14.9794	0	12.8693	29.9423	0	38.9597	4.7624	0	29.3199	-25.5690	0
24	-9.3088	-4.3281	0	-37.1360	15.0183	0	12.8671	29.9885	0	38.9201	4.6160	0	29.1116	-25.5392	0
25	-9.4052	-4.3368	0	-37.1227	14.9607	0	13.0954	29.8447	0	38.9092	4.5588	0	29.1227	-25.5361	0
26	-9.3202	-4.3169	0	-37.1604	14.9586	0	12.9182	29.8447	0	38.9628	4.5466	0	29.1170	-25.5260	0
27	-9.3466	-4.3260	0	-37.1698	15.0419	0	12.8828	29.7986	0	39.0452	4.6322	0	29.1510	-25.5323	0
28	-9.3670	-4.4438	0	-37.1585	14.9820	0	13.2096	29.7978	0	38.9821	4.6156	0	29.1340	-25.5139	0
29	-9.1919	-4.4603	0	-37.1225	14.9607	0	13.1910	29.7386	0	38.8789	4.5920	0	29.2134	-25.5653	0
30	-9.2022	-4.4939	0	-37.1071	14.9500	0	13.2139	29.7930	0	38.7568	4.6760	0	29.2355	-25.6296	0
31	-9.1074	-4.5241	0	-37.1217	14.9307	0	13.0608	29.7231	0	38.9447	4.7025	0	29.3114	-25.5751	0
32	-9.1833	-4.5767	0	-37.1616	14.9922	0	13.0691	29.6776	0	38.9794	4.6236	0	29.3427	-25.7193	0
33	-9.1621	-4.5109	0	-37.1339	14.9901	0	13.0162	29.9127	0	38.9824	4.6266	0	29.2440	-25.7331	0
34	-9.0633	-4.5610	0	-37.1432	15.0203	0	12.7498	29.8219	0	39.0457	4.7797	0	29.2778	-25.7705	0
35	-9.1571	-4.5271	0	-37.1801	15.0386	0	12.7990	29.9481	0	38.9962	4.6133	0	29.2390	-25.6390	0
36	-9.1783	-4.5555	0	-37.1760	15.0641	0	12.8079	29.9904	0	39.1040	4.4806	0	29.1606	-25.7011	0
37	-9.0391	-4.4535	0	-37.1734	15.0004	0	12.7760	29.9759	0	39.1360	4.5600	0	29.0238	-25.8366	0
38	-9.1138	-4.5364	0	-37.1939	15.0090	0	12.6968	29.9845	0	39.1239	4.5290	0	29.0606	-25.8177	0
39	-8.9472	-4.4983	0	-37.2177	15.0039	0	12.6371	29.8462	0	38.9930	4.7861	0	29.0773	-25.7968	0
40	-9.0232	-4.4444	0	-37.1816	15.0096	0	12.6410	29.8246	0	38.9152	4.8080	0	29.0277	-25.8551	0
41	-8.9715	-4.4724	0	-37.1364	15.0114	0	12.5364	29.8720	0	38.7710	4.8675	0	29.0001	-25.8982	0
42	-8.9968	-4.4379	0	-37.1558	15.0305	0	12.6518	30.0133	0	38.6249	4.7878	0	29.1166	-25.9232	0
43	-9.1035	-4.3009	0	-37.1695	14.9972	0	12.6878	29.8406	0	38.6819	4.8524	0	29.1040	-25.9801	0
44	-9.0182	-4.4699	0	-37.1856	14.9624	0	12.5437	29.8926	0	38.5769	4.9185	0	29.1250	-25.9797	0
45	-8.9136	-4.3695	0	-37.1974	14.9746	0	12.5967	29.8494	0	38.4670	4.6598	0	29.0043	-25.9200	0
46	-8.8158	-4.4326	0	-37.2190	14.9502	0	12.6722	29.6734	0	38.3312	4.5237	0	29.1889	-25.8920	0
47	-8.7472	-4.4962	0	-37.2013	14.9696	0	12.6774	29.7575	0	38.4585	4.5265	0	29.2476	-25.8124	0
48	-8.6857	-4.3450	0	-37.2085	15.0278	0	12.6631	29.7670	0	38.2396	4.3862	0	29.2627	-25.9106	0
49	-8.6065	-4.2537	0	-37.2957	14.9992	0	12.7443	29.8785	0	38.2746	4.3315	0	29.2082	-25.9503	0
50	-8.7349	-4.4552	0	-37.2748	14.9750	0	12.5617	29.8494	0	38.4067	4.3673	0	29.1610	-25.9440	0
51	-8.7302	-4.5270	0	-37.2458	14.9893	0	12.5870	29.8930	0	38.2933	4.4320	0	29.0773	-25.8584	0
52	-8.7353	-4.4907	0	-37.1907	15.0018	0	12.5345	30.0127	0	38.2549	4.3721	0	28.9705	-25.8941	0
53	-8.8145	-4.6207	0	-37.1607	14.9678	0	12.3429	29.9180	0	38.4075	4.3312	0	28.9978	-25.9066	0
54	-8.9663	-4.8447	0	-37.1812	14.9527	0	12.2919	29.7769	0	38.4343	4.4932	0	29.0725	-25.8625	0
55	-8.8795	-4.7794	0	-37.1861	15.0242	0	12.5105	29.7961	0	38.1996	4.4604	0	29.1451	-25.8580	0
56	-8.9685	-4.7517	0	-37.1989	14.9503	0	12.6279	29.9623	0	38.1786	4.5798	0	29.1074	-25.6606	0
57	-9.1759	-4.6685	0	-37.1981	14.9786	0	12.4803	29.7503	0	38.2136	4.5814	0	29.1148	-25.6837	0
58	-9.0737	-4.5881	0	-37.2150	15.0148	0	12.4369	29.8774	0	38.1880	4.5108	0	29.1119	-25.7316	0
59	-8.8743	-4.5571	0	-37.1872	15.0027	0	12.4740	29.7393	0	38.1654	4.5380	0	29.1133	-25.9368	0
60	-8.8889	-4.5404	0	-37.2635	14.9225	0	12.3085	29.6399	0	38.2221	4.3971	0	29.1773	-25.9802	0
61	-8.9296	-4.6108	0	-37.2674	14.9819	0	12.0991	29.6585	0	38.2459	4.4030	0	29.1463	-25.9166	0
62	-8.7683	-4.6240	0	-37.2116	15.0565	0	12.1694	29.7489	0	38.2355	4.2714	0	29.0757	-25.9237	0
63	-8.8954	-4.5274	0	-37.2014	15.0166	0	12.2804	29.8618	0	38.2176	4.2865	0	29.0875	-26.0049	0
64	-9.0295	-4.5609	0	-37.2376	15.0303	0	12.2285	29.7942	0	38.2692	4.5378	0	29.0582	-25.9893	0
65	-9.0821	-4.4941	0	-37.2182	15.0498	0	11.9978	29.8484	0	38.1961	4.5607	0	29.0612	-25.9942	0
66	-9.0227	-4.6305	0	-37.2133	15.0540	0	12.0393	29.7012	0	38.3059	4.6295	0	29.1064	-26.0604	0
67	-9.1194	-4.5538	0	-37.1869	15.0610	0	12.0561	29.7193	0	38.3450	4.7477	0	29.1021	-26.0031	0
68	-9.0762	-4.5196	0	-37.2427	15.0519	0	11.9156	29.7497	0	38.3212	4.8382	0	29.0558	-25.9565	0
69	-9.1079	-4.5582	0	-37.2162	15.0952	0	11.9360	29.6859	0	38.4346	4.9701	0	29.2286	-25.9741	0
70	-9.0386	-4.5854	0	-37.2852	15.0282	0	11.9213	29.5817	0	38.4365	4.9110	0	29.1048	-26.0234	0
71	-9.0326	-4.6176	0	-37.1983	15.0028	0	11.9868	29.6675	0	38.4687	4.6669	0	29.1336	-26.0942	0
72	-8.8762	-4.6293	0	-37.2009	14.9810	0	12.0746	29.7196	0	38.3653	4.5889	0	29.1944	-26.0726	0
73	-8.8486	-4.5228	0	-37.2685	15.0228	0	11.8217	29.5508	0	38.3766	4.4832	0	29.2356	-26.0303	0
74	-8.7960	-4.5677	0	-37.2294	14.9878	0	11.9554	29.6193	0	38.3498	4.5066	0	29.2767	-25.9702	0
