Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
1	7.6918	-11.4968	0	-11.2014	-13.3489	0	-24.1530	21.9558	0
2	7.8123	-11.3855	0	-11.2921	-13.2652	0	-24.1370	22.0259	0
3	7.8261	-11.3048	0	-11.3026	-13.3463	0	-24.1080	22.0455	0
4	7.7831	-11.4134	0	-11.2117	-13.4482	0	-23.9981	21.9633	0
5	7.6776	-11.4216	0	-11.2214	-13.4145	0	-24.0394	21.9835	0
6	7.7283	-11.3836	0	-11.1982	-13.3759	0	-24.0586	22.0337	0
7	7.6318	-11.4098	0	-11.1829	-13.4169	0	-24.1006	21.9246	0
8	7.6691	-11.4778	0	-11.1342	-13.4325	0	-24.0926	21.9782	0
9	7.6538	-11.5070	0	-11.1559	-13.5060	0	-24.1628	22.0078	0
10	7.6476	-11.5852	0	-11.0730	-13.5141	0	-24.1775	21.9534	0
11	7.6164	-11.5912	0	-11.0925	-13.5636	0	-24.2382	22.0194	0
12	7.5988	-11.5962	0	-11.0914	-13.4915	0	-24.2468	21.9962	0
13	7.6379	-11.6012	0	-11.1562	-13.5187	0	-24.2250	22.1209	0
14	7.6168	-11.6214	0	-11.1463	-13.5130	0	-24.2673	22.1127	0
15	7.6979	-11.6146	0	-11.0794	-13.4933	0	-24.2475	22.1638	0
16	7.6806	-11.6242	0	-11.0712	-13.4874	0	-24.1683	22.1940	0
17	7.5391	-11.7092	0	-11.1665	-13.6018	0	-24.2298	22.0987	0
18	7.5608	-11.6990	0	-11.2276	-13.6706	0	-24.1817	22.0246	0
19	7.6265	-11.6949	0	-11.1714	-13.6280	0	-24.1990	22.1026	0
20	7.5507	-11.7280	0	-11.1691	-13.6318	0	-24.1403	22.0337	0
21	7.5525	-11.7693	0	-11.1988	-13.5981	0	-24.1186	22.0687	0
22	7.5599	-11.8349	0	-11.2667	-13.5000	0	-24.0817	22.1122	0
23	7.5727	-11.7667	0	-11.2186	-13.4725	0	-24.0473	22.1316	0
24	7.5007	-11.7507	0	-11.2493	-13.4860	0	-24.1891	22.1343	0
25	7.5128	-11.7034	0	-11.2918	-13.4380	0	-24.3226	22.1693	0
26	7.3801	-11.7071	0	-11.3595	-13.4692	0	-24.3706	22.3007	0
27	7.3395	-11.7621	0	-11.4383	-13.5082	0	-24.2621	22.1887	0
28	7.3792	-11.7378	0	-11.3706	-13.4108	0	-24.1332	22.2132	0
29	7.3738	-11.6461	0	-11.3709	-13.4476	0	-24.2064	22.2919	0
30	7.3336	-11.6229	0	-11.3458	-13.3007	0	-24.1836	22.2872	0
31	7.3840	-11.6282	0	-11.3369	-13.3535	0	-24.1259	22.3346	0
32	7.3937	-11.6928	0	-11.4523	-13.2792	0	-24.1443	22.3306	0
33	7.4503	-11.6827	0	-11.4967	-13.3117	0	-24.0246	22.3333	0
34	7.4212	-11.7672	0	-11.4703	-13.2474	0	-23.9732	22.2961	0
35	7.4797	-11.7773	0	-11.5454	-13.2760	0	-23.8909	22.2485	0
36	7.4171	-11.8593	0	-11.5446	-13.2982	0	-23.8867	22.1443	0
37	7.4838	-11.8168	0	-11.5269	-13.1798	0	-23.8284	22.1827	0
38	7.4487	-11.8939	0	-11.6413	-13.2186	0	-23.7916	22.1636	0
39	7.3930	-11.8151	0	-11.5838	-13.1907	0	-23.7561	22.1570	0
40	7.4158	-11.7476	0	-11.6479	-13.1226	0	-23.7324	22.1313	0
41	7.2834	-11.8270	0	-11.6385	-13.1670	0	-23.7179	22.1508	0
42	7.2274	-11.8624	0	-11.6722	-13.1538	0	-23.7527	22.1778	0
43	7.2161	-11.8716	0	-11.6797	-13.0520	0	-23.6945	22.1708	0
44	7.2131	-11.9565	0	-11.7233	-13.0443	0	-23.7981	22.2745	0
45	7.1725	-12.0083	0	-11.7425	-13.0507	0	-23.7822	22.2189	0
46	7.1561	-11.9916	0	-11.7026	-13.0541	0	-23.8722	22.2426	0
47	7.1431	-11.9560	0	-11.7913	-13.0302	0	-23.9566	22.2347	0
48	7.0436	-12.0150	0	-11.7496	-13.0814	0	-23.8545	22.1594	0
49	7.0253	-11.9796	0	-11.7222	-13.1649	0	-23.9010	22.2238	0
50	6.9914	-11.9024	0	-11.7416	-13.0238	0	-23.8437	22.1991	0
51	6.9770	-11.8901	0	-11.7285	-12.8884	0	-23.8505	22.1389	0
52	7.0257	-11.8976	0	-11.7410	-12.9549	0	-23.8985	22.1182	0
53	7.0427	-11.8875	0	-11.6715	-12.9508	0	-23.9406	22.1155	0
54	7.1419	-11.9050	0	-11.6200	-12.9605	0	-23.9892	22.1557	0
55	7.2070	-11.9419	0	-11.6321	-12.9159	0	-23.9965	22.1083	0
56	7.1893	-11.8981	0	-11.5073	-12.9880	0	-24.0361	22.1270	0
57	7.1956	-11.8866	0	-11.4230	-13.0255	0	-24.0585	22.2274	0
58	7.2878	-11.8176	0	-11.4119	-13.0481	0	-24.0826	22.2413	0
59	7.2792	-11.7961	0	-11.3854	-13.0392	0	-24.0252	22.2449	0
60	7.2150	-11.7820	0	-11.4568	-12.9640	0	-24.0316	22.2589	0
61	7.2675	-11.8426	0	-11.4384	-12.9877	0	-23.9532	22.1316	0
62	7.2804	-11.7890	0	-11.4412	-12.9299	0	-23.9581	22.1625	0
63	7.2281	-11.8514	0	-11.4076	-13.1428	0	-23.9149	22.0208	0
64	7.2019	-11.8709	0	-11.3884	-13.2130	0	-23.8324	22.0252	0
65	7.2640	-11.8495	0	-11.3948	-13.2111	0	-24.0579	22.1347	0
66	7.2768	-11.8883	0	-11.4248	-13.2237	0	-23.7783	22.0144	0
67	7.3089	-11.9235	0	-11.4830	-13.2242	0	-23.8901	22.1560	0
68	7.2740	-11.8881	0	-11.5929	-13.0875	0	-23.7977	22.1384	0
69	7.3298	-11.8719	0	-11.5447	-13.0847	0	-23.9601	22.1371	0
70	7.2861	-11.8907	0	-11.4362	-13.2355	0	-23.9411	22.1344	0
71	7.2479	-11.8138	0	-11.4221	-13.2235	0	-24.0155	22.1368	0
72	7.2155	-11.7872	0	-11.3911	-13.2215	0	-23.7769	22.0122	0
73	7.2923	-11.8334	0	-11.3893	-13.0935	0	-23.8736	22.0019	0
74	7.2624	-11.8274	0	-11.5113	-13.0782	0	-23.8109	21.9953	0
75	7.2382	-11.8349	0	-11.3686	-13.3001	0	-24.0165	22.1350	0
76	7.1310	-11.8588	0	-11.4355	-13.3048	0	-23.9107	22.1513	0
77	7.1955	-11.7997	0	-11.3525	-13.2943	0	-23.8680	22.1419	0
78	7.1901	-11.8310	0	-11.2226	-13.2971	0	-23.8805	21.9932	0
79	7.2391	-11.7644	0	-11.1666	-13.2853	0	-23.9326	22.0005	0
80	7.2826	-11.7945	0	-11.2571	-13.1460	0	-23.8690	21.8664	0
81	7.3105	-11.7623	0	-11.1642	-13.1396	0	-24.0012	21.8664	0
82	7.2951	-11.7224	0	-11.1614	-13.1033	0	-24.1123	22.0062	0
83	7.3163	-11.7193	0	-11.1814	-13.0127	0	-23.9861	21.8730	0
84	7.2186	-11.7998	0	-11.1433	-13.0204	0	-24.1496	21.9953	0
85	7.2217	-11.7712	0	-11.0824	-13.0042	0	-24.1486	22.1383	0
86	7.2538	-11.7959	0	-11.1760	-12.9878	0	-24.1143	22.1491	0
87	7.2790	-11.8426	0	-11.2735	-13.0229	0	-24.1057	22.1480	0
88	7.3224	-11.9141	0	-11.2751	-13.0205	0	-24.1148	22.1483	0
89	7.3715	-11.8925	0	-11.4306	-12.8897	0	-24.2010	22.1313	0
90	7.3333	-11.8587	0	-11.2343	-13.0217	0	-24.1272	22.1437	0
91	7.3727	-11.9139	0	-11.1563	-13.0180	0	-24.2279	22.2797	0
92	7.2699	-11.8739	0	-11.1573	-13.0257	0	-24.2690	22.2751	0
93	7.2065	-11.8452	0	-11.0631	-12.9944	0	-24.2164	22.2740	0
94	7.1312	-11.8851	0	-11.1530	-12.8857	0	-24.1182	22.2861	0
95	7.0766	-11.8047	0	-11.2324	-12.7589	0	-24.0730	22.1375	0
96	7.0768	-11.7182	0	-11.1439	-12.7390	0	-24.1677	22.2763	0
97	7.0953	-11.6581	0	-11.0420	-12.7298	0	-24.0755	22.1388	0
98	7.0188	-11.6731	0	-10.9919	-12.7239	0	-24.1503	22.2726	0
99	6.9633	-11.6482	0	-11.1823	-12.6063	0	-23.9605	22.1542	0
100	6.9406	-11.6530	0	-11.0994	-12.6018	0	-24.0469	22.1454	0
101	6.9773	-11.6023	0	-11.1098	-12.7330	0	-23.9457	22.1428	0
102	7.0156	-11.5672	0	-11.0169	-12.8709	0	-23.9916	22.1398	0
103	6.9484	-11.5379	0	-11.0295	-12.8802	0	-23.8527	22.1509	0
104	6.9248	-11.5117	0	-11.0806	-12.8757	0	-23.9630	22.1516	0
105	6.9941	-11.5361	0	-11.1129	-12.8743	0	-24.0178	22.1281	0
106	7.0784	-11.5687	0	-11.1669	-12.8908	0	-23.9577	22.1496	0
107	7.0798	-11.5509	0	-11.1065	-12.9946	0	-23.7604	22.1698	0
108	7.1163	-11.5427	0	-11.0494	-12.9911	0	-23.8223	22.1634	0
109	7.1015	-11.5244	0	-11.1356	-13.0195	0	-23.8316	22.1715	0
110	7.0840	-11.5505	0	-11.2163	-13.0179	0	-23.8420	22.1535	0
111	7.0937	-11.5332	0	-11.1152	-13.0055	0	-23.7036	22.0343	0
112	7.0812	-11.4250	0	-11.0796	-12.9996	0	-23.8819	22.1501	0
113	7.1405	-11.4565	0	-11.0688	-13.0073	0	-23.9892	22.1352	0
114	7.1806	-11.5033	0	-11.2510	-13.0195	0	-23.9877	22.1436	0
115	7.1217	-11.4128	0	-11.1133	-13.0020	0	-23.9317	22.1607	0
116	7.0976	-11.3458	0	-11.2910	-13.0193	0	-23.9031	22.1762	0
117	7.1199	-11.3825	0	-11.3632	-12.8925	0	-24.0123	22.1443	0
118	7.1076	-11.3898	0	-11.1416	-13.0010	0	-24.0170	22.1336	0
119	7.0385	-11.4141	0	-11.2437	-13.0670	0	-23.9789	22.2851	0
120	7.0199	-11.4125	0	-11.1588	-13.0783	0	-23.8025	22.2780	0
121	7.0767	-11.4297	0	-11.1233	-13.0598	0	-23.7162	22.3035	0
122	7.1273	-11.5233	0	-11.1044	-13.1967	0	-23.7167	22.2836	0
123	7.1300	-11.5430	0	-11.2402	-13.2027	0	-23.8421	22.2821	0
124	7.1445	-11.5354	0	-11.2380	-13.0556	0	-23.8747	22.2729	0
125	7.1959	-11.5245	0	-11.3432	-13.1471	0	-23.9456	22.2726	0
126	7.1925	-11.4905	0	-11.3100	-13.2670	0	-23.9423	22.2738	0
127	7.1289	-11.4453	0	-11.3096	-13.1305	0	-23.9122	22.2823	0
128	7.2213	-11.5381	0	-11.3161	-13.1324	0	-23.9016	22.2815	0
129	7.1264	-11.5330	0	-11.3274	-13.1393	0	-23.9468	22.2695	0
130	7.0729	-11.4708	0	-11.2744	-13.2126	0	-23.8542	22.1505	0
131	7.1504	-11.4439	0	-11.3557	-13.2263	0	-23.8694	22.0136	0
132	7.2113	-11.5615	0	-11.4368	-13.2842	0	-24.0367	22.1417	0
133	7.1926	-11.7067	0	-11.4134	-13.2133	0	-23.8816	22.1600	0
134	7.0589	-11.7162	0	-11.3977	-13.1500	0	-23.6550	22.1591	0
135	7.0911	-11.7580	0	-11.3584	-13.1449	0	-23.8662	22.2719	0
136	7.0605	-11.8802	0	-11.3448	-13.0785	0	-23.7263	22.2827	0
137	7.0269	-11.7556	0	-11.3607	-13.0891	0	-23.6673	22.2894	0
138	7.0059	-11.8180	0	-11.1897	-13.1298	0	-23.7235	22.3022	0
139	7.0689	-11.9384	0	-11.1217	-13.2009	0	-23.7666	22.4305	0
140	7.0782	-11.8957	0	-11.0924	-13.2059	0	-23.8161	22.4375	0
141	7.0301	-11.9435	0	-11.1182	-13.2770	0	-23.8350	22.3612	0
142	7.0452	-11.9592	0	-11.0913	-13.2751	0	-23.9319	22.4853	0
143	7.0361	-11.9544	0	-11.1466	-13.2241	0	-24.0357	22.4972	0
144	7.0606	-11.9024	0	-11.1868	-13.1456	0	-23.9623	22.4460	0
145	7.1694	-12.0414	0	-11.1204	-13.1969	0	-23.9720	22.5587	0
