Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	22.5588	11.9069	0	-3.5176	18.6376	0
2	22.5458	11.8938	0	-3.5689	18.5989	0
3	22.5603	11.7763	0	-3.6133	18.6163	0
4	22.5447	11.7846	0	-3.6738	18.5998	0
5	22.5966	11.7846	0	-3.6573	18.6780	0
6	22.5889	11.6820	0	-3.6925	18.6310	0
7	22.6151	11.7890	0	-3.6312	18.7003	0
8	22.5801	11.8029	0	-3.6520	18.7783	0
9	22.5636	11.8041	0	-3.6770	18.7567	0
10	22.6379	11.9063	0	-3.6896	18.7429	0
11	22.7359	11.8747	0	-3.7242	18.7941	0
12	22.7178	11.8960	0	-3.7069	18.8054	0
13	22.7964	11.8399	0	-3.6422	18.7750	0
14	22.7831	11.8414	0	-3.6100	18.7044	0
15	22.7231	11.8524	0	-3.5645	18.6383	0
16	22.7073	11.7657	0	-3.6176	18.6733	0
17	22.7212	11.7959	0	-3.6752	18.7490	0
18	22.7170	11.8140	0	-3.7024	18.7212	0
19	22.7688	11.7445	0	-3.6849	18.7182	0
20	22.7412	11.7930	0	-3.6885	18.7116	0
21	22.6555	11.7785	0	-3.7206	18.6933	0
22	22.6829	11.8228	0	-3.7001	18.6589	0
23	22.7572	11.9008	0	-3.6969	18.6881	0
24	22.7123	11.8876	0	-3.6628	18.6906	0
25	22.6297	11.9130	0	-3.6605	18.6368	0
26	22.5710	11.9402	0	-3.6743	18.6980	0
27	22.5708	11.8839	0	-3.7818	18.6630	0
28	22.6266	11.8869	0	-3.7975	18.6547	0
29	22.5942	11.9079	0	-3.8455	18.6139	0
30	22.6032	11.9626	0	-3.8169	18.4906	0
31	22.7168	11.8604	0	-3.8473	18.5448	0
32	22.7644	11.8810	0	-3.8204	18.4498	0
33	22.8068	11.8759	0	-3.8401	18.5176	0
34	22.7733	11.9315	0	-3.7582	18.5181	0
35	22.7826	11.9270	0	-3.8271	18.4976	0
36	22.7409	11.9368	0	-3.8539	18.5217	0
37	22.7500	11.9183	0	-3.8202	18.5410	0
38	22.7657	11.9239	0	-3.8403	18.4928	0
39	22.7696	11.8922	0	-3.7989	18.4561	0
40	22.8120	11.9454	0	-3.9401	18.4253	0
41	22.7560	11.9855	0	-3.9540	18.3146	0
42	22.7179	11.9775	0	-4.0225	18.3404	0
43	22.6668	11.9914	0	-3.9379	18.3247	0
44	22.6974	11.9043	0	-3.9031	18.2943	0
45	22.6913	11.9463	0	-3.8867	18.2952	0
46	22.6648	11.9367	0	-3.9405	18.3618	0
47	22.6790	11.9795	0	-3.8629	18.3521	0
48	22.6011	11.9827	0	-3.8304	18.3492	0
49	22.5704	12.0151	0	-3.7921	18.3526	0
50	22.5568	11.9622	0	-3.7376	18.3690	0
51	22.5067	12.0046	0	-3.6673	18.3814	0
52	22.4545	11.9553	0	-3.6641	18.2672	0
53	22.3889	11.8544	0	-3.6010	18.2714	0
54	22.4970	11.8119	0	-3.6712	18.3078	0
55	22.5488	11.8901	0	-3.6995	18.2236	0
56	22.5681	11.8765	0	-3.6961	18.2475	0
57	22.5642	11.8233	0	-3.6801	18.2733	0
58	22.6625	11.8883	0	-3.6791	18.2905	0
59	22.6243	11.8576	0	-3.7015	18.2143	0
60	22.6848	11.8023	0	-3.6570	18.1419	0
61	22.6199	11.8669	0	-3.6488	18.1919	0
62	22.5903	11.8841	0	-3.7121	18.2587	0
63	22.6286	11.8418	0	-3.7427	18.2204	0
64	22.5372	11.9268	0	-3.7518	18.3112	0
65	22.6194	11.9463	0	-3.7793	18.3027	0
66	22.6558	11.9159	0	-3.8187	18.2660	0
67	22.6694	11.8961	0	-3.9061	18.2532	0
68	22.6958	11.8984	0	-3.8590	18.3342	0
69	22.6229	11.8869	0	-3.8535	18.3546	0
70	22.6479	11.8435	0	-3.8039	18.3956	0
71	22.6930	11.8492	0	-3.7638	18.4119	0
72	22.6921	11.8235	0	-3.8007	18.3709	0
73	22.6834	11.8517	0	-3.7888	18.2446	0
74	22.7126	11.8834	0	-3.8059	18.2187	0
75	22.8295	11.8554	0	-3.7845	18.1229	0
76	22.8026	11.8820	0	-3.7447	18.1089	0
77	22.8690	11.9301	0	-3.7576	18.1197	0
78	22.8916	11.8443	0	-3.7769	18.0601	0
79	22.8511	11.8999	0	-3.8054	18.0954	0
80	22.8881	11.9839	0	-3.7893	18.0873	0
81	22.8350	11.9523	0	-3.7788	18.0113	0
82	22.8745	11.9212	0	-3.8259	18.0116	0
83	22.8774	11.9769	0	-3.8128	18.0375	0
84	22.8141	11.8681	0	-3.8208	18.0750	0
85	22.8758	11.8033	0	-3.7676	18.0486	0
86	22.8925	11.7567	0	-3.7157	18.1224	0
87	22.8059	11.8042	0	-3.7361	18.1111	0
88	22.7960	11.7731	0	-3.7412	18.1449	0
89	22.7810	11.7123	0	-3.7591	18.0840	0
90	22.7292	11.7395	0	-3.8784	18.1435	0
91	22.7117	11.8262	0	-3.7996	18.1802	0
92	22.7449	11.8244	0	-3.7614	18.1909	0
93	22.6317	11.8097	0	-3.8076	18.1382	0
94	22.6990	11.8202	0	-3.7754	18.1815	0
95	22.6877	11.7916	0	-3.7990	18.1630	0
96	22.6737	11.8073	0	-3.7413	18.2451	0
97	22.7749	11.9199	0	-3.6447	18.2617	0
98	22.8123	11.9534	0	-3.6814	18.1741	0
99	22.8613	11.9540	0	-3.6598	18.1698	0
100	22.8420	11.9906	0	-3.7508	18.2142	0
101	22.8586	11.9628	0	-3.8799	18.1638	0
102	22.8473	12.0111	0	-3.8885	18.1377	0
103	22.8310	11.9826	0	-3.8609	18.1878	0
104	22.8385	11.9013	0	-3.8691	18.2586	0
105	22.8376	11.8957	0	-3.7754	18.2090	0
106	22.8093	11.9124	0	-3.7539	18.2679	0
107	22.8467	11.9338	0	-3.7120	18.3056	0
108	22.7971	11.9202	0	-3.6881	18.3515	0
109	22.7814	11.8959	0	-3.6857	18.3275	0
110	22.8906	11.7975	0	-3.6791	18.3065	0
111	22.8457	11.8051	0	-3.7741	18.2914	0
112	22.8181	11.8656	0	-3.7960	18.2494	0
113	22.8219	11.8366	0	-3.6781	18.2797	0
114	22.7545	11.9157	0	-3.6432	18.3311	0
115	22.7431	11.9298	0	-3.7155	18.4078	0
116	22.6442	11.8907	0	-3.7086	18.3802	0
117	22.7161	11.9076	0	-3.6214	18.4540	0
118	22.6750	11.8768	0	-3.6455	18.4752	0
119	22.7383	11.9271	0	-3.6843	18.4320	0
120	22.8028	11.9512	0	-3.7292	18.4172	0
121	22.8608	11.9419	0	-3.6804	18.4547	0
122	22.8751	11.9585	0	-3.7687	18.3651	0
123	22.7823	11.9347	0	-3.7832	18.4386	0
124	22.7482	11.9613	0	-3.8045	18.4598	0
125	22.7822	11.9400	0	-3.8276	18.4773	0
126	22.7894	11.9558	0	-3.8272	18.4892	0
127	22.7754	11.9227	0	-3.7656	18.4761	0
128	22.7217	11.9504	0	-3.7823	18.4212	0
129	22.8275	11.9346	0	-3.7849	18.4901	0
130	22.7285	11.9609	0	-3.7543	18.5101	0
131	22.7555	11.9590	0	-3.7522	18.4481	0
132	22.7904	11.9100	0	-3.8031	18.4346	0
133	22.6893	11.9430	0	-3.8929	18.4001	0
134	22.7173	11.9825	0	-3.8279	18.3877	0
135	22.6489	11.9801	0	-3.7948	18.3900	0
136	22.5826	11.9100	0	-3.7968	18.4854	0
137	22.6062	11.9760	0	-3.9055	18.4168	0
138	22.7004	11.8771	0	-3.9430	18.4068	0
139	22.7536	11.8529	0	-3.8992	18.4669	0
140	22.7476	11.8435	0	-3.9616	18.5206	0
141	22.7311	11.8513	0	-3.9459	18.5473	0
142	22.6728	11.8658	0	-3.9344	18.5435	0
143	22.7051	11.7782	0	-3.9059	18.6293	0
144	22.6927	11.7785	0	-4.0056	18.6291	0
145	22.7903	11.7253	0	-4.0162	18.6843	0
146	22.7402	11.7562	0	-3.9805	18.7270	0
147	22.8311	11.7382	0	-3.9862	18.7935	0
148	22.7355	11.7730	0	-3.9058	18.7547	0
149	22.7453	11.8073	0	-3.9372	18.8052	0
150	22.7184	11.8445	0	-3.9678	18.8582	0
151	22.6892	11.8343	0	-3.9493	18.8981	0
152	22.7303	11.8253	0	-3.9263	18.7742	0
153	22.6737	11.9209	0	-3.9048	18.7911	0
154	22.7158	11.9120	0	-3.8603	18.7835	0
155	22.6940	11.9748	0	-3.8991	18.7373	0
156	22.6988	11.8960	0	-3.9504	18.7343	0
157	22.7650	11.8580	0	-4.0063	18.7985	0
158	22.8071	11.9038	0	-4.0528	18.8081	0
159	22.7954	11.8866	0	-3.9950	18.9049	0
160	22.7127	11.9026	0	-3.9801	18.9662	0
161	22.7447	11.9046	0	-3.9159	18.9398	0
162	22.6586	11.9245	0	-3.8926	18.9115	0
163	22.7613	11.8843	0	-3.8581	18.9520	0
164	22.6998	11.8274	0	-3.8406	18.9232	0
165	22.7525	11.7856	0	-3.7863	18.9330	0
