Frame	X1	Y1	Flag1	X2	Y2	Flag2	X4	Y4	Flag4	X3	Y3	Flag3
1	-14.7712	28.2304	0	5.6172	-1.2680	0	26.1168	-23.7116	0	20.1403	12.0745	0
2	-14.8134	28.4671	0	5.6302	-1.3557	0	26.1009	-23.7664	0	20.1550	12.0235	0
3	-14.6721	28.4959	0	5.6618	-1.2296	0	26.0287	-23.7186	0	19.9969	12.0394	0
4	-14.5826	28.5456	0	5.6581	-1.4033	0	26.0844	-23.7872	0	20.0431	12.0502	0
5	-14.6456	28.5515	0	5.5815	-1.2879	0	26.1383	-23.7291	0	20.0425	12.0661	0
6	-14.6869	28.4113	0	5.7418	-1.2496	0	26.1654	-23.4930	0	20.0481	12.1187	0
7	-14.6804	28.4193	0	5.7386	-1.3313	0	26.3321	-23.4510	0	19.9773	12.0831	0
8	-14.7851	28.4330	0	5.7441	-1.4485	0	26.3924	-23.5655	0	19.9419	11.9572	0
9	-14.6788	28.5204	0	5.8992	-1.3424	0	26.3597	-23.6630	0	20.0480	11.8816	0
10	-14.6098	28.5289	0	5.9988	-1.3514	0	26.1971	-23.7757	0	20.0602	11.7771	0
11	-14.6139	28.6003	0	6.0178	-1.4030	0	26.2606	-23.8853	0	19.9591	11.7522	0
12	-14.7071	28.5219	0	6.0174	-1.3622	0	26.1830	-24.0090	0	19.9788	11.7327	0
13	-14.6631	28.5656	0	5.9765	-1.3842	0	26.3199	-23.9998	0	20.0676	11.6154	0
14	-14.6412	28.6049	0	5.9718	-1.3869	0	26.4059	-24.0729	0	20.1035	11.6091	0
15	-14.5364	28.6033	0	6.0085	-1.2049	0	26.4528	-24.0344	0	20.1541	11.6164	0
16	-14.6424	28.5636	0	5.9444	-1.2517	0	26.3686	-24.0077	0	20.0757	11.6355	0
17	-14.6533	28.6129	0	6.0316	-1.4056	0	26.4775	-23.9641	0	20.0184	11.5655	0
18	-14.4769	28.6043	0	6.0805	-1.5287	0	26.5111	-23.9263	0	20.0325	11.6012	0
19	-14.5232	28.5907	0	5.9713	-1.5528	0	26.4256	-23.7896	0	19.9953	11.5778	0
20	-14.4284	28.5494	0	6.1563	-1.6717	0	26.5393	-23.8416	0	19.9450	11.5426	0
21	-14.4930	28.6578	0	6.1535	-1.6880	0	26.5053	-23.8589	0	20.1004	11.4744	0
22	-14.4906	28.6999	0	6.2150	-1.7500	0	26.4334	-23.9200	0	20.1410	11.5184	0
23	-14.3385	28.6291	0	6.2481	-1.7545	0	26.4635	-23.8472	0	20.0237	11.4143	0
24	-14.3000	28.6410	0	6.2209	-1.6991	0	26.3161	-23.8390	0	20.0431	11.2484	0
25	-14.3618	28.5311	0	6.2577	-1.7137	0	26.3304	-23.8692	0	19.9500	11.1503	0
26	-14.2468	28.5111	0	6.2199	-1.8306	0	26.2585	-23.9234	0	19.9961	11.1916	0
27	-14.1879	28.4694	0	6.3218	-1.7964	0	26.2399	-23.9384	0	20.0263	11.1496	0
28	-14.2589	28.4932	0	6.4219	-1.7398	0	26.2280	-23.8506	0	19.9790	11.0371	0
29	-14.2815	28.5698	0	6.4145	-1.6716	0	26.2383	-23.9546	0	20.0307	11.1415	0
30	-14.2332	28.5508	0	6.4238	-1.6940	0	26.3352	-23.8995	0	19.9823	11.2923	0
31	-14.2683	28.5032	0	6.3503	-1.7452	0	26.3719	-23.9776	0	19.9630	11.3479	0
32	-14.2853	28.4428	0	6.5129	-1.7362	0	26.4985	-23.9982	0	20.0488	11.3508	0
33	-14.2950	28.3798	0	6.5459	-1.6699	0	26.4655	-24.0692	0	20.0302	11.3028	0
34	-14.2633	28.2974	0	6.5711	-1.6606	0	26.5610	-24.0770	0	20.1365	11.2948	0
35	-14.2884	28.3033	0	6.6076	-1.5816	0	26.7125	-24.0209	0	20.2435	11.4188	0
36	-14.4054	28.3637	0	6.7184	-1.6643	0	26.7022	-24.0498	0	20.4032	11.3711	0
37	-14.2381	28.4164	0	6.7100	-1.7367	0	26.7930	-23.9733	0	20.5290	11.4428	0
38	-14.1228	28.5526	0	6.6988	-1.7605	0	26.8061	-23.9800	0	20.5234	11.2984	0
39	-14.2423	28.4934	0	6.7901	-1.7225	0	26.7183	-23.9998	0	20.4040	11.3368	0
40	-14.1842	28.4731	0	6.9027	-1.7523	0	26.8708	-23.9826	0	20.5078	11.2750	0
41	-14.3588	28.4385	0	6.8594	-1.8127	0	26.7986	-23.9710	0	20.5154	11.3220	0
42	-14.3002	28.3173	0	6.8385	-1.7883	0	26.9671	-23.9789	0	20.4612	11.3070	0
43	-14.3433	28.3776	0	6.7594	-1.7560	0	26.9883	-23.9253	0	20.4585	11.3362	0
44	-14.3455	28.5520	0	6.7015	-1.7122	0	26.9158	-23.8638	0	20.5656	11.2777	0
