Frame	X1	Y1	Flag1	X3	Y3	Flag3	X2	Y2	Flag2
1	-16.1560	12.6090	0	32.6465	27.5542	0	-31.9278	-12.9379	0
2	-16.1570	12.6063	0	32.6540	27.5728	0	-31.9729	-12.9981	0
3	-16.1491	12.6420	0	32.6015	27.5844	0	-32.0446	-12.9891	0
4	-16.1576	12.5990	0	32.5481	27.5686	0	-31.9767	-13.0009	0
5	-16.1622	12.5788	0	32.5716	27.5248	0	-32.0392	-13.0196	0
6	-16.1469	12.6427	0	32.5315	27.6364	0	-31.8851	-13.1159	0
7	-16.1629	12.6095	0	32.5010	27.6133	0	-31.7604	-13.0752	0
8	-16.1545	12.5957	0	32.5338	27.6180	0	-31.7395	-13.0969	0
9	-16.1596	12.5975	0	32.4930	27.6463	0	-31.6396	-13.0197	0
10	-16.1485	12.6409	0	32.5032	27.6590	0	-31.6379	-13.0152	0
11	-16.1590	12.5997	0	32.5129	27.7189	0	-31.6042	-12.9454	0
12	-16.1602	12.5865	0	32.4699	27.6405	0	-31.5943	-12.9328	0
13	-16.1521	12.6356	0	32.4561	27.6924	0	-31.5307	-13.0148	0
14	-16.1563	12.6108	0	32.4091	27.7160	0	-31.5564	-12.9592	0
15	-16.1571	12.5787	0	32.4020	27.5984	0	-31.5617	-12.8876	0
16	-16.1552	12.6310	0	32.4200	27.6115	0	-31.4845	-12.8533	0
17	-16.1548	12.6262	0	32.4011	27.6298	0	-31.5009	-12.8567	0
18	-16.1622	12.5765	0	32.3881	27.6236	0	-31.4944	-12.8978	0
19	-16.1548	12.6224	0	32.3563	27.6520	0	-31.5281	-12.8669	0
20	-16.1524	12.6238	0	32.3291	27.5976	0	-31.5617	-12.8627	0
21	-16.1590	12.5923	0	32.2818	27.6559	0	-31.6270	-12.8125	0
22	-16.1566	12.6028	0	32.3195	27.6123	0	-31.6468	-12.7655	0
23	-16.1516	12.6365	0	32.2866	27.6499	0	-31.5924	-12.6919	0
24	-16.1588	12.5974	0	32.3156	27.6395	0	-31.5778	-12.7436	0
25	-16.1584	12.5912	0	32.3180	27.6103	0	-31.6550	-12.7342	0
26	-16.1524	12.6221	0	32.3195	27.6536	0	-31.6084	-12.7004	0
27	-16.1559	12.6209	0	32.3206	27.6154	0	-31.6638	-12.7452	0
28	-16.1587	12.5887	0	32.3256	27.6545	0	-31.6065	-12.7271	0
29	-16.1553	12.6132	0	32.2520	27.6383	0	-31.6153	-12.7818	0
30	-16.1521	12.6262	0	32.1994	27.6532	0	-31.6301	-12.7680	0
31	-16.1607	12.5961	0	32.2014	27.6679	0	-31.6676	-12.6962	0
32	-16.1541	12.5934	0	32.2147	27.7055	0	-31.6210	-12.6187	0
33	-16.1533	12.6512	0	32.2460	27.6727	0	-31.6545	-12.6336	0
34	-16.1606	12.6561	0	32.2989	27.6736	0	-31.6851	-12.6580	0
35	-16.1573	12.6559	0	32.3565	27.7222	0	-31.6952	-12.6969	0
36	-16.1544	12.7004	0	32.3665	27.7686	0	-31.7699	-12.6845	0
37	-16.1572	12.6693	0	32.3977	27.7042	0	-31.8118	-12.5870	0
38	-16.1566	12.6559	0	32.3952	27.7000	0	-31.8395	-12.6284	0
39	-16.1549	12.6866	0	32.3791	27.7200	0	-31.8775	-12.5337	0
40	-16.1549	12.6885	0	32.3284	27.6981	0	-31.8450	-12.6248	0
41	-16.1593	12.6575	0	32.3305	27.7144	0	-31.8309	-12.5461	0
42	-16.1557	12.6750	0	32.3544	27.7086	0	-31.8098	-12.5414	0
43	-16.1564	12.6897	0	32.3846	27.7170	0	-31.7741	-12.5325	0
44	-16.1553	12.6663	0	32.3789	27.7285	0	-31.8394	-12.4105	0
45	-16.1565	12.6685	0	32.3427	27.7625	0	-31.8787	-12.4120	0
46	-16.1560	12.6913	0	32.4213	27.7785	0	-31.8200	-12.3607	0
47	-16.1568	12.6752	0	32.4766	27.7520	0	-31.8155	-12.4318	0
48	-16.1578	12.6468	0	32.5149	27.7505	0	-31.7819	-12.4872	0
49	-16.1532	12.6983	0	32.5482	27.8307	0	-31.8453	-12.4499	0
50	-16.1562	12.6836	0	32.4994	27.8597	0	-31.8368	-12.4208	0
51	-16.1583	12.6541	0	32.5231	27.7769	0	-31.8064	-12.4166	0
52	-16.1548	12.6840	0	32.5337	27.7678	0	-31.8369	-12.4633	0
53	-16.1547	12.6859	0	32.4995	27.8063	0	-31.8383	-12.4884	0
54	-16.1587	12.6602	0	32.5054	27.8977	0	-31.8617	-12.4385	0
55	-16.1545	12.6689	0	32.5357	27.9227	0	-31.8431	-12.4748	0
56	-16.1556	12.6900	0	32.4538	27.8880	0	-31.9023	-12.3997	0
57	-16.1573	12.6698	0	32.4645	27.8657	0	-31.9063	-12.3693	0
58	-16.1574	12.6700	0	32.4361	27.9029	0	-31.9575	-12.3284	0
59	-16.1526	12.6753	0	32.4662	27.9095	0	-31.9252	-12.2953	0
60	-16.1568	12.6790	0	32.4350	27.9129	0	-31.9149	-12.3738	0
61	-16.1584	12.6693	0	32.4584	27.9321	0	-31.9151	-12.2653	0
62	-16.1549	12.6716	0	32.4714	27.9641	0	-31.9344	-12.3033	0
63	-16.1549	12.6881	0	32.3841	28.0089	0	-31.8114	-12.3135	0
64	-16.1569	12.6620	0	32.4265	28.0543	0	-31.7940	-12.2966	0
65	-16.1560	12.6698	0	32.4172	27.9611	0	-31.7818	-12.2175	0
66	-16.1575	12.6846	0	32.4564	28.0458	0	-31.7568	-12.2910	0
67	-16.1548	12.6679	0	32.4928	28.0016	0	-31.8238	-12.3334	0
68	-16.1568	12.6729	0	32.4592	28.0265	0	-31.8094	-12.3487	0
69	-16.1514	12.6811	0	32.4688	28.0287	0	-31.8316	-12.3019	0
70	-16.1580	12.6719	0	32.4159	27.9657	0	-31.8094	-12.3216	0
71	-16.1617	12.6619	0	32.4057	27.9384	0	-31.7823	-12.2456	0
72	-16.1485	12.6901	0	32.3201	27.9610	0	-31.6917	-12.1944	0
73	-16.1594	12.6713	0	32.3177	28.0049	0	-31.7524	-12.2300	0
74	-16.1570	12.6620	0	32.3125	28.0123	0	-31.7505	-12.3832	0
75	-16.1533	12.6903	0	32.3322	28.0675	0	-31.8125	-12.3949	0
76	-16.1582	12.6644	0	32.2988	28.0062	0	-31.8661	-12.3141	0
77	-16.1551	12.6701	0	32.2791	28.0011	0	-31.8158	-12.2880	0
78	-16.1579	12.6758	0	32.3466	27.9224	0	-31.8537	-12.3956	0
79	-16.1535	12.6793	0	32.2971	27.8666	0	-31.8774	-12.3356	0
80	-16.1563	12.6678	0	32.3420	27.8374	0	-31.7848	-12.3608	0
81	-16.1585	12.6749	0	32.3393	27.9212	0	-31.7009	-12.3467	0
82	-16.1494	12.6754	0	32.3545	27.9284	0	-31.7849	-12.2690	0
83	-16.1634	12.6637	0	32.3657	27.9305	0	-31.7699	-12.2488	0
84	-16.1521	12.6783	0	32.3596	27.9332	0	-31.8066	-12.2638	0
85	-16.1548	12.6760	0	32.3125	27.8813	0	-31.7567	-12.2402	0
86	-16.1596	12.6666	0	32.3604	27.8283	0	-31.6971	-12.3059	0
87	-16.1528	12.6790	0	32.4095	27.8421	0	-31.6962	-12.3599	0
88	-16.1577	12.6745	0	32.4455	27.7828	0	-31.7750	-12.3347	0
89	-16.1593	12.6618	0	32.4502	27.8104	0	-31.8179	-12.3854	0
90	-16.1549	12.6755	0	32.4314	27.7495	0	-31.7910	-12.3051	0
91	-16.1526	12.6812	0	32.4288	27.7166	0	-31.8111	-12.3476	0
92	-16.1602	12.6671	0	32.4282	27.6917	0	-31.7629	-12.3318	0
93	-16.1562	12.6669	0	32.4336	27.6943	0	-31.7843	-12.3445	0
94	-16.1494	12.6866	0	32.3359	27.6581	0	-31.7997	-12.3470	0
95	-16.1623	12.6579	0	32.3771	27.6581	0	-31.7964	-12.3790	0
96	-16.1556	12.6718	0	32.3882	27.7143	0	-31.8744	-12.3534	0
97	-16.1542	12.6849	0	32.3754	27.6621	0	-31.8324	-12.3233	0
98	-16.1586	12.6696	0	32.3401	27.6348	0	-31.8455	-12.2643	0
99	-16.1544	12.6715	0	32.3858	27.6608	0	-31.8279	-12.2161	0
100	-16.1571	12.6746	0	32.4195	27.5989	0	-31.8222	-12.2638	0
101	-16.1549	12.6662	0	32.3951	27.6396	0	-31.8016	-12.3249	0
102	-16.1530	12.6800	0	32.3770	27.5736	0	-31.7493	-12.4208	0
103	-16.1593	12.6679	0	32.3708	27.6567	0	-31.8196	-12.3999	0
104	-16.1556	12.6725	0	32.3725	27.6675	0	-31.7371	-12.4565	0
105	-16.1559	12.6793	0	32.3551	27.6496	0	-31.6619	-12.5096	0
106	-16.1579	12.6622	0	32.3151	27.5961	0	-31.6150	-12.4561	0
107	-16.1558	12.6778	0	32.3357	27.5712	0	-31.6371	-12.3440	0
108	-16.1563	12.6783	0	32.3103	27.5467	0	-31.6319	-12.3318	0
109	-16.1547	12.6598	0	32.3092	27.5549	0	-31.6722	-12.4125	0
110	-16.1564	12.6783	0	32.2871	27.5913	0	-31.7974	-12.3262	0
111	-16.1550	12.6790	0	32.2817	27.5043	0	-31.8192	-12.2743	0
112	-16.1571	12.6622	0	32.3130	27.5646	0	-31.7321	-12.3072	0
113	-16.1558	12.6763	0	32.3505	27.5858	0	-31.6517	-12.3153	0
114	-16.1548	12.6827	0	32.3613	27.4958	0	-31.6793	-12.3299	0
115	-16.1592	12.6679	0	32.3939	27.4874	0	-31.6289	-12.3700	0
116	-16.1572	12.6605	0	32.4394	27.5319	0	-31.5776	-12.4030	0
117	-16.1506	12.6914	0	32.3758	27.4486	0	-31.5470	-12.4467	0
118	-16.1595	12.6611	0	32.3498	27.3982	0	-31.5402	-12.5082	0
119	-16.1563	12.6688	0	32.2995	27.3923	0	-31.4923	-12.4628	0
120	-16.1554	12.6810	0	32.2656	27.4106	0	-31.4955	-12.4337	0
121	-16.1564	12.6756	0	32.2318	27.4163	0	-31.5581	-12.4750	0
122	-16.1593	12.6669	0	32.2435	27.4817	0	-31.5487	-12.4763	0
123	-16.1555	12.6706	0	32.1896	27.5358	0	-31.5626	-12.5191	0
124	-16.1541	12.6809	0	32.2152	27.4727	0	-31.5999	-12.5073	0
125	-16.1594	12.6635	0	32.2320	27.4918	0	-31.5664	-12.5386	0
126	-16.1561	12.6730	0	32.2591	27.5658	0	-31.5442	-12.4488	0
127	-16.1536	12.6857	0	32.3384	27.5220	0	-31.5183	-12.4550	0
128	-16.1578	12.6632	0	32.2948	27.5375	0	-31.5144	-12.4801	0
129	-16.1605	12.6666	0	32.3123	27.5193	0	-31.5546	-12.4670	0
130	-16.1498	12.6869	0	32.3561	27.4824	0	-31.6171	-12.4416	0
131	-16.1604	12.6673	0	32.3422	27.5020	0	-31.6028	-12.4283	0
132	-16.1535	12.6676	0	32.3832	27.5482	0	-31.6630	-12.4936	0
133	-16.1616	12.6781	0	32.4595	27.5357	0	-31.6823	-12.4983	0
134	-16.1487	12.6776	0	32.4648	27.5148	0	-31.6102	-12.5018	0
135	-16.1632	12.6636	0	32.4991	27.5234	0	-31.5924	-12.5033	0
136	-16.1540	12.6752	0	32.4768	27.4775	0	-31.6435	-12.5272	0
137	-16.1536	12.6736	0	32.4598	27.5489	0	-31.6242	-12.4904	0
138	-16.1581	12.6721	0	32.4596	27.5822	0	-31.5872	-12.4825	0
139	-16.1547	12.6750	0	32.5166	27.5833	0	-31.6105	-12.4560	0
140	-16.1592	12.6763	0	32.5093	27.6014	0	-31.6169	-12.4793	0
141	-16.1540	12.6635	0	32.4527	27.6287	0	-31.6321	-12.5456	0
142	-16.1603	12.6802	0	32.5062	27.6086	0	-31.6326	-12.5032	0
143	-16.1517	12.6718	0	32.4530	27.6222	0	-31.6846	-12.5155	0
144	-16.1580	12.6752	0	32.4989	27.6660	0	-31.7687	-12.6227	0
145	-16.1587	12.6645	0	32.5294	27.5772	0	-31.7930	-12.5632	0
146	-16.1505	12.6806	0	32.5446	27.5956	0	-31.7938	-12.5733	0
147	-16.1592	12.6745	0	32.6048	27.5670	0	-31.7436	-12.6337	0
148	-16.1568	12.6618	0	32.6149	27.5174	0	-31.7320	-12.6716	0
149	-16.1534	12.6867	0	32.6076	27.5309	0	-31.7515	-12.6844	0
150	-16.1589	12.6715	0	32.6402	27.5264	0	-31.7473	-12.5571	0
151	-16.1543	12.6631	0	32.6189	27.5236	0	-31.7399	-12.5734	0
152	-16.1576	12.6857	0	32.6198	27.5276	0	-31.7146	-12.6430	0
153	-16.1570	12.6717	0	32.5942	27.5001	0	-31.7900	-12.6917	0
154	-16.1561	12.6663	0	32.6173	27.4872	0	-31.8239	-12.5897	0
155	-16.1584	12.6741	0	32.5838	27.4849	0	-31.8528	-12.6038	0
156	-16.1523	12.6816	0	32.4992	27.5293	0	-31.8063	-12.6009	0
157	-16.1588	12.6692	0	32.4770	27.5287	0	-31.7375	-12.6454	0
158	-16.1569	12.6683	0	32.4639	27.5638	0	-31.7700	-12.6878	0
159	-16.1530	12.6793	0	32.5473	27.5636	0	-31.7294	-12.6439	0
160	-16.1584	12.6707	0	32.5891	27.6185	0	-31.7269	-12.6583	0
161	-16.1551	12.6724	0	32.5598	27.5865	0	-31.6577	-12.6299	0
162	-16.1583	12.6754	0	32.5999	27.5913	0	-31.6358	-12.6662	0
163	-16.1529	12.6746	0	32.6149	27.5733	0	-31.6730	-12.6918	0
164	-16.1588	12.6661	0	32.6476	27.6331	0			
165	-16.1590	12.6778	0	32.6641	27.6967	0			
166	-16.1532	12.6778	0	32.7133	27.6520	0			
167	-16.1585	12.6671	0	32.7212	27.6029	0			
168	-16.1587	12.6778	0	32.6845	27.5623	0			
169	-16.1536	12.6805	0	32.6791	27.4506	0			
170	-16.1564	12.6629	0	32.7038	27.4549	0			
171	-16.1579	12.6728	0	32.6679	27.4674	0			
172	-16.1544	12.6807	0	32.7100	27.4019	0			
173	-16.1558	12.6690	0	32.6889	27.3956	0			
174	-16.1577	12.6778	0	32.7136	27.4240	0			
175	-16.1578	12.6752	0	32.6787	27.3814	0			
176	-16.1540	12.6693	0	32.6890	27.3965	0			
177	-16.1585	12.6772	0	32.5658	27.3770	0			
178	-16.1571	12.6714	0	32.6404	27.3886	0			
179	-16.1520	12.6772	0	32.6842	27.3316	0			
180	-16.1602	12.6773	0	32.7529	27.3386	0			
181	-16.1531	12.6654	0	32.7622	27.3591	0			
182	-16.1586	12.6771	0	32.7761	27.3266	0			
183	-16.1534	12.6757	0	32.7296	27.3107	0			
184	-16.1608	12.6687	0	32.7211	27.3242	0			
