Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	-41.3303	17.7584	0	9.3778	-17.8323	0
2	-41.3526	17.7813	0	9.3955	-17.8153	0
3	-41.3457	17.6533	0	9.4002	-17.9367	0
4	-41.2426	17.6206	0	9.4491	-17.8462	0
5	-41.1361	17.6720	0	9.4703	-17.7614	0
6	-41.0837	17.7143	0	9.3652	-17.8531	0
7	-41.0043	17.7021	0	9.5266	-17.8300	0
8	-40.9905	17.7765	0	9.5700	-17.8222	0
9	-41.0268	17.7900	0	9.4174	-17.7614	0
10	-41.0838	17.6040	0	9.2721	-17.7935	0
11	-41.0084	17.7358	0	9.2773	-17.6676	0
12	-40.8569	17.8280	0	9.2580	-17.6881	0
13	-40.9466	17.7276	0	9.2300	-17.8029	0
14	-40.9624	17.8060	0	9.2159	-17.7995	0
15	-40.9751	17.8595	0	9.2839	-17.8226	0
16	-40.8971	18.1436	0	9.3900	-17.6124	0
17	-41.1859	18.0123	0	9.1812	-17.8106	0
18	-41.1823	17.9049	0	9.1870	-17.8004	0
19	-41.1799	18.0727	0	9.2904	-17.6355	0
20	-41.3582	18.0798	0	9.2426	-17.6236	0
21	-41.2637	18.0067	0	9.1540	-17.7720	0
22	-41.1217	18.0875	0	9.1815	-17.7622	0
23	-41.0011	17.9334	0	9.2320	-17.7837	0
24	-41.0864	17.9597	0	9.0548	-17.7025	0
25	-41.1539	18.0187	0	8.7848	-17.7019	0
26	-41.0927	18.2048	0	8.7627	-17.6592	0
27	-41.2849	18.0656	0	8.4615	-17.8593	0
28	-41.2664	18.0397	0	8.5124	-17.7172	0
29	-41.2628	18.1295	0	8.6382	-17.6435	0
30	-41.1770	18.0753	0	8.3914	-17.6318	0
31	-41.2019	17.9434	0	8.2287	-17.6520	0
32	-41.0864	17.9984	0	8.4799	-17.5973	0
33	-41.1571	18.0793	0	8.7704	-17.5651	0
34	-41.2551	17.9343	0	8.6446	-17.6529	0
35	-41.2009	17.9135	0	8.5828	-17.7504	0
36	-41.2316	17.9237	0	8.4557	-17.6065	0
37	-41.1714	17.8291	0	8.6756	-17.5315	0
38	-41.3111	17.8098	0	8.6095	-17.6537	0
39	-41.2728	17.9809	0	8.6237	-17.4837	0
40	-41.3924	17.8278	0	8.5041	-17.3409	0
41	-41.4973	17.8879	0	8.4003	-17.3159	0
42	-41.4725	17.9048	0	8.4441	-17.3077	0
43	-41.5377	18.0277	0	8.4547	-17.2328	0
44	-41.4957	17.9449	0	8.2911	-17.2193	0
45	-41.3796	17.9443	0	8.3012	-17.1772	0
46	-41.3691	17.9064	0	8.2794	-17.1762	0
47	-41.3853	18.0097	0	8.4055	-17.1224	0
48	-41.4729	17.9445	0	8.4763	-17.0124	0
49	-41.5930	17.8976	0	8.5323	-17.1547	0
50	-41.6291	18.0112	0	8.4538	-17.1141	0
51	-41.5544	17.8866	0	8.4377	-16.9804	0
52	-41.5484	17.7857	0	8.3172	-16.9582	0
53	-41.5884	17.6784	0	8.2566	-16.8802	0
54	-41.6622	17.6370	0	8.1998	-16.9928	0
55	-41.7275	17.6709	0	8.2856	-17.0876	0
56	-41.7580	17.7335	0	8.3438	-17.1149	0
57	-41.7326	17.7796	0	8.3748	-17.0873	0
58	-41.7647	17.7603	0	8.3108	-17.1473	0
59	-41.8212	17.6274	0	8.2892	-17.2018	0
60	-41.8058	17.6201	0	8.2573	-17.2179	0
61	-41.7815	17.6631	0	8.4142	-17.1967	0
62	-41.8568	17.6625	0	8.2851	-17.3534	0
63	-41.7708	17.7638	0	8.2510	-17.3013	0
64	-41.6726	17.6697	0	8.3169	-17.2751	0
65	-41.5966	17.5963	0	8.2135	-17.1586	0
66	-41.6988	17.6744	0	8.2580	-17.0221	0
67	-41.7123	17.5804	0	8.2175	-17.0332	0
68	-41.8111	17.5185	0	8.1478	-16.9357	0
69	-41.8584	17.4680	0	8.1826	-17.1251	0
70	-41.9073	17.4418	0	8.1509	-17.1692	0
71	-41.9822	17.4243	0	8.0882	-17.1240	0
72	-41.9577	17.3658	0	8.1502	-17.1605	0
73	-41.8625	17.3195	0	8.2410	-17.0885	0
74	-41.8313	17.4007	0	8.2763	-17.0333	0
75	-41.9986	17.3639	0	8.1867	-16.9304	0
76	-42.0369	17.3761	0	8.1362	-17.0245	0
77	-42.0776	17.3226	0	8.2439	-16.9021	0
78	-42.0682	17.3755	0	8.0955	-16.8631	0
79	-41.9779	17.2390	0	8.0647	-16.8340	0
80	-41.9112	17.3137	0	8.0380	-16.8045	0
81	-41.9253	17.4105	0	8.0888	-16.6485	0
82	-42.0659	17.4628	0	8.0018	-16.7280	0
83	-42.1218	17.4936	0	7.9992	-16.8576	0
84	-42.1284	17.4689	0	8.0577	-16.9509	0
85	-42.0828	17.4966	0	8.1621	-17.0158	0
86	-42.1419	17.5762	0	7.9875	-16.9761	0
87	-42.1872	17.5598	0	7.9361	-17.0093	0
88	-42.2620	17.4989	0	7.9320	-16.8736	0
89	-42.2369	17.4055	0	8.0355	-16.8244	0
90	-42.2504	17.4162	0	7.8828	-16.6790	0
91	-42.2790	17.4037	0	7.8938	-16.7025	0
92	-42.2886	17.3371	0	7.6932	-16.5826	0
93	-42.4132	17.3356	0	7.7359	-16.5879	0
94	-42.5349	17.3126	0	7.8941	-16.4676	0
95	-42.5501	17.3342	0	7.8230	-16.4243	0
96	-42.6350	17.4255	0	7.6988	-16.6831	0
97	-42.5929	17.4587	0	7.7757	-16.6541	0
98	-42.6186	17.4885	0	7.7057	-16.7901	0
99	-42.6281	17.4385	0	7.7645	-16.8665	0
100	-42.7654	17.4793	0	7.6210	-16.9288	0
101	-42.7735	17.3237	0	7.7164	-16.9784	0
102	-42.8094	17.2002	0	7.7536	-16.8978	0
103	-42.8426	17.1873	0	7.9320	-16.9780	0
104	-42.8612	17.2758	0	7.9641	-16.9688	0
105	-42.8360	17.1933	0	7.9591	-16.9869	0
106	-42.9041	17.1881	0	7.9708	-17.0595	0
107	-42.9399	17.2870	0	7.9238	-16.9852	0
108	-42.7918	17.3064	0	8.0143	-16.8207	0
109	-42.7412	17.1915	0	8.0066	-16.7429	0
110	-42.6960	17.1449	0	7.9822	-16.7400	0
111	-42.8252	17.0676	0	7.9966	-16.6991	0
112	-42.8624	16.9887	0	8.0597	-16.7586	0
113	-42.7988	16.9516	0	8.2380	-16.6889	0
114	-42.8722	16.8472	0	8.2965	-16.6955	0
115	-42.9114	16.9142	0	8.1564	-16.6506	0
116	-42.9326	16.8340	0	8.0206	-16.6376	0
117	-42.9278	16.7642	0	7.8661	-16.8309	0
118	-42.9534	16.7186	0	8.0049	-16.6965	0
119	-42.9929	16.8821	0	8.0645	-16.4491	0
120	-43.0607	16.8362	0	8.1034	-16.5907	0
