Frame	X1	Y1	Flag1
1	3.4256	24.0032	0
2	3.4163	24.0178	0
3	3.3733	24.0531	0
4	3.5268	24.1729	0
5	3.3737	24.0998	0
6	3.3925	24.0178	0
7	3.5949	23.9704	0
8	3.6927	23.8523	0
9	3.7857	23.8925	0
10	3.9031	23.9453	0
11	4.0565	23.9414	0
12	4.0370	24.0106	0
13	4.1020	23.9359	0
14	4.1070	23.8025	0
15	3.9795	23.7767	0
16	4.0104	23.7346	0
17	4.0139	23.7058	0
18	3.9893	23.7280	0
19	4.0037	23.8784	0
20	3.9264	23.8560	0
21	3.7921	23.8156	0
22	3.8712	23.6948	0
23	3.8216	23.7281	0
24	3.8425	23.7340	0
25	3.8099	23.7007	0
26	3.9814	23.8215	0
27	3.9866	23.9097	0
28	3.9559	23.9749	0
29	4.0556	24.1738	0
30	4.0472	24.0771	0
31	4.0075	24.1219	0
32	3.9186	24.1604	0
33	3.8475	24.2233	0
34	3.8027	24.1746	0
35	3.7329	23.9954	0
36	3.7014	23.9815	0
37	3.6865	24.0662	0
38	3.6985	24.0372	0
39	3.6969	24.0684	0
40	3.6731	24.0925	0
41	3.7225	24.0288	0
42	3.6431	23.9637	0
43	3.8368	24.0528	0
44	3.7152	24.1123	0
45	3.6422	23.9579	0
46	3.7513	23.8056	0
47	3.7971	23.8430	0
48	3.9331	23.9196	0
49	3.8338	24.0435	0
50	3.8206	24.0964	0
51	3.8186	24.0856	0
52	3.7679	24.1057	0
53	3.7683	24.0106	0
54	3.6420	23.8500	0
55	3.6055	23.8699	0
56	3.5357	23.8251	0
57	3.7618	23.8359	0
58	3.7774	23.8955	0
59	3.7422	23.8312	0
60	3.7646	23.7282	0
61	3.7942	23.5985	0
62	3.5834	23.6187	0
63	3.5854	23.6168	0
64	3.6353	23.6016	0
65	3.5936	23.6386	0
66	3.5289	23.7557	0
67	3.5591	23.7118	0
68	3.6205	23.8016	0
69	3.6795	23.7576	0
70	3.7935	23.6851	0
71	3.7946	23.6297	0
72	3.8569	23.7072	0
73	3.8985	23.7967	0
74	3.8067	23.8111	0
75	3.7748	23.8792	0
76	3.8502	24.0760	0
77	3.8710	24.0528	0
78	3.8553	24.0527	0
79	3.9330	23.9098	0
80	3.8495	23.8860	0
81	3.8525	23.8508	0
82	3.8551	23.8548	0
83	3.8051	23.8518	0
84	3.8722	23.8856	0
85	3.7672	23.8844	0
86	3.7313	23.9537	0
87	3.4353	24.0093	0
88	3.4934	24.0769	0
89	3.5092	24.1479	0
90	3.5159	24.0754	0
91	3.6045	23.9886	0
92	3.6634	23.9464	0
93	3.5457	24.0435	0
94	3.5818	24.2161	0
95	3.4959	24.1862	0
96	3.3438	24.2371	0
97	3.3316	24.1956	0
98	3.3465	24.0879	0
99	3.2647	24.0248	0
100	3.2960	24.0048	0
101	3.2478	24.2077	0
102	3.0586	24.1966	0
103	3.0828	24.1209	0
104	3.1007	24.1022	0
105	2.9894	24.1910	0
106	2.8997	24.1338	0
107	2.8991	24.0440	0
108	2.8090	24.2049	0
109	2.7565	24.1087	0
110	2.6970	24.1541	0
111	2.4702	24.2963	0
112	2.4853	24.2958	0
113	2.5164	24.2981	0
114	2.5539	24.2284	0
115	2.3834	24.2324	0
116	2.3888	24.2122	0
117	2.4445	24.2645	0
118	2.3034	24.2652	0
119	2.4838	24.2317	0
120	2.4768	24.1869	0
