Frame	X1	Y1	Flag1	X3	Y3	Flag3	X2	Y2	Flag2
1	10.3278	-5.8242	0	28.6541	-33.4869	0	-15.7931	-16.6230	0
2	10.1659	-5.5725	0	28.4650	-33.4869	0	-15.8540	-16.6407	0
3	10.2965	-5.7827	0	28.4803	-33.5227	0	-16.0458	-16.7392	0
4	10.1849	-5.9597	0	28.5939	-33.7825	0	-15.9111	-16.6985	0
5	10.1646	-6.0649	0	28.5901	-33.6297	0	-15.9092	-16.5547	0
6	10.2827	-6.0214	0	28.2452	-33.4767	0	-15.8933	-16.4912	0
7	9.8287	-6.2381	0	28.2200	-33.5436	0	-15.8050	-16.5321	0
8	9.7663	-6.1868	0	28.1686	-33.4908	0	-15.8617	-16.2154	0
9	9.7218	-6.3017	0	28.1621	-33.5277	0	-15.7608	-16.2677	0
10	9.4271	-6.5545	0	28.1634	-33.4153	0	-15.6571	-16.3661	0
11	9.3563	-6.3533	0	28.1200	-33.3387	0	-15.7537	-16.1743	0
12	9.3197	-6.3205	0	27.9491	-33.3574	0	-15.7345	-16.1440	0
13	9.3297	-6.1285	0	27.9219	-33.2005	0	-15.6968	-15.9913	0
14	9.1943	-6.1549	0	27.8965	-33.2012	0	-15.6291	-16.1654	0
15	9.3035	-5.8049	0	27.8465	-33.1138	0	-15.4169	-15.9862	0
16	9.4313	-5.6635	0	28.0043	-33.0721	0	-15.3006	-15.8880	0
17	9.5189	-5.6112	0	28.0286	-33.1634	0	-15.3710	-15.8689	0
18	9.5321	-5.7622	0	27.9260	-33.2093	0	-15.2637	-15.8653	0
19	9.6713	-5.8449	0	27.9058	-33.1918	0	-15.4672	-15.8135	0
20	9.7550	-6.0600	0	27.7354	-33.1872	0	-15.4875	-15.7316	0
21	9.8578	-6.1759	0	27.5507	-33.1788	0	-15.6018	-15.7897	0
22	9.8758	-6.3468	0	27.6370	-33.2415	0	-15.2330	-15.7350	0
23	9.8825	-6.4215	0	27.6997	-33.4249	0	-15.0972	-15.6898	0
24	9.7862	-6.3975	0	27.7290	-33.4153	0	-15.1457	-15.5456	0
25	9.9573	-6.4066	0	27.8244	-33.4528	0	-15.2186	-15.5608	0
26	10.1561	-6.4235	0	27.8088	-33.6017	0	-15.1663	-15.6611	0
27	9.9548	-6.4192	0	27.4785	-33.7373	0	-15.1646	-15.6052	0
28	9.9308	-6.6721	0	27.4692	-34.0098	0	-15.0651	-15.6273	0
29	9.9414	-6.6094	0	27.2849	-34.3276	0	-15.0747	-15.5610	0
30	9.8662	-6.5085	0	27.3486	-34.3107	0	-14.9939	-15.3183	0
31	9.9608	-6.6155	0	26.9994	-34.4062	0	-14.7616	-15.5984	0
32	9.9820	-6.6435	0	26.9279	-34.5339	0	-14.8470	-15.6468	0
33	9.8338	-6.6877	0	27.0878	-34.6368	0	-14.9750	-15.5814	0
34	9.8014	-6.6956	0	27.1786	-34.6302	0	-15.0308	-15.5419	0
35	9.6946	-6.6338	0	26.9901	-34.5222	0	-14.8469	-15.3058	0
36	9.8389	-6.5931	0	26.9965	-34.4790	0	-14.8728	-15.1323	0
37	9.8613	-6.4465	0	26.8834	-34.4387	0	-14.9670	-15.2552	0
38	9.6252	-6.2640	0	26.8987	-34.5472	0	-15.0992	-15.3375	0
39	9.5511	-6.2771	0	26.8302	-34.2227	0	-15.1204	-15.4580	0
40	9.1423	-6.2951	0	26.9409	-34.2285	0	-15.1418	-15.5465	0
41	9.0468	-5.8686	0	26.9345	-34.3185	0	-15.1537	-15.5286	0
42	8.8927	-5.6207	0	27.2306	-34.2322	0	-15.3013	-15.5642	0
43	8.8609	-5.5699	0	27.2424	-34.0918	0	-15.2153	-15.3970	0
44	8.6031	-5.6897	0	27.1674	-34.0350	0	-15.1741	-15.3002	0
45	8.5420	-5.8108	0	27.0682	-34.3520	0	-15.3559	-15.1066	0
