Frame	X1	Y1	Flag1	X2	Y2	Flag2
1	-31.4990	-5.1525	0	34.3975	-16.7550	0
2	-31.5531	-5.2443	0	34.4420	-16.8291	0
3	-31.5487	-5.2034	0	34.3993	-16.8344	0
4	-31.5150	-5.1857	0	34.4096	-16.8291	0
5	-31.4903	-5.1561	0	34.4324	-16.9417	0
6	-31.4629	-5.1495	0	34.4325	-16.9677	0
7	-31.5243	-5.2101	0	34.4340	-16.8575	0
8	-31.4896	-5.1990	0	34.4609	-16.9195	0
9	-31.4635	-5.1831	0	34.4465	-16.9785	0
10	-31.5509	-5.1698	0	34.4210	-16.9979	0
11	-31.5474	-5.2294	0	34.4206	-16.9716	0
12	-31.4903	-5.2479	0	34.4882	-16.9375	0
13	-31.5451	-5.2977	0	34.5427	-16.9594	0
14	-31.5355	-5.2403	0	34.4852	-16.9446	0
15	-31.5373	-5.2093	0	34.4967	-16.8745	0
16	-31.5338	-5.1956	0	34.5519	-16.9022	0
17	-31.5014	-5.1842	0	34.5421	-16.9165	0
18	-31.4493	-5.1646	0	34.5905	-16.9146	0
19	-31.5026	-5.1745	0	34.6366	-16.9425	0
20	-31.5253	-5.1934	0	34.6026	-16.8676	0
21	-31.4996	-5.2004	0	34.5608	-16.9746	0
22	-31.4971	-5.1996	0	34.5588	-16.9064	0
23	-31.4631	-5.0627	0	34.5769	-16.8794	0
24	-31.4927	-5.1753	0	34.5491	-17.0110	0
25	-31.4607	-5.1867	0	34.5486	-17.0470	0
26	-31.4671	-5.1293	0	34.5288	-17.0288	0
27	-31.4592	-5.1375	0	34.5743	-16.9347	0
28	-31.5678	-5.1675	0	34.5761	-16.9879	0
29	-31.5045	-5.1445	0	34.5686	-16.9617	0
30	-31.5220	-5.1701	0	34.5765	-16.8799	0
31	-31.4802	-5.1770	0	34.5510	-16.8857	0
32	-31.5355	-5.2016	0	34.5273	-16.9233	0
33	-31.5204	-5.1921	0	34.4792	-16.9170	0
34	-31.5095	-5.1465	0	34.4913	-16.9385	0
35	-31.5232	-5.1890	0	34.5114	-16.9091	0
36	-31.5281	-5.1539	0	34.4753	-16.8842	0
37	-31.5172	-5.1740	0	34.5206	-16.8187	0
38	-31.5219	-5.1967	0	34.5398	-16.8815	0
39	-31.4821	-5.2023	0	34.5554	-16.8884	0
40	-31.5112	-5.2636	0	34.5483	-16.7909	0
41	-31.4988	-5.2718	0	34.5393	-16.7883	0
42	-31.4690	-5.2551	0	34.5311	-16.8868	0
43	-31.4531	-5.1949	0	34.4852	-16.8535	0
44	-31.5649	-5.1333	0	34.4929	-16.9003	0
45	-31.5528	-5.1607	0	34.5049	-16.9296	0
46	-31.5129	-5.1314	0	34.5240	-16.8846	0
47	-31.4584	-5.0935	0	34.5085	-16.8961	0
48	-31.4559	-5.1647	0	34.4836	-16.8928	0
49	-31.4661	-5.2033	0	34.5266	-16.8844	0
50	-31.4750	-5.2030	0	34.5626	-16.8597	0
51	-31.4586	-5.2249	0	34.5598	-16.9276	0
52	-31.5022	-5.1772	0	34.6097	-16.9171	0
53	-31.5754	-5.1571	0	34.6601	-16.8337	0
54	-31.5717	-5.2142	0	34.6646	-16.8916	0
55	-31.5039	-5.1795	0	34.6236	-16.8861	0
56	-31.5438	-5.1674	0	34.6217	-16.8446	0
57	-31.5157	-5.1940	0	34.6742	-16.8456	0
58	-31.5010	-5.1988	0	34.6560	-16.8332	0
59	-31.5221	-5.2328	0	34.6941	-16.9226	0
60	-31.4966	-5.2398	0	34.7147	-16.8835	0
61	-31.5321	-5.2064	0	34.7264	-16.7811	0
62	-31.5592	-5.2129	0	34.6372	-16.7310	0
63	-31.5829	-5.1862	0	34.6172	-16.7638	0
64	-31.5000	-5.1281	0	34.6784	-16.7427	0
65	-31.5869	-5.2137	0	34.6510	-16.6879	0
66	-31.5515	-5.2535	0	34.6799	-16.7104	0
67	-31.5255	-5.1809	0	34.6730	-16.8192	0
68	-31.4836	-5.1957	0	34.6343	-16.8206	0
69	-31.4728	-5.1354	0	34.6155	-16.8359	0
70	-31.4746	-5.1735	0	34.5919	-16.8204	0
71	-31.5318	-5.1787	0	34.6217	-16.8528	0
72	-31.5447	-5.2211	0	34.6163	-16.8569	0
73	-31.5652	-5.2252	0	34.5519	-16.7973	0
74	-31.5418	-5.2576	0	34.5521	-16.8160	0
75	-31.5479	-5.2400	0	34.5761	-16.8247	0
76	-31.5040	-5.2667	0	34.6061	-16.7987	0
77	-31.5185	-5.2692	0	34.6362	-16.8050	0
78	-31.5539	-5.2346	0	34.7233	-16.7786	0
79	-31.5428	-5.2653	0	34.6771	-16.8298	0
80	-31.5023	-5.2324	0	34.6249	-16.8295	0
81	-31.5105	-5.2490	0	34.6428	-16.8123	0
82	-31.5746	-5.2467	0	34.6461	-16.7076	0
83	-31.5600	-5.2196	0	34.6597	-16.8059	0
84	-31.4959	-5.2044	0	34.6307	-16.7619	0
85	-31.4769	-5.1050	0	34.7055	-16.7773	0
86	-31.4680	-5.1400	0	34.6290	-16.8383	0
87	-31.4725	-5.1745	0	34.5907	-16.9062	0
88	-31.4667	-5.1124	0	34.5784	-16.9079	0
89	-31.4971	-5.1536	0	34.6216	-16.8737	0
