Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
1	10.3393	5.4960	0	-2.5548	-14.5384	0	-29.7825	3.6119	0	36.3935	-20.1403	0	5.8395	-32.0485	0
2	10.3934	5.5087	0	-2.4319	-14.5856	0	-29.7753	3.5785	0	36.3977	-20.1835	0	5.8474	-32.1349	0
3	10.4529	5.5838	0	-2.4209	-14.5994	0	-29.8381	3.5793	0	36.4639	-20.1803	0	5.8451	-32.0708	0
4	10.4886	5.6404	0	-2.4725	-14.6902	0	-29.8559	3.5175	0	36.4395	-20.2318	0	5.8258	-32.0721	0
5	10.4195	5.6140	0	-2.5691	-14.6946	0	-29.7732	3.4045	0	36.4233	-20.2613	0	5.8126	-32.1577	0
6	10.3030	5.6178	0	-2.7002	-14.7109	0	-29.7428	3.4937	0	36.3712	-20.2410	0	5.8201	-32.1316	0
7	10.3887	5.6601	0	-2.7058	-14.6129	0	-29.7831	3.5546	0	36.3544	-20.2286	0	5.8160	-32.1135	0
8	10.4602	5.6753	0	-2.7712	-14.4935	0	-29.7358	3.5305	0	36.3552	-20.2745	0	5.8433	-32.1115	0
9	10.4479	5.6906	0	-2.8107	-14.5142	0	-29.7406	3.5194	0	36.3264	-20.1747	0	5.8676	-32.1603	0
10	10.4815	5.7733	0	-2.8874	-14.5314	0	-29.7361	3.4799	0	36.3852	-20.2126	0	5.8427	-32.1155	0
11	10.5344	5.8488	0	-2.9058	-14.5711	0	-29.7661	3.5334	0	36.4083	-20.2255	0	5.8468	-32.1066	0
12	10.5981	5.8039	0	-2.8742	-14.6083	0	-29.7891	3.5073	0	36.3910	-20.3006	0	5.8724	-32.1274	0
13	10.6056	5.6865	0	-2.9406	-14.6010	0	-29.7914	3.5744	0	36.4265	-20.2737	0	5.8515	-32.0954	0
14	10.4757	5.7261	0	-2.9380	-14.5661	0	-29.8055	3.4941	0	36.4522	-20.2845	0	5.8670	-32.1339	0
15	10.4078	5.7529	0	-2.9251	-14.5624	0	-29.7671	3.5235	0	36.3875	-20.3141	0	5.9283	-32.0898	0
16	10.5116	5.7895	0	-2.9094	-14.5985	0	-29.8092	3.5870	0	36.3315	-20.2797	0	6.0090	-32.1398	0
17	10.5209	5.8261	0	-2.9776	-14.5441	0	-29.8235	3.5666	0	36.4027	-20.3245	0	6.0088	-32.1763	0
18	10.4883	5.7748	0	-2.9796	-14.5427	0	-29.8093	3.5260	0	36.4454	-20.2542	0	5.9401	-32.2131	0
19	10.5157	5.7323	0	-3.0693	-14.5180	0	-29.8023	3.5323	0	36.4367	-20.2298	0	5.9519	-32.2238	0
20	10.6268	5.6757	0	-2.9508	-14.5185	0	-29.7226	3.5593	0	36.3819	-20.2297	0	5.8971	-32.2097	0
21	10.6395	5.6154	0	-2.9560	-14.5043	0	-29.7116	3.5223	0	36.3770	-20.2802	0	5.8742	-32.1555	0
22	10.5131	5.6698	0	-3.0032	-14.4152	0	-29.7483	3.4938	0	36.3404	-20.2801	0	5.9074	-32.1384	0
23	10.4270	5.8027	0	-2.9754	-14.4170	0	-29.7647	3.5526	0	36.3476	-20.2522	0	5.8500	-32.1313	0
24	10.4525	5.8163	0	-3.0570	-14.4726	0	-29.7605	3.5848	0	36.2920	-20.2796	0	5.8716	-32.0934	0
25	10.3143	5.7733	0	-3.0656	-14.5127	0	-29.7072	3.5548	0	36.2732	-20.2931	0	5.7965	-32.1330	0
26	10.2368	5.7715	0	-2.9916	-14.4532	0	-29.7349	3.5778	0	36.2901	-20.2574	0	5.8213	-32.1498	0
27	10.1776	5.7792	0	-2.9904	-14.3998	0	-29.7621	3.5768	0	36.3586	-20.2591	0	5.8068	-32.1204	0
28	10.1636	5.7876	0	-3.0102	-14.5052	0	-29.7959	3.4848	0	36.2968	-20.2105	0	5.8254	-32.1323	0
29	10.1825	5.8808	0	-3.0185	-14.4788	0	-29.7862	3.5000	0	36.3255	-20.2412	0	5.8503	-32.1697	0
30	10.2132	5.9546	0	-3.0479	-14.5091	0	-29.7719	3.4372	0	36.2792	-20.2247	0	5.8833	-32.1933	0
31	10.1910	5.8942	0	-3.0837	-14.5478	0	-29.8032	3.5298	0	36.2614	-20.1828	0	5.9197	-32.1987	0
32	10.1701	5.8507	0	-3.0836	-14.4673	0	-29.8239	3.4926	0	36.2468	-20.1981	0	5.9341	-32.1702	0
33	10.2426	5.8407	0	-3.0658	-14.5010	0	-29.8379	3.5707	0	36.1911	-20.1934	0	5.9665	-32.1270	0
34	10.2726	5.8150	0	-3.0560	-14.5061	0	-29.7633	3.5576	0	36.1866	-20.2502	0	5.9584	-32.1369	0
35	10.3911	5.8280	0	-3.1021	-14.5416	0	-29.8117	3.5598	0	36.1396	-20.2730	0	5.9760	-32.1266	0
36	10.3576	5.8942	0	-3.1471	-14.4877	0	-29.8428	3.5445	0	36.1099	-20.2157	0	5.9424	-32.1828	0
37	10.3856	5.9065	0	-3.2014	-14.5073	0	-29.8022	3.5405	0	36.1426	-20.2317	0	5.9377	-32.2045	0
38	10.4079	5.8477	0	-3.2184	-14.5385	0	-29.8375	3.5669	0	36.1506	-20.1904	0	5.9171	-32.2175	0
39	10.4347	5.7957	0	-3.2563	-14.5327	0	-29.8013	3.5737	0	36.1859	-20.2143	0	5.9083	-32.2225	0
40	10.4048	5.8192	0	-3.3341	-14.4222	0	-29.8090	3.6324	0	36.1939	-20.1778	0	5.8913	-32.2173	0
41	10.3490	5.6205	0	-3.3260	-14.4063	0	-29.7490	3.5495	0	36.1194	-20.1204	0	5.9719	-32.1853	0
42	10.2810	5.6462	0	-3.3255	-14.4026	0	-29.7726	3.5509	0	36.1172	-20.1510	0	5.9740	-32.2358	0
43	10.2476	5.7678	0	-3.3393	-14.3658	0	-29.8041	3.5382	0	36.1614	-20.1238	0	5.9990	-32.1624	0
44	10.2167	5.7283	0	-3.3396	-14.3886	0	-29.7697	3.5592	0	36.2355	-20.2062	0	6.0083	-32.2022	0
45	10.1868	5.6801	0	-3.3402	-14.4427	0	-29.8092	3.5841	0	36.2749	-20.2176	0	5.9209	-32.1764	0
46	10.1567	5.6504	0	-3.3837	-14.4594	0	-29.8182	3.5338	0	36.2910	-20.2290	0	5.9539	-32.1176	0
47	10.2087	5.6361	0	-3.3620	-14.4364	0	-29.7849	3.5040	0	36.2590	-20.1930	0	5.9835	-32.0649	0
48	10.1702	5.6309	0	-3.3849	-14.4638	0	-29.7700	3.5086	0	36.2445	-20.1912	0	6.0330	-32.0341	0
49	10.2011	5.6232	0	-3.4659	-14.4236	0	-29.7014	3.5450	0	36.2098	-20.2005	0	5.9705	-32.0987	0
50	10.1480	5.5664	0	-3.4553	-14.4763	0	-29.6948	3.5512	0	36.1796	-20.2325	0	5.9176	-32.1845	0
51	10.1005	5.5351	0	-3.3648	-14.5301	0	-29.6726	3.5327	0	36.1834	-20.2209	0	5.8955	-32.2413	0
52	10.0781	5.4977	0	-3.3557	-14.4162	0	-29.7361	3.5590	0	36.2167	-20.2545	0	5.8829	-32.2548	0
53	10.0897	5.4826	0	-3.4308	-14.3335	0	-29.7505	3.5468	0	36.2319	-20.2315	0	5.8370	-32.1767	0
54	10.0111	5.5345	0	-3.4307	-14.2948	0	-29.7424	3.5071	0	36.2901	-20.2643	0	5.8291	-32.1835	0
55	9.9135	5.4106	0	-3.5151	-14.3559	0	-29.7415	3.5661	0	36.3189	-20.2664	0	5.8281	-32.2153	0
56	9.9544	5.3847	0	-3.5894	-14.3811	0	-29.7459	3.5595	0	36.2775	-20.2060	0	5.8203	-32.2438	0
57	9.9042	5.4167	0	-3.5693	-14.3475	0	-29.7725	3.6150	0	36.2720	-20.2467	0	5.8066	-32.1481	0
58	9.9038	5.3974	0	-3.5602	-14.2596	0	-29.7982	3.6117	0	36.2253	-20.2004	0	5.8596	-32.1476	0
59	9.9013	5.4436	0	-3.4861	-14.1953	0	-29.8367	3.6239	0	36.2572	-20.2820	0	5.7734	-32.1126	0
60	9.8484	5.5330	0	-3.4372	-14.2540	0	-29.8344	3.5690	0	36.2319	-20.2518	0	5.8112	-32.1573	0
61	9.8597	5.5432	0	-3.3652	-14.1937	0	-29.7904	3.5578	0	36.1954	-20.2248	0	5.8347	-32.1828	0
62	9.7392	5.5643	0	-3.3690	-14.2513	0	-29.8282	3.5889	0	36.2201	-20.2172	0	5.8486	-32.2010	0
63	9.6440	5.4875	0	-3.3204	-14.2314	0	-29.8149	3.6219	0	36.1879	-20.2689	0	5.8792	-32.1096	0
64	9.6824	5.5211	0	-3.2718	-14.2626	0	-29.7756	3.5870	0	36.1742	-20.2144	0	5.9063	-32.1247	0
65	9.6780	5.5295	0	-3.2926	-14.2909	0	-29.8185	3.5651	0	36.1859	-20.2306	0	5.9093	-32.1313	0
66	9.6547	5.6581	0	-3.3462	-14.3447	0	-29.8304	3.5578	0	36.1216	-20.2097	0	5.9318	-32.1346	0
