video,date,prefix,trial,bead_um,solute_pct,solute_type,eta_mPas,fps,n_segments,D_variance,D_var_err,D_gauss,D_gauss_err,D_msd,D_msd_err,D_var_raw,D_gauss_raw,D_msd_raw,D_noise,D_theory,D_mid,D_wall,F_mid,alpha,alpha_err,dev_pct
r1-1mu-0_5p-1_15ul-water-500ul-gly-0-tracker,2026-03-05,r1,1,1.000000,0.000000,Glycerol,0.980687,29.000000,5,0.406528,0.008659,0.403961,0.008659,0.381810,0.009266,0.424564,0.421997,0.399846,0.018036,0.439490,0.433498,0.425801,0.986365,0.814494,0.034697,-8.319472
r10-2_1mu-0_5p-4ul-water-298ul-gly-200ul-trial1-tracker,2026-03-05,r10,1,2.100000,40.160643,Glycerol,3.590084,29.000000,4,0.011352,0.006240,0.008493,0.006240,0.012798,0.001380,0.029388,0.026529,0.030834,0.018036,0.057164,0.055528,0.053434,0.971380,0.869903,0.034752,-80.404178
r10-2_1mu-0_5p-4ul-water-298ul-gly-200ul-trial2-tracker,2026-03-05,r10,2,2.100000,40.160643,Glycerol,3.590084,29.000000,4,0.034799,0.004234,0.032403,0.004234,0.032644,0.001213,0.052835,0.050439,0.050680,0.018036,0.057164,0.055528,0.053434,0.971380,0.939565,0.010431,-40.062758
r11-3mu-0_5p-6ul-water-297ul-gly-200ul-trial1-tracker,2026-03-05,r11,1,3.000000,40.241449,Glycerol,3.602901,29.000000,5,0.007699,0.003317,0.003872,0.003317,0.004371,0.001004,0.025735,0.021908,0.022406,0.018036,0.039871,0.038242,0.036166,0.959139,0.800714,0.034730,-86.103829
r11-3mu-0_5p-6ul-water-297ul-gly-200ul-trial2-tracker,2026-03-05,r11,2,3.000000,40.241449,Glycerol,3.602901,29.000000,5,0.003469,0.001508,0.002908,0.001508,0.000000,0.000509,0.021505,0.020944,0.017990,0.018036,0.039871,0.038242,0.036166,0.959139,0.994723,0.050680,-94.441293
r12-5mu-0_5p-10ul-water-290ul-gly-200ul-trial2-tracker,2026-03-05,r12,2,5.000000,40.816327,Glycerol,3.695982,29.000000,3,0.000000,0.003036,0.000000,0.003036,0.000000,0.000524,0.010426,0.009052,0.009121,0.018036,0.023318,0.021733,0.019746,0.932041,1.104477,0.018087,-100.000000
r12-5mu-0_5p-10ul-water-290ul-gly-200ul-trial3-tracker,2026-03-05,r12,3,5.000000,40.816327,Glycerol,3.695982,29.000000,5,0.000000,0.000693,0.000000,0.000693,0.000000,0.000158,0.015187,0.016365,0.010835,0.018036,0.023318,0.021733,0.019746,0.932041,1.110483,0.012297,-100.000000
r12-5mu-0_5p-20ul-water-290ul-gly-200ul-trial2-tracker,2026-03-05,r12,2,5.000000,40.816327,Glycerol,3.695982,29.000000,3,0.000000,0.003036,0.000000,0.003036,0.000000,0.000524,0.010426,0.009052,0.009121,0.018036,0.023312,0.021728,0.019741,0.932041,1.104477,0.018087,-100.000000
r12-5mu-0_5p-20ul-water-290ul-gly-200ul-trial3-tracker,2026-03-05,r12,3,5.000000,40.816327,Glycerol,3.695982,29.400000,5,0.001550,0.000636,0.000426,0.000636,0.000000,0.000303,0.019586,0.018462,0.016392,0.018036,0.023312,0.021728,0.019741,0.932041,0.944061,0.010858,-96.968288
r14-2_1mu-0_5p-4ul-acetone-498ul-trial1-tracker,2026-03-05,r14,1,2.100000,100.000000,Acetone,0.320000,29.000000,5,0.285521,0.014841,0.281852,0.014841,0.286791,0.005303,0.303556,0.299888,0.304826,0.018036,0.641329,0.622974,0.599477,0.971380,0.964395,0.024278,-54.296476
r14-2_1mu-0_5p-4ul-acetone-498ul-trial2-tracker,2026-03-05,r14,2,2.100000,100.000000,Acetone,0.320000,29.000000,5,0.346625,0.006036,0.341904,0.006036,0.361909,0.005157,0.364661,0.359940,0.379945,0.018036,0.641329,0.622974,0.599477,0.971380,1.031689,0.019039,-43.794477
r15-3mu-0_5p-6ul-acetone-497ul-trial1-tracker,2026-03-05,r15,1,3.000000,100.000000,Acetone,0.320000,29.000000,5,0.196441,0.011433,0.199737,0.011433,0.199682,0.003879,0.214476,0.217773,0.217718,0.018036,0.448909,0.430566,0.407191,0.959139,0.809752,0.026910,-53.870025
r16-5mu-0_5p-20ul-acetone-490-trial1-tracker,2026-03-05,r16,1,5.000000,100.000000,Acetone,0.320000,29.000000,3,0.054084,0.001081,0.054457,0.001081,0.068860,0.003089,0.072120,0.072493,0.086896,0.018036,0.269258,0.250959,0.228012,0.932041,1.075386,0.043550,-76.436990
r16-5mu-0_5p-20ul-acetone-490-trial2-tracker,2026-03-05,r16,2,5.000000,100.000000,Acetone,0.320000,29.000000,2,0.066183,0.003620,0.071499,0.003620,0.062262,0.001778,0.084219,0.089534,0.080298,0.018036,0.269258,0.250959,0.228012,0.932041,0.891505,0.021234,-73.442800
r16-5mu-0_5p-20ul-acetone-490-trial4-tracker,2026-03-05,r16,4,5.000000,100.000000,Acetone,0.320000,29.000000,3,0.070262,0.003537,0.070979,0.003537,0.059566,0.001676,0.088297,0.089014,0.077602,0.018036,0.269258,0.250959,0.228012,0.932041,0.603909,0.056981,-73.328202
r2-2_1mu-0_5p-4ul-water-498ul-gly-0l-trial1-tracker,2026-03-05,r2,1,2.100000,0.000000,Glycerol,0.980687,29.000000,5,0.070611,0.025008,0.063173,0.025008,0.072707,0.005972,0.088647,0.081209,0.090743,0.018036,0.209267,0.203278,0.195611,0.971380,1.234346,0.031562,-66.139633
r3-3mu-0_5p-4ul-water-497ul-gly-0-trial1-tracker,2026-03-05,r3,1,3.000000,0.000000,Glycerol,0.980687,29.000000,5,0.067597,0.017404,0.059394,0.017404,0.066817,0.005075,0.085633,0.077430,0.084853,0.018036,0.146487,0.140501,0.132873,0.959139,0.672840,0.036444,-54.019743
r3-3mu-0_5p-4ul-water-497ul-gly-0-trial2-tracker,2026-03-05,r3,2,3.000000,0.000000,Glycerol,0.980687,29.000000,1,0.105874,0.002766,0.100342,0.002766,0.061506,0.000399,0.123910,0.118378,0.079542,0.018036,0.146487,0.140501,0.132873,0.959139,0.688797,0.046342,-36.484094
r4-5mu-0_5p-10ul-water-490ul-gly-0-trial1-tracker,2026-03-05,r4,1,5.000000,0.000000,Glycerol,0.980687,29.000000,3,0.044296,0.009445,0.035481,0.009445,0.028747,0.000659,0.062332,0.053517,0.046783,0.018036,0.087880,0.081907,0.074418,0.932041,0.966863,0.014292,-55.834544
r4-5mu-0_5p-10ul-water-490ul-gly-0-trial2-tracker,2026-03-05,r4,2,5.000000,0.000000,Glycerol,0.980687,29.000000,2,0.017233,0.000898,0.018812,0.000898,0.006703,0.000302,0.035268,0.036848,0.024739,0.018036,0.087880,0.081907,0.074418,0.932041,0.666328,0.018451,-82.603487
r5-1mu-0_5p-1_15ul-water-400ul-gly-100ul-trial1-tracker,2026-03-05,r5,1,1.000000,20.000000,Glycerol,1.694385,29.000000,4,0.268807,0.007546,0.264440,0.007546,0.243047,0.006922,0.286843,0.282476,0.261083,0.018036,0.254371,0.250903,0.246448,0.986365,1.139938,0.074572,3.133625
