Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
1	-19.1234	18.7603	0	-0.1128	0.0543	0	-59.9945	12.0420	0	-51.5346	14.0411	0
2	-19.1387	18.6851	0	-0.0837	0.0019	0	-60.0844	11.9877	0	-51.5142	13.9433	0
3	-19.1276	18.6611	0	-0.0842	-0.0309	0	-59.9977	11.9463	0	-51.5220	14.0574	0
4	-19.1727	18.7489	0	-0.0787	0.0880	0	-59.9975	12.0313	0	-51.5074	14.0623	0
5	-19.2072	18.8040	0	-0.0990	0.0109	0	-59.9743	12.1149	0	-51.5103	14.0318	0
6	-19.2241	18.7986	0	-0.1405	-0.0509	0	-59.9789	12.1033	0	-51.4650	14.0732	0
7	-19.2460	18.8539	0	-0.1250	-0.0348	0	-60.0048	12.1715	0	-51.4415	14.0724	0
8	-19.2429	18.8177	0	-0.1349	-0.0397	0	-59.9801	12.1281	0	-51.4989	14.0120	0
9	-19.2684	18.8023	0	-0.1603	-0.0665	0	-60.0934	12.0216	0	-51.5085	13.9994	0
10	-19.1820	18.8409	0	-0.1410	-0.0685	0	-60.0401	12.0563	0	-51.4876	14.0209	0
11	-19.2787	18.8028	0	-0.1316	-0.0398	0	-60.0220	12.1577	0	-51.5217	13.9713	0
12	-19.2818	18.7998	0	-0.0845	-0.0467	0	-59.9874	12.1010	0	-51.5115	13.9376	0
13	-19.3115	18.8214	0	-0.1073	-0.0460	0	-60.0038	12.1157	0	-51.4728	13.9801	0
14	-19.3572	18.7828	0	-0.0698	0.0806	0	-60.0802	12.0807	0	-51.4844	14.0267	0
15	-19.3080	18.8077	0	-0.0884	0.0445	0	-60.0078	12.0941	0	-51.5115	14.0048	0
16	-19.1980	18.8041	0	-0.1158	-0.0816	0	-60.0150	12.0327	0	-51.5029	13.9791	0
17	-19.1685	18.7531	0	-0.1221	-0.0056	0	-60.0172	12.0351	0	-51.4950	13.9402	0
18	-19.2249	18.7626	0	-0.1140	0.0358	0	-59.9783	12.0054	0	-51.4492	14.0232	0
19	-19.2541	18.7049	0	-0.1325	-0.0177	0	-59.9753	11.9985	0	-51.4822	14.0531	0
20	-19.2386	18.7194	0	-0.0414	-0.0166	0	-59.9723	11.9693	0	-51.4532	14.0092	0
21	-19.2236	18.7518	0	-0.0317	0.0095	0	-59.9577	12.0436	0	-51.5084	13.9766	0
22	-19.2049	18.6662	0	-0.0997	0.0144	0	-59.9851	12.0100	0	-51.5277	13.9829	0
23	-19.2891	18.7232	0	-0.1005	0.0148	0	-59.9706	12.0708	0	-51.5156	14.0238	0
24	-19.2214	18.7763	0	-0.1105	0.0316	0	-59.9396	12.0494	0	-51.5611	14.0049	0
25	-19.1854	18.7064	0	-0.1231	0.0335	0	-59.9846	11.9499	0	-51.5006	13.9759	0
26	-19.2260	18.6980	0	-0.0837	0.0172	0	-59.9420	12.0783	0	-51.5048	14.0011	0
27	-19.1664	18.6810	0	-0.1273	0.0307	0	-59.8878	12.0180	0	-51.5205	14.0043	0
28	-19.2409	18.6775	0	-0.0905	-0.0157	0	-59.9744	11.9952	0	-51.5396	14.0163	0
29	-19.2068	18.6556	0	-0.0865	0.0217	0	-60.0280	12.0630	0	-51.5278	13.9921	0
30	-19.1908	18.6004	0	-0.1358	0.0380	0	-60.0079	12.0549	0	-51.5299	13.9499	0
31	-19.1685	18.6584	0	-0.0831	0.0259	0	-59.9972	12.0830	0	-51.5095	14.0553	0
32	-19.1883	18.6782	0	-0.1067	0.0227	0	-59.9936	12.0959	0	-51.5500	13.9546	0
33	-19.1649	18.7206	0	-0.0996	-0.0054	0	-60.0019	12.0205	0	-51.5404	13.9698	0
34	-19.2138	18.7136	0	-0.1177	-0.0121	0	-60.0443	11.9749	0	-51.5186	14.0028	0
35	-19.1898	18.7261	0	-0.0864	0.0326	0	-60.0684	12.0797	0	-51.4730	14.0388	0
36	-19.1478	18.7446	0	-0.0729	-0.0085	0	-60.0178	12.0549	0	-51.5184	13.9719	0
