video,date,prefix,trial,bead_um,solute_pct,solute_type,eta_mPas,fps,n_segments,D_variance,D_var_err,D_gauss,D_gauss_err,D_msd,D_msd_err,D_var_raw,D_gauss_raw,D_msd_raw,D_noise,D_theory,D_mid,D_wall,F_mid,alpha,alpha_err,dev_pct
3um-0_5p-4_9pstock-0pgly-trial1,2026-02-24,3um,1,3.000000,0.000000,Glycerol,0.980687,29.000000,18,0.055106,0.036222,0.000000,0.036222,0.095008,0.005460,,,,,0.146501,0.140515,0.132886,0.959139,1.256100,0.023200,
3um-0_5p-4_9pstock-0pgly-trial2,2026-02-24,3um,2,3.000000,0.000000,Glycerol,0.980687,29.000000,69,0.074785,0.029924,0.000000,0.029924,0.035387,0.001629,,,,,0.146501,0.140515,0.132886,0.959139,0.679800,0.051100,
5um-20pgly-test-1000burstcount,2026-02-24,5um,1,5.000000,20.000000,Glycerol,1.694385,29.000000,8,0.417551,0.082625,0.280807,0.082625,0.213215,0.010968,,,,,0.050876,0.047418,0.043082,0.932041,0.372700,0.063500,
s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial3,2026-02-26,s1b,3,3.000000,0.000000,Glycerol,0.980687,29.000000,10,0.088249,0.107753,0.062921,0.107753,0.042105,0.002760,,,,,0.146493,0.140508,0.132880,0.959139,0.470000,0.022300,
s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial4,2026-02-26,s1b,4,3.000000,0.000000,Glycerol,0.980687,29.000000,9,0.095319,0.045295,0.048877,0.045295,0.037842,0.002970,,,,,0.146493,0.140508,0.132880,0.959139,0.862700,0.073700,
s1b-3um-0_5p-2_5ul-water-597_5ul-gly-0ul-trial5,2026-02-26,s1b,5,3.000000,0.000000,Glycerol,0.980687,29.000000,2,4.286707,0.365196,4.037879,0.365196,0.924413,0.000000,,,,,0.146493,0.140508,0.132880,0.959139,-0.226500,0.241200,
s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial1,2026-02-26,s2a,1,1.000000,20.012007,Glycerol,1.695026,29.000000,4,0.211945,0.065008,0.173192,0.065008,0.252342,0.020851,,,,,0.254280,0.250813,0.246360,0.986365,0.899300,0.056200,
s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial2,2026-02-26,s2a,2,1.000000,20.012007,Glycerol,1.695026,29.000000,6,0.296241,0.458353,0.261184,0.458353,0.394365,0.029977,,,,,0.254280,0.250813,0.246360,0.986365,0.788200,0.056300,
s2a-1um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial3,2026-02-26,s2a,3,1.000000,20.012007,Glycerol,1.695026,29.000000,3,0.238640,0.027480,0.152301,0.027480,0.108079,0.010590,,,,,0.254280,0.250813,0.246360,0.986365,1.995000,0.240100,
s2b-3um-0_5p-2_3ul-water-3997ul-gly-1000ul-trial1,2026-02-26,s2b,1,3.000000,20.012007,Glycerol,1.695026,29.000000,3,0.460684,0.062807,0.233386,0.062807,0.076935,0.003844,,,,,0.084760,0.081297,0.076883,0.959139,0.213400,0.080800,
