Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
1	231.09583	152.98767	 	163.40251	258.82706	 	629.9989	396.2773	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	254.8	156.43428	*	154.80869	255.75723	 	622.7544	424.08075	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	248.98846	159.13461	 	156.85484	261.54105	 	623.29065	419.34827	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	252.66731	158.31323	 	147.06772	263.40778	 	627.0056	420.36603	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	260.40033	151.8537	 	144.22974	266.45947	 	619.3924	438.17017	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	263.45468	154.88512	 	148.27744	283.44513	 	622.2881	424.3581	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	264.99698	164.58485	 	138.55934	294.85016	 	621.1704	419.761	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	243.4762	184.28389	*	148.50793	287.91534	 	618.9137	413.9201	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	248.11539	185.13077	 	156.692	292.244	 	599.20526	432.9494	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	228.1923	193.08824	*	156.22702	293.23538	 	621.0975	424.7613	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	220.1884	193.71378	 	159.18628	282.07983	 	618.81055	427.18237	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	224.87737	209.49623	*	153.32254	295.0042	 	618.1041	423.89444	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	221.256	218.756	*	145.85223	287.7209	 	602.85596	426.32434	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	217.37898	211.84395	 	140.4768	284.59564	 	591.4519	432.31085	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	208.76343	201.86742	 	148.21391	281.63385	 	591.96155	429.93076	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	209.89285	194.39107	 	152.65054	268.91397	 	614.8157	423.50543	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	210.87392	203.52957	 	152.52432	274.94864	 	626.57574	429.59314	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
18	216.24658	202.72945	 	157.97423	280.6701	 	616.1509	426.8063	*	303.5	182.5	 	 	 	 	 	 	 	 	 	 	 	 	 
19	216.35564	204.04578	 	156.68591	281.5676	 	610.5865	422.10706	 	283.05606	170.6435	 	 	 	 	 	 	 	 	 	 	 	 	 
20	211.14746	196.91356	 	150.18835	285.73035	 	600.4103	419.96045	 	295.6922	163.15974	 	 	 	 	 	 	 	 	 	 	 	 	 
21	219.95757	205.18266	 	162.4209	293.2853	 	605.4942	418.5	 	289.48187	162.42487	 	 	 	 	 	 	 	 	 	 	 	 	 
22	225.93369	194.18817	 	158.49518	289.13132	 	599.8752	420.3794	*	290.83414	161.23123	 	65.53674	92.93569	*	 	 	 	 	 	 	 	 	 
23	223.65234	205.625	 	155.49353	288.95474	 	596.4104	422.86435	 	290.30377	153.00269	 	70.995094	91.97549	*	 	 	 	 	 	 	 	 	 
24	220.06923	209.91154	 	167.25623	289.52136	 	598.3707	417.69144	 	301.37036	149.75462	 	78.65588	93.30882	*	 	 	 	 	 	 	 	 	 
25	230.62218	207.35521	*	169.62376	294.05444	 	590.72034	418.0661	 	307.70563	152.5065	 	80.538345	101.157814	 	 	 	 	 	 	 	 	 	 
26	242.52206	204.44118	*	167.96333	295.12247	 	590.35394	419.29468	 	297.6401	153.62077	 	74.496826	109.671425	*	 	 	 	 	 	 	 	 	 
27	258.95087	211.24258	*	163.92833	304.54095	 	596.612	419.85382	 	303.44775	156.801	 	81.98235	116.391174	*	322.0	54.5	 	 	 	 	 	 	 
28	276.89114	218.40475	*	160.13399	310.97495	 	595.9928	418.6022	 	308.28	159.61714	 	82.75455	118.70303	*	333.95456	46.590908	*	 	 	 	 	 	 
29	280.4875	207.47084	 	165.74586	305.2314	*	593.21515	424.04062	 	313.9665	173.28284	 	81.896225	125.386795	 	341.6617	65.95875	*	 	 	 	 	 	 
30	275.31818	211.49243	*	157.19498	301.3687	 	594.0204	416.73483	 	303.15115	170.44476	 	85.36908	129.50279	*	341.4049	63.055214	 	 	 	 	 	 	 
31	256.7082	216.36006	*	149.43462	303.2	 	598.37286	419.82834	 	305.7568	177.50604	 	90.69288	127.624626	 	343.86136	61.357143	 	 	 	 	 	 	 
32	246.58682	218.7964	 	145.71454	310.31454	 	606.6127	430.38968	*	308.32068	180.49393	 	90.156715	126.11194	 	344.6233	58.442467	 	 	 	 	 	 	 
33	254.0394	218.99394	*	134.97163	308.06384	 	602.2772	421.0557	*	304.71262	183.83554	 	81.847694	133.53384	 	353.6269	57.50302	 	 	 	 	 	 	 
34	245.0335	223.50693	*	140.11363	312.33636	 	603.8802	416.38547	 	313.2598	182.77937	*	77.17365	126.25449	 	358.55902	59.677017	 	 	 	 	 	 	 
35	230.07846	226.72014	*	130.26639	313.4916	 	598.58594	427.22134	*	309.43277	180.7381	 	70.84627	135.3806	 	365.55246	60.939342	 	 	 	 	 	 	 
36	229.62163	222.3491	*	132.05402	311.1023	 	616.4113	414.99454	*	312.42654	169.87006	 	73.730995	132.08772	 	368.5912	60.61321	 	 	 	 	 	 	 
37	250.73553	219.97305	*	139.83556	301.66	 	611.57745	420.82126	*	307.73184	160.8743	 	72.40062	127.72671	 	370.7358	61.32388	 	 	 	 	 	 	 
38	252.97005	224.57373	*	147.56236	302.55197	 	607.8012	414.0254	*	310.23065	159.89255	 	74.51887	128.01257	 	363.1611	46.327778	 	 	 	 	 	 	 
39	257.67828	234.40808	*	147.18729	298.55154	 	602.72186	416.8245	*	311.84784	154.00311	 	74.39308	135.81761	 	361.39825	43.19186	*	 	 	 	 	 	 
40	253.72443	237.27557	*	140.06927	296.97913	 	610.2771	430.6242	*	313.1811	142.57027	 	90.54902	148.02287	 	363.0503	43.076923	*	 	 	 	 	 	 
41	263.4776	227.16386	*	137.72592	281.48074	 	616.3657	417.0868	*	320.22772	150.0198	 	88.458595	152.1879	*	373.06268	50.603065	*	 	 	 	 	 	 
42	268.30627	211.72641	*	140.78462	270.09808	 	631.06604	416.17386	 	314.68625	142.17206	 	86.23248	155.1656	 	368.74258	63.807278	*	 	 	 	 	 	 
43	269.17514	223.36803	*	143.16948	272.64166	 	639.14703	411.32352	*	304.7321	150.57736	*	87.61003	161.45146	 	376.22772	67.36768	 	 	 	 	 	 	 
44	274.21683	224.61734	*	149.69858	271.9149	 	605.1212	423.8759	*	303.23547	150.53198	 	82.50631	166.02367	 	378.89664	62.716347	 	 	 	 	 	 	 
45	286.2985	231.19582	*	142.28427	275.00113	 	607.2257	428.15894	 	299.50592	144.7071	 	87.37719	170.78947	 	379.2348	59.80663	 	 	 	 	 	 	 
46	289.34244	224.61253	*	142.87337	279.52402	 	595.4944	434.15546	*	291.72028	143.98116	 	86.47369	164.85088	*	379.97205	64.63043	 	 	 	 	 	 	 
47	294.46097	220.94391	*	145.97072	295.87527	 	596.06586	435.41583	 	301.39444	131.79619	 	83.107956	173.43466	*	383.61145	57.06928	*	 	 	 	 	 	 
48	295.41006	214.50882	*	147.88293	305.85666	*	598.14496	440.47977	 	292.89423	145.57051	 	88.17173	171.82523	*	378.52664	58.284504	*	 	 	 	 	 	 
49	299.9887	204.03107	*	153.32495	316.52188	*	593.01556	441.40436	 	287.625	146.49107	 	82.04372	169.62842	 	380.11447	63.121685	*	 	 	 	 	 	 
50	307.64725	211.32822	*	151.51717	328.54507	*	596.5436	426.5	 	286.77036	150.82849	*	90.31534	169.73012	*	372.0425	70.394424	*	 	 	 	 	 	 
51	306.84476	213.92137	*	162.14317	324.0132	 	602.9794	420.34067	 	301.03653	151.7191	*	97.97632	164.26053	*	374.51892	71.35174	*	 	 	 	 	 	 
52	300.13562	229.42308	*	167.57875	318.56595	 	593.7089	425.19098	*	306.888	153.30441	*	110.5746	170.61368	*	373.34778	76.846725	*	 	 	 	 	 	 
53	290.5645	234.6147	*	172.69093	319.57184	 	587.4453	418.1674	*	312.1128	148.24695	*	110.337296	168.16362	 	369.63486	86.44911	*	 	 	 	 	 	 
54	293.654	229.642	 	172.74019	321.1201	 	579.8297	415.59326	*	317.24246	137.20137	 	113.27294	174.6462	 	376.10858	83.64	*	 	 	 	 	 	 
55	294.70703	238.5039	*	179.97469	316.17404	 	585.3965	418.3623	*	323.39255	140.91493	 	106.97072	183.71396	*	377.4656	80.80086	*	 	 	 	 	 	 
56	289.65158	238.34645	*	176.94067	312.89322	 	582.81726	416.1105	 	322.93533	143.49684	*	115.95095	178.36237	*	369.7754	79.59893	 	 	 	 	 	 	 
57	283.5879	243.62122	*	175.04314	313.8131	 	585.97485	423.47766	*	315.17792	139.42944	*	124.365234	181.6317	 	370.7776	75.54732	 	 	 	 	 	 	 
58	272.30072	240.01921	*	170.16875	310.33438	 	588.84467	429.37466	*	310.32068	135.15517	*	134.78761	177.95132	 	380.48755	67.475075	*	 	 	 	 	 	 
59	274.7401	230.6372	 	169.39441	310.13354	 	604.5528	444.2928	*	310.55777	134.11333	 	126.767204	173.24493	*	385.8835	72.95739	 	 	 	 	 	 	 
60	282.3631	230.03572	 	169.47403	312.97726	 	610.9809	446.14264	*	311.1159	134.15744	*	113.15964	191.54501	*	382.09937	71.496796	 	 	 	 	 	 	 
61	277.0572	229.41496	*	174.18488	325.88657	*	603.4044	444.72354	*	318.9662	134.54982	*	108.02987	198.04805	*	382.98642	73.29456	*	 	 	 	 	 	 
62	286.88095	225.51904	 	167.07655	336.1808	 	591.5259	439.92673	*	326.09445	145.01666	*	115.96244	191.07982	*	385.56668	75.62381	 	 	 	 	 	 	 
63	284.542	232.35115	*	169.27922	336.2857	 	589.20654	444.35327	*	331.73215	152.7296	*	113.07265	191.45726	*	383.20108	87.09239	 	 	 	 	 	 	 
