Frame	X1	Y1	Flag1
Tracks 1 to 1
1	 	 	 
2	 	 	 
3	 	 	 
4	 	 	 
5	1347.6666	830.94446	 
6	1347.86	831.62	 
7	1348.35	831.6	 
8	1349.9736	831.6053	 
9	1351.375	831.5	 
10	1351.5476	831.5476	 
11	1353.6333	831.23334	 
12	1353.5526	830.6053	 
13	1354.4412	830.67645	 
14	1355.875	830.25	*
15	1356.0	829.75	*
16	1267.5952	423.5476	 
17	 	 	 
18	 	 	 
19	 	 	 
20	 	 	 
21	 	 	 
22	 	 	 
23	 	 	 
24	 	 	 
25	 	 	 
26	 	 	 
27	 	 	 
28	 	 	 
29	 	 	 
30	 	 	 
31	 	 	 
32	 	 	 
33	 	 	 
34	 	 	 
35	 	 	 
36	 	 	 
37	 	 	 
38	 	 	 
39	 	 	 
40	 	 	 
41	 	 	 
42	 	 	 
43	 	 	 
44	 	 	 
45	 	 	 
46	 	 	 
47	 	 	 
48	 	 	 
49	 	 	 
50	 	 	 
51	 	 	 
52	 	 	 
53	 	 	 
54	 	 	 
55	 	 	 
56	 	 	 
57	 	 	 
58	 	 	 
59	 	 	 
60	 	 	 
61	 	 	 
