Frame,X1,Y1,Flag1,X2,Y2,Flag2,X3,Y3,Flag3,X4,Y4,Flag4,X5,Y5,Flag5,X6,Y6,Flag6,X7,Y7,Flag7,X8,Y8,Flag8,X9,Y9,Flag9,X10,Y10,Flag10,X11,Y11,Flag11,X12,Y12,Flag12,X13,Y13,Flag13,X14,Y14,Flag14,X15,Y15,Flag15,X16,Y16,Flag16,X17,Y17,Flag17,X18,Y18,Flag18,X19,Y19,Flag19,X20,Y20,Flag20,X21,Y21,Flag21,X22,Y22,Flag22,X23,Y23,Flag23,X24,Y24,Flag24,X25,Y25,Flag25,X26,Y26,Flag26,X27,Y27,Flag27,X28,Y28,Flag28,X29,Y29,Flag29,X30,Y30,Flag30,X31,Y31,Flag31,X32,Y32,Flag32,X33,Y33,Flag33,X34,Y34,Flag34,X35,Y35,Flag35,X36,Y36,Flag36,X37,Y37,Flag37,X38,Y38,Flag38,X39,Y39,Flag39,X40,Y40,Flag40,X41,Y41,Flag41,X42,Y42,Flag42,X43,Y43,Flag43,X44,Y44,Flag44,X45,Y45,Flag45,X46,Y46,Flag46,X47,Y47,Flag47,X48,Y48,Flag48,X49,Y49,Flag49,X50,Y50,Flag50,X51,Y51,Flag51,X52,Y52,Flag52,X53,Y53,Flag53,X54,Y54,Flag54,X55,Y55,Flag55,X56,Y56,Flag56,X57,Y57,Flag57,X58,Y58,Flag58,X59,Y59,Flag59,X60,Y60,Flag60,X61,Y61,Flag61,X62,Y62,Flag62,X63,Y63,Flag63,X64,Y64,Flag64,X65,Y65,Flag65,X66,Y66,Flag66,X67,Y67,Flag67,X68,Y68,Flag68,X69,Y69,Flag69,X70,Y70,Flag70,X71,Y71,Flag71,X72,Y72,Flag72,X73,Y73,Flag73,X74,Y74,Flag74,X75,Y75,Flag75
Tracks 1 to 75
1,49.8,1.3, ,524.54236,6.1892657, ,269.22708,86.67923, ,536.24445,87.23333, ,453.5112,103.50673, ,70.24359,114.80769, ,1288.9667,110.833336, ,1292.7858,130.55714, ,652.02,139.14, ,1422.9584,177.06944, ,489.9257,197.06676, ,277.8,194.95, ,253.93817,212.16129, ,478.73334,204.38333, ,1415.7054,206.45891, ,257.68948,214.55263, ,1223.8857,221.13731, ,745.48517,233.42592, ,349.63464,269.83554, ,205.14583,284.46875, ,196.70634,295.48413, ,958.61847,331.6115, ,235.14493,359.36957, ,1345.398,475.42856, ,1045.7961,516.20386, ,905.39856,531.1377, ,774.2474,570.3842, ,709.8218,618.43567, ,692.5909,617.7727, ,699.55884,637.2059, ,798.9859,653.822, ,1255.1698,802.9133, ,1143.7727,796.7727, ,998.5199,819.54974, ,98.388885,825.1049, ,1312.8529,875.2647, ,432.43976,932.6566, ,441.65518,940.069, ,443.15854,953.29266, ,3.5635839,971.3266, ,1198.7593,980.46295, ,1291.336,1005.2459, ,1431.6841,1047.8588, ,755.5789,1068.1013, ,1405.8395,1073.4518, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
2,54.3,1.1, ,523.5129,5.6318326, ,268.77332,85.643166,*,536.16516,87.57983, ,454.2366,104.36607, ,67.992065,114.59524, ,1286.6666,107.916664, ,1293.8334,129.72223, ,653.5,139.54167, ,1422.8287,177.15753, ,488.97043,196.94582, ,278.98,196.82,*,255.17741,212.31183,*,478.32352,205.08824, ,1415.2653,206.07143, ,258.63684,214.21579,*,1223.8384,220.85371, ,745.43384,233.53676, ,349.84616,270.01358, ,205.21614,284.20834, ,196.54109,294.93835, ,958.61725,332.04483, ,235.38806,360.2388, ,1344.6666,475.2396, ,1045.8883,516.3498, ,905.9789,531.3169, ,773.70636,567.5952, ,710.1423,617.87805,*,691.63336,623.76666,*,697.0625,636.3125,*,799.2692,654.2802, ,1256.2751,802.6288, ,1140.9642,801.0357,*,998.71783,819.1089, ,98.54565,824.5021, ,1313.8158,876.2368, ,434.0595,933.3929, ,441.85135,941.464, ,443.35974,954.0671, ,3.2172413,971.63104, ,1197.5,980.0714,*,1291.6022,1004.96716, ,1431.5,1048.0487, ,755.0414,1067.9395, ,1406.7108,1073.4414, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
3,50.642857,2.107143,*,525.38727,6.011561, ,270.36032,86.73725,*,535.6827,87.38584, ,453.99234,103.852295, ,68.844826,115.01724, ,1288.7273,105.318184, ,1294.7115,128.46153, ,653.26086,141.45653, ,1422.9546,176.56061, ,490.2921,198.0421, ,278.34,194.7, ,255.06282,210.911,*,479.02942,205.83333, ,1415.8889,205.53334, ,258.9433,213.48969,*,1224.8464,220.27777, ,746.3897,234.52942, ,350.92117,269.46, ,207.11719,285.71353, ,198.89024,296.7561, ,959.7194,332.56476, ,235.76515,359.6591, ,1344.9706,474.2843, ,1045.6058,516.5314, ,905.63983,530.2413, ,775.4342,568.1447, ,713.72766,620.87946, ,691.63336,625.36664, ,700.0455,637.6818,*,799.1133,653.40607, ,1256.3931,801.53955, ,1142.141,799.4487, ,998.56696,819.94977, ,99.43528,824.8403, ,1313.3649,876.5541, ,433.68182,931.92426, ,441.9643,940.4286, ,443.90964,953.7229, ,2.644144,972.3919, ,1196.6333,979.93335,*,1291.3926,1003.3926, ,1431.3514,1047.63, ,755.6847,1068.292, ,1406.3998,1073.8158, ,1436.0421,154.05421, ,1164.7727,780.86365, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
4,50.442856,1.7857143, ,524.72314,6.315427, ,271.26447,86.9561,*,536.38763,86.34494, ,453.7684,104.42424, ,69.71795,115.4359, ,1290.46,107.98, ,1298.3511,127.09574, ,654.2857,141.71428, ,1422.6143,176.58571, ,489.7359,199.15898, ,276.17743,192.53226, ,256.02942,211.39003,*,479.0098,207.97058, ,1415.5,206.32608, ,259.23685,213.57368,*,1223.981,220.49788, ,748.3029,233.85767, ,350.8583,269.8021, ,208.78497,286.8679, ,199.74,297.06, ,958.94366,332.081, ,235.40076,357.95038, ,1345.8922,473.39215, ,1045.8969,516.34436, ,905.3116,530.49274, ,776.6585,569.939, ,719.6939,625.42017, ,692.2692,625.4231,*,698.0294,636.35297,*,800.77936,653.80725, ,1257.7056,801.1846, ,1142.6372,801.2843, ,998.5926,820.7315, ,99.56118,825.6625, ,1313.3823,875.32355, ,433.37097,931.85486, ,441.31982,941.58105, ,443.4711,954.48267, ,2.3039215,973.35297, ,1196.825,981.3,*,1292.3695,1002.3406, ,1431.4641,1047.9902, ,755.8026,1069.2654, ,1408.2965,1073.7953, ,1436.8636,154.69698, ,1167.7084,784.875,*,1398.7727,162.86363, ,729.4286,566.0714, ,730.5714,579.2143, ,792.7857,601.2857, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
5,50.47872,6.2234044, ,524.1517,6.1825843, ,271.45517,86.4417,*,536.94727,85.79358, ,454.0373,103.98684, ,71.48718,115.28205, ,1290.5667,109.3, ,1297.7,127.425,*,651.36664,140.5, ,1424.0555,177.01389, ,490.0428,200.12103, ,280.74,197.12,*,255.96237,212.07796,*,479.69608,208.08824, ,1416.193,206.07895, ,260.07733,213.2629,*,1225.225,220.20454, ,748.6241,232.84306, ,352.15317,272.25226, ,209.89258,286.43634, ,201.35135,297.1757, ,960.7857,331.85135, ,234.43382,356.8603, ,1345.5952,473.67142, ,1045.7463,516.4522, ,905.44366,530.5211, ,774.63635,568.5795, ,716.82697,624.4455, ,691.0625,627.4375,*,697.7727,635.7727,*,801.47766,653.9693, ,1258.3314,801.7278, ,1143.4517,801.8387, ,998.3889,820.6511, ,101.117836,825.3577, ,1312.674,875.587,*,433.86487,933.0405, ,441.83334,941.2265, ,443.36584,954.4695, ,3.294702,973.9371, ,1193.8334,981.9, ,1293.3387,1002.14514, ,1431.2642,1047.8373, ,757.6511,1069.5422, ,1408.025,1073.4952, ,1436.2805,152.30487, ,1168.0217,784.36957, ,1400.1471,162.38235, ,735.0,568.3913,*,734.36365,581.7121,*,791.8043,607.413,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
6,53.738094,1.7857143,*,524.2995,6.818766, ,272.26443,85.46889,*,537.15735,86.61422, ,453.98114,104.74834, ,70.88461,114.78205, ,1288.4286,108.78571, ,1294.9814,129.2963,*,652.98,139.46, ,1425.1389,176.38889, ,491.33978,199.22868, ,280.08975,196.0641, ,255.68472,211.63547,*,479.6356,206.99153, ,1417.1982,205.42241, ,259.5521,214.0,*,1224.9427,220.88652, ,749.3951,232.43706, ,352.39792,273.5812, ,210.2559,285.58923, ,201.22728,295.75974, ,961.09436,332.01407, ,234.4037,355.93704, ,1346.304,474.12744, ,1045.6587,516.24536, ,907.355,530.28625, ,774.95264,567.5105, ,712.73553,619.917, ,692.96155,624.2692,*,696.63336,633.3,*,802.5649,654.85675, ,1259.3322,801.55286, ,1143.1976,798.47675, ,998.223,820.27466, ,102.192635,826.97577, ,1310.5,874.85297,*,433.18182,933.75, ,441.7906,941.9103, ,443.96625,955.2546, ,3.6676648,973.3383, ,1195.1296,979.94446,*,1291.934,1001.93396, ,1431.2993,1047.7421, ,758.23425,1070.2949, ,1408.2074,1073.4017, ,1437.0763,153.97458,*,1169.272,786.0614, ,1401.0,163.5, ,739.6053,564.5,*,732.822,575.2542,*,795.2755,608.39795,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
7,53.045456,1.9545455, ,524.1102,6.8871794, ,271.28653,85.49304,*,538.07336,87.05046, ,455.08475,106.16525, ,70.70635,114.70635, ,1285.7703,108.66216, ,1295.7778,129.05556, ,654.5,139.73077, ,1426.5294,176.63235, ,490.82315,198.8308, ,278.85,193.7,*,255.58894,211.10336,*,479.72415,207.22414, ,1417.9592,205.86734, ,259.7755,213.70409,*,1224.0525,221.56093, ,750.31946,230.90973, ,352.27188,274.57605, ,209.97354,286.4524, ,201.03847,296.05127, ,960.4718,332.6129, ,234.91006,355.6367, ,1347.5388,473.60678, ,1045.8215,516.3039, ,907.8555,529.1445, ,776.5513,569.02136, ,712.33936,618.4896,*,692.125,624.5625,*,699.1111,638.5,*,804.3681,656.18134, ,1258.8418,800.99884, ,1143.8898,800.48303,*,998.4398,820.5278, ,102.8922,828.7628, ,1311.8636,876.2879, ,433.92255,933.5282, ,442.5171,942.1838, ,444.6744,955.4186, ,3.7756758,973.95404, ,1194.8889,980.3333,*,1291.8729,998.9915, ,1431.4603,1047.8506, ,760.6938,1070.744, ,1408.3702,1073.4623, ,1436.2021,152.35106, ,1171.7222,788.35187,*,1402.5385,162.0, ,740.3333,565.3333,*,733.88464,575.6539,*,798.0294,607.2059, ,763.8077,567.5769,*,703.2714,632.8143, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
8,54.636364,1.8181819,*,523.89294,6.0894427, ,276.75235,81.8271,*,540.0378,88.042336, ,455.36563,105.12996, ,70.5,114.669495, ,1286.9706,109.44118, ,1292.65,129.95, ,655.23914,140.15218, ,1425.2031,177.26562, ,490.88766,198.4037, ,282.10657,199.0082,*,254.60445,211.61111,*,480.66,206.88, ,1417.4259,205.03334, ,259.52942,213.45097,*,1224.0939,222.08057, ,750.9514,229.45833, ,353.60226,275.65228, ,211.98671,286.49203, ,202.92105,296.0921, ,960.5,333.076, ,235.5511,355.93066, ,1349.5577,474.05768, ,1045.4926,516.2528, ,908.7463,528.69403, ,776.72,569.71, ,710.94574,612.7057,*,693.5909,624.63635, ,697.96155,632.96155,*,805.6842,655.7368, ,1259.4429,799.44293, ,1143.7532,802.4747, ,997.73474,821.3967, ,103.55165,829.0103, ,1314.1111,876.7778, ,433.31946,932.5972, ,442.58197,941.8033, ,445.84637,955.56146, ,4.521459,974.7446, ,1198.35,987.05,*,1292.4747,1001.27216,*,1431.2245,1047.791, ,762.6739,1070.8237, ,1409.2057,1073.8417, ,1437.3909,154.46364, ,1174.0349,791.7093,*,1401.5851,162.26596, ,735.9839,570.5968,*,733.5303,579.3788,*,804.1429,606.5714,*,763.2692,572.2692,*,705.25,633.875,*, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
9,54.518867,5.216981,*,524.8926,6.595491, ,276.83963,82.72642,*,540.26996,87.46811, ,456.73148,104.994385, ,72.08572,114.6, ,1285.1666,108.166664, ,1292.7916,129.16667, ,655.6739,140.54347, ,1425.3406,177.32608, ,492.34183,196.99234, ,281.3846,196.5, ,252.22676,207.73662,*,481.16,204.9, ,1417.0497,205.7914, ,259.86792,212.66037,*,1224.3909,222.5262, ,750.63196,229.76389, ,354.32608,277.63272, ,213.45454,288.2861, ,205.07954,296.44318, ,962.74713,333.98264, ,235.52238,355.75372, ,1350.3077,473.80768, ,1045.8778,516.2023, ,908.4774,529.7857, ,775.3276,568.35345,*,709.2899,610.58405, ,693.55884,618.67645, ,697.2692,636.4231,*,806.0645,655.3333, ,1260.7494,798.12695, ,1144.0574,802.4016, ,997.9464,820.87054, ,103.73722,829.06647, ,1311.9445,875.44446, ,430.6605,935.0309, ,443.025,941.11664, ,444.99417,955.9128, ,4.9521074,976.0862, ,1197.2959,981.1531, ,1291.9539,1002.53076, ,1431.2568,1048.0319, ,763.98737,1071.4142, ,1409.5311,1073.9233, ,1436.1066,153.45082, ,1175.0625,795.375,*,1401.6372,162.79411, ,734.3889,569.99207,*,741.62164,577.5405,*,798.0,608.5132, ,763.7857,566.2857, ,706.3,635.2,*,1393.674,181.45653, ,1270.919,862.5986, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
