Distance_(_),Gray_Value
0,151.667
1,154.333
2,156.167
3,154.333
4,150.333
5,141.167
6,122.333
7,99.500
8,76.167
9,57.000
10,43.333
11,32.167
12,24.500
13,19.333
14,16.500
15,15.167
16,15.167
17,15.167
18,14.500
19,14.500
20,14.333
21,13.833
22,14.167
23,13.500
24,13.000
25,12.833
26,12.000
27,12.000
28,12.500
29,12.167
30,12.333
31,12.833
32,13.167
33,12.833
34,12.333
35,12.333
36,12.333
37,12.167
38,12.333
39,12.000
40,12.500
41,12.500
42,13.000
43,13.167
44,13.167
45,12.833
46,12.500
47,12.333
48,12.333
49,12.167
50,12.333
51,13.000
52,13.333
53,12.833
54,13.167
55,13.000
56,13.167
57,13.167
58,13.167
59,13.167
60,13.500
61,13.500
62,13.333
63,14.000
64,14.000
65,14.333
66,15.333
67,15.333
68,15.167
69,15.167
70,14.333
71,14.833
72,16.667
73,19.833
74,23.833
75,30.167
76,38.667
77,51.167
78,71.000
79,93.833
80,116.167
81,132.000
82,140.167
83,145.667
84,146.333
85,146.167
86,147.167
87,148.000
88,149.833
89,152.167
90,153.500
91,155.167
92,156.333
93,156.000
94,155.667
95,155.833
96,156.500
97,157.167
98,158.667
99,158.000
100,157.500
101,157.833
102,157.833
103,158.667
104,159.000
105,158.000
106,157.833
107,157.500
108,157.500
109,157.500
110,157.333
111,156.667
112,155.833
113,155.833
114,155.833
115,156.667
116,157.000
117,157.833
118,157.500
119,157.167
120,157.500
121,156.667
122,156.333
123,157.167
124,158.667
125,159.167
126,158.667
127,157.833
128,158.167
129,158.167
130,157.500
131,157.667
132,158.167
133,157.833
134,157.500
135,157.333
136,157.333
137,157.167
138,157.000
139,155.667
140,154.833
141,153.833
142,152.000
143,150.500
144,150.167
145,151.167
146,152.333
147,154.000
148,155.333
149,152.833
150,145.667
151,131.667
152,109.833
153,85.667
154,65.167
155,48.333
156,36.500
157,28.000
158,22.167
159,18.833
160,16.833
161,15.667
162,16.000
163,16.000
164,15.667
165,15.000
166,14.167
167,13.667
168,13.500
169,13.333
170,13.333
171,12.833
172,12.667
173,12.500
174,12.500
175,12.667
176,13.000
177,13.333
178,13.167
179,13.000
180,13.000
181,12.833
182,13.333
183,13.167
184,12.500
185,12.333
186,12.333
187,12.500
188,12.167
189,12.667
190,12.833
191,13.000
192,13.000
193,12.500
194,12.500
195,13.167
196,13.500
197,13.167
198,13.333
199,13.833
200,14.000
201,13.500
202,13.333
203,13.000
204,13.000
205,13.167
206,13.000
207,13.333
208,14.167
209,15.000
210,15.333
211,15.333
212,15.500
213,15.500
214,15.167
215,15.333
216,15.500
217,16.000
218,18.000
219,21.500
220,26.000
221,31.500
222,40.500
223,57.000
224,78.500
225,102.667
226,122.833
227,137.167
228,146.667
229,150.333
230,149.833
231,147.833
232,148.000
233,149.833
234,152.000
235,155.000
236,157.500
237,157.167
238,156.500
239,155.667
240,157.667
241,158.833
242,158.000
243,156.167
244,157.000
245,158.500
246,158.833
247,157.667
248,156.500
249,157.000
250,158.333
251,157.500
252,157.167
253,156.667
254,156.333
255,156.500
256,157.000
257,155.667
258,155.000
259,155.333
260,155.000
261,155.167
262,155.333
263,154.667
264,154.667
265,154.333
266,154.500
267,154.833
268,156.333
269,157.500
270,157.667
271,156.833
272,158.333
273,159.167
274,157.833
275,158.000
276,159.333
277,160.000
278,159.167
279,158.167
280,156.167
281,155.333
282,157.000
283,158.333
284,158.667
285,157.000
286,155.000
287,154.500
288,153.500
289,151.000
290,151.000
291,152.833
292,153.833
293,154.833
294,156.000
295,154.500
296,148.333
297,134.000
298,113.167
299,88.667
300,65.500
301,48.500
302,36.000
303,27.167
304,21.167
305,18.167
306,16.333
307,16.167
308,16.833
309,16.333
310,15.667
311,15.167
312,14.667
313,14.167
314,14.000
315,13.667
316,13.333
317,12.833
318,12.833
319,13.000
320,13.333
321,13.667
322,13.333
323,13.167
324,13.167
325,13.333
326,13.167
327,13.000
328,13.000
329,12.667
330,13.500
331,13.667
332,13.167
333,12.667
334,12.833
335,12.667
336,13.000
337,13.333
338,13.333
339,13.500
340,13.000
341,12.333
342,12.833
343,13.833
344,13.833
345,13.833
346,13.833
347,13.667
348,13.833
349,14.167
350,14.333
351,14.333
352,14.167
353,14.333
354,14.667
355,15.000
356,16.000
357,16.500
358,16.167
359,16.000
360,16.000
361,16.167
362,16.333
363,17.500
364,20.333
365,23.833
366,28.667
367,36.167
368,48.500
369,68.167
370,90.667
371,112.833
372,130.833
373,140.833
374,145.667
375,147.833
376,147.500
377,148.000
378,149.000
379,150.000
380,153.333
381,157.000
382,157.333
383,157.000
384,157.333
385,157.333
386,157.167
387,157.000
388,157.167
389,156.833
390,157.167
391,157.167
392,157.500
393,158.000
394,157.500
395,156.333
396,156.333
397,156.667
398,155.833
399,155.000
400,155.167
401,156.167
402,156.500
403,156.000
404,155.833
405,156.500
406,157.167
407,157.167
408,156.500
409,155.833
410,155.833
411,156.333
412,156.000
413,156.333
414,156.833
415,157.667
416,158.000
417,158.833
418,158.500
419,157.833
420,157.167
421,157.333
422,157.833
423,158.333
424,158.000
425,157.167
426,156.500
427,156.500
428,157.167
429,157.500
430,157.833
431,157.000
432,156.167
433,155.833
434,153.833
435,152.000
436,152.833
437,155.167
438,157.500
439,157.833
440,156.333
441,150.000
442,136.333
443,115.500
444,91.667
445,70.333
446,53.167
447,39.833
448,30.500
449,24.333
450,20.500
451,18.000
452,17.667
453,18.333
454,18.000
455,17.000
456,16.500
457,16.333
458,16.167
459,16.167
460,16.000
461,15.167
462,14.833
