Frame	X1	Y1	Flag1
Tracks 1 to 1
1	 	 	 
2	 	 	 
3	 	 	 
4	1345.6	831.0	 
5	1347.6666	830.94446	 
6	1347.86	831.62	 
7	1348.35	831.6	 
8	1349.9736	831.6053	 
9	1351.375	831.5	 
10	1351.5476	831.5476	 
11	1353.6333	831.23334	 
12	1353.5526	830.6053	 
13	1354.4412	830.67645	 
14	1355.875	830.25	 
15	1356.0	829.75	 
16	1357.875	832.0	 
17	1357.6428	830.7857	 
18	1357.5769	831.03845	 
19	1357.1	831.4	 
20	1356.1923	831.03845	 
21	1355.375	831.4375	 
22	1355.0	830.625	 
23	1353.8572	830.5714	 
24	1354.5	830.7941	 
25	1353.6904	831.7381	 
26	1355.2778	831.6111	 
27	1356.1666	831.1	 
28	1357.2059	829.6177	 
29	1359.6875	828.8125	 
30	1359.5	828.6429	 
31	1360.7727	828.6818	 
32	1359.9	829.2	 
33	1358.7222	829.55554	 
34	1359.921	828.5526	 
35	1360.4412	830.08826	 
36	1362.5	829.7308	 
37	1362.2273	828.7727	 
38	1361.5476	828.9762	 
39	1362.1666	829.9286	 
40	1362.463	830.3889	 
41	 	 	 
42	 	 	 
43	 	 	 
44	 	 	 
45	 	 	 
46	 	 	 
47	 	 	 
48	 	 	 
49	 	 	 
50	 	 	 
51	 	 	 
52	 	 	 
53	 	 	 
54	 	 	 
55	 	 	 
56	 	 	 
57	 	 	 
58	 	 	 
59	 	 	 
60	 	 	 
61	 	 	 
