Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39
Tracks 1 to 39
1	561.3	145.62	 	1019.65	184.95	 	841.7759	229.01724	 	1182.921	264.8684	 	1029.8334	328.625	 	878.4375	377.8125	 	1179.1666	451.5	 	1203.8	637.0333	 	380.58334	725.0417	 	399.5	724.22	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	421.1	193.73334	*	1174.9706	275.14706	*	1180.5	450.85294	*	1202.8914	636.2826	*	1195.0555	966.1111	*	429.8125	780.0	*	1404.3667	952.36664	*	560.8913	995.45654	*	379.6875	718.0625	*	83.39474	970.2895	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	540.36664	127.566666	*	1177.375	451.4375	*	1198.3889	632.3889	*	1173.6666	966.4583	*	1437.1111	1011.8333	*	646.7381	751.5476	*	1436.7084	1019.3333	*	667.5	1042.6852	*	310.75	420.55	*	85.21429	967.4524	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	843.0185	209.5	*	1176.0927	449.31482	*	1197.9	631.54	*	1201.2646	984.32355	*	1406.1	947.1	*	399.2037	724.12964	*	1061.5	1000.2692	*	638.119	1055.119	*	311.5	419.375	*	86.625	962.75	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	539.3333	125.72222	*	1176.8334	447.0	*	1196.6034	631.0517	*	1194.6177	966.5	*	1307.4546	603.5	*	398.76666	722.1667	*	648.0517	1078.2931	*	545.0263	1044.4474	*	343.34	567.78	*	308.38235	817.55884	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	310.3	419.15	*	1175.6	446.85	*	1195.8928	629.3214	*	1437.5	1009.8	*	1308.2646	602.85297	*	309.33334	821.9583	*	553.6429	1003.5714	*	80.92308	975.6539	*	1105.7667	1.2333333	*	1378.8334	22.433332	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	346.05173	570.7414	*	1174.06	446.22	*	1198.5	631.3261	*	1431.9348	1049.6305	*	1385.5	460.0	*	398.0625	724.875	*	554.0	1002.1667	*	83.60714	971.2143	*	1215.1786	4.035714	*	1383.2646	28.147058	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	608.5476	690.3095	*	1197.591	632.5909	*	1385.1666	459.375	*	1194.8478	966.3261	*	657.63336	748.9667	*	423.5	853.0	*	69.20588	983.2059	*	43.9	449.1	*	602.2778	205.0	*	601.8158	415.39474	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	660.3421	749.6579	*	1198.2826	634.413	*	1383.5	461.32608	*	555.7353	1002.7941	*	424.26923	853.53845	*	361.14706	570.08826	*	81.26923	975.96155	*	46.108696	451.4565	*	521.9	145.2	*	872.5476	396.3095	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
