Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17	X18	Y18	Flag18	X19	Y19	Flag19	X20	Y20	Flag20	X21	Y21	Flag21	X22	Y22	Flag22	X23	Y23	Flag23	X24	Y24	Flag24	X25	Y25	Flag25	X26	Y26	Flag26	X27	Y27	Flag27	X28	Y28	Flag28	X29	Y29	Flag29	X30	Y30	Flag30	X31	Y31	Flag31	X32	Y32	Flag32	X33	Y33	Flag33	X34	Y34	Flag34	X35	Y35	Flag35	X36	Y36	Flag36	X37	Y37	Flag37	X38	Y38	Flag38	X39	Y39	Flag39	X40	Y40	Flag40	X41	Y41	Flag41	X42	Y42	Flag42	X43	Y43	Flag43	X44	Y44	Flag44	X45	Y45	Flag45	X46	Y46	Flag46	X47	Y47	Flag47	X48	Y48	Flag48	X49	Y49	Flag49	X50	Y50	Flag50	X51	Y51	Flag51	X52	Y52	Flag52	X53	Y53	Flag53	X54	Y54	Flag54	X55	Y55	Flag55	X56	Y56	Flag56	X57	Y57	Flag57	X58	Y58	Flag58	X59	Y59	Flag59	X60	Y60	Flag60	X61	Y61	Flag61	X62	Y62	Flag62	X63	Y63	Flag63	X64	Y64	Flag64	X65	Y65	Flag65	X66	Y66	Flag66	X67	Y67	Flag67	X68	Y68	Flag68	X69	Y69	Flag69	X70	Y70	Flag70	X71	Y71	Flag71	X72	Y72	Flag72	X73	Y73	Flag73	X74	Y74	Flag74	X75	Y75	Flag75
Tracks 1 to 75
1	347.0	0.8333333	 	539.8889	139.68056	 	683.1667	168.0	 	818.82184	194.56897	 	1411.75	254.83333	 	5.178571	342.82144	 	171.4	350.45	 	1201.856	352.05933	 	440.16315	354.60526	 	1214.975	354.9	 	457.36365	389.70908	 	807.26	424.27	 	477.4091	467.5909	 	376.62265	512.5755	 	354.35577	574.7308	 	1187.5896	599.41046	 	166.67526	618.25256	 	1404.5088	645.4649	 	195.6282	654.0	 	844.9045	690.73596	 	786.8871	797.24194	 	388.875	829.6607	 	745.2984	848.25	 	50.705128	868.21796	 	677.5968	936.32794	 	934.0	974.5	 	1305.306	979.58954	 	252.84483	1006.37933	 	264.55	1012.8	 	580.1286	1019.3	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	346.7	0.9	*	540.2826	140.36957	*	684.2241	167.91379	*	818.93567	195.33168	*	1412.7858	255.5	*	5.133333	342.13333	*	170.11905	352.2619	*	1202.3524	351.84427	*	438.96808	356.0	*	1215.3158	354.94736	*	457.15216	390.3087	*	807.21716	424.4899	*	477.11905	466.9762	*	376.05237	512.5095	*	355.49048	574.84283	*	1186.6666	598.4697	*	165.82631	618.0158	*	1403.5364	644.7091	*	194.34416	654.0585	*	844.9516	692.4677	*	787.2353	800.5	*	389.73422	830.518	*	744.6613	848.0887	*	50.193333	867.24664	*	678.0862	935.8563	*	933.00793	974.9286	*	1305.6096	980.73285	*	252.28125	1007.3281	*	265.42307	1012.1923	*	580.6359	1018.0631	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	346.5	0.75	*	540.5	139.5	*	684.2407	168.09259	*	818.9342	194.69737	*	1413.5714	255.35715	*	7.0	342.5	*	170.15384	352.84616	*	1201.8091	350.8818	*	439.26404	356.65732	*	1215.2317	353.93903	*	457.2857	390.0357	*	805.8958	425.97916	*	477.5	466.0	*	376.9299	512.77106	*	355.27982	574.922	*	1186.4412	597.5294	*	165.6579	616.64734	*	1404.5973	644.26105	*	193.40277	652.6667	*	846.907	692.6977	*	788.2027	800.36487	*	389.4266	831.8578	*	744.64514	849.121	*	50.528572	867.24286	*	676.7558	936.8372	*	932.0968	974.6129	*	1305.5428	982.3571	*	252.5	1006.9308	*	266.0	1011.0	*	580.38	1018.62	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	539.9143	138.51428	*	684.0185	167.72223	*	818.84247	194.39041	*	808.09595	426.24747	*	1413.1666	254.91667	*	8.0	343.5	*	169.24074	351.9074	*	1200.7833	351.23334	*	439.3969	357.30414	*	1214.3223	355.34445	*	455.875	389.60834	*	846.56024	691.98193	*	477.9762	466.2619	*	376.75742	514.4703	*	354.63333	574.48096	*	1186.3939	597.75757	*	166.31053	617.8684	*	1403.3596	644.307	*	193.59459	651.72974	*	787.9286	799.2714	*	744.7857	850.7941	*	389.18808	832.6101	*	676.05054	936.8483	*	50.785713	867.6286	*	580.71	1017.44	*	930.3644	975.0763	*	1306.34	981.0733	*	251.84427	1006.5	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	539.4429	138.45714	*	685.0	165.71428	*	819.0732	194.34146	*	808.14	425.59	*	1413.5	255.0	*	7.611111	343.7963	*	169.58333	352.58334	*	1199.4656	350.9655	*	440.75842	355.76965	*	1213.3298	354.47873	*	455.66	389.076	*	846.12964	691.87036	*	476.4091	466.13635	*	377.65	514.54	*	355.12036	574.2407	*	1187.5151	598.13635	*	167.02689	619.4462	*	1403.5085	644.2863	*	195.39041	650.73285	*	787.1316	799.4211	*	744.5738	849.9672	*	388.45413	832.0321	*	674.715	936.5	*	51.5	866.93286	*	580.49	1016.79	*	928.6746	975.48413	*	1305.9736	981.6184	*	251.24603	1005.3889	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	539.3732	138.45775	*	684.3125	164.78125	*	818.55066	194.20886	*	807.5707	424.75253	*	1413.591	254.5	*	6.5	343.0	*	168.86667	353.13333	*	1200.0	350.36206	*	440.95746	355.07446	*	1213.9	354.1	*	456.44574	388.0814	*	844.0595	690.6071	*	377.32828	514.601	*	356.54718	574.8019	*	194.76027	652.26715	*	1187.616	598.51447	*	167.91489	621.31915	*	1403.772	644.2807	*	238.07143	740.3571	*	786.52325	799.9186	*	743.9103	849.5598	*	387.7963	832.39813	*	675.1374	935.45605	*	50.14935	866.9286	*	580.1238	1017.5891	*	929.4697	976.5606	*	1306.3	982.19336	*	250.9762	1005.4365	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	539.85065	139.68182	*	686.2143	167.57143	*	818.91174	194.38235	*	807.28094	425.04285	*	1414.8334	253.58333	*	7.0	343.5	*	169.01852	353.3889	*	1200.5	351.0	*	441.07446	354.7553	*	1214.4111	353.72223	*	457.22357	388.54065	*	844.6548	690.6667	*	376.7396	514.0417	*	355.7381	573.76666	*	194.26712	652.6096	*	1188.486	599.3873	*	167.42	623.7	*	1402.8982	643.677	*	386.60678	832.0437	*	787.4318	799.5455	*	743.9628	849.8884	*	250.97762	1005.4403	*	676.1556	935.6	*	50.05263	865.8289	*	579.6456	1018.20874	*	930.93475	977.1377	*	1305.5411	982.15753	*	260.625	1016.1667	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	539.6039	140.94156	*	688.3148	168.90741	*	818.5161	194.17741	*	807.1733	425.28217	*	1415.5	254.7	*	7.892857	343.67856	*	169.0	352.5	*	1199.8704	353.0	*	440.70834	355.66666	*	1214.48	354.96	*	457.675	389.34167	*	844.99384	689.4383	*	376.62122	513.21716	*	357.2619	572.8143	*	193.1892	653.0135	*	1188.0443	598.86707	*	165.67476	625.2767	*	1403.0226	644.17566	*	386.97223	832.0833	*	789.5909	801.9773	*	744.54065	849.02844	*	252.2742	1006.4516	*	676.0056	935.06177	*	50.69737	867.5	*	580.1389	1018.1389	*	931.33826	976.44116	*	1306.02	982.94	*	261.0	1018.0	*	 	 	 	 	 	 	352.1	393.3	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	539.9533	142.16667	*	687.9516	169.91936	*	817.47296	195.24324	*	806.63403	425.42783	*	1415.625	255.625	*	7.5	343.32858	*	170.58	351.7	*	1200.2413	353.77585	*	441.3854	355.3125	*	1214.9	356.1	*	457.38617	388.72763	*	843.6685	689.26404	*	376.9902	512.64703	*	357.27884	572.50964	*	193.5	653.5	*	1188.2028	599.36487	*	163.97116	626.8461	*	1402.8545	644.55457	*	387.22897	831.42523	*	791.3	801.575	*	744.8361	847.37396	*	252.41803	1006.4672	*	675.5	934.3571	*	49.705128	869.21796	*	581.4245	1018.1132	*	930.31946	975.9861	*	1305.5986	983.5986	*	262.41306	1016.7174	*	 	 	 	 	 	 	475.07144	466.27142	*	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
