Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12	X13	Y13	Flag13	X14	Y14	Flag14	X15	Y15	Flag15	X16	Y16	Flag16	X17	Y17	Flag17
Tracks 1 to 17
1	1266.5	0.5	 	21.64355	169.77304	 	102.39591	179.77228	 	336.0233	221.86249	 	277.3153	285.41324	 	874.80273	417.48267	 	1135.8058	452.22202	 	393.17453	510.6075	 	1241.8275	534.20154	 	641.872	592.60345	 	512.5443	686.0558	 	1285.2955	717.07806	 	429.34293	722.2148	 	605.38306	839.9592	 	698.6808	928.6884	 	 	 	 	 	 	 
2	1266.5	0.5	*	21.946531	169.39836	*	102.40191	179.38602	*	335.25046	221.13701	*	277.3757	285.2626	*	875.6011	417.414	*	1135.7089	452.07742	*	393.4213	510.1335	*	1241.5168	534.6453	*	642.0886	592.1909	*	512.9213	686.2501	*	1285.659	717.46014	*	430.00385	721.69714	*	605.10455	840.0918	*	698.45135	927.8536	*	 	 	 	 	 	 
3	1268.5	0.5	*	22.326439	168.48097	*	102.78623	179.23642	*	335.62204	220.459	*	277.51355	285.0161	*	875.7732	417.15787	*	1135.0111	452.1987	*	393.0082	509.65204	*	1241.2441	533.5292	*	642.1808	591.61475	*	512.6702	686.22437	*	1285.0594	717.2817	*	430.45752	720.7354	*	604.5842	840.4986	*	699.03754	928.18677	*	 	 	 	 	 	 
4	1268.5	0.5	*	21.61959	167.73724	*	102.31185	179.15898	*	336.13293	220.71318	*	277.47055	284.75653	*	875.03046	416.04352	*	1135.1876	452.64612	*	393.77686	509.29962	*	1241.0872	532.896	*	642.2169	591.1613	*	512.4227	685.77313	*	1284.9945	717.035	*	430.74707	720.3887	*	604.8746	840.2851	*	698.8423	927.002	*	 	 	 	 	 	 
5	1269.5526	0.81578946	*	21.644175	167.17427	*	102.36561	179.44661	*	336.4044	221.2348	*	277.56192	284.56796	*	875.0136	415.78125	*	1136.2936	453.11642	*	395.28302	508.40503	*	1242.6396	532.7031	*	643.41614	591.2418	*	513.1205	685.2095	*	1285.4076	716.8053	*	431.706	720.1166	*	605.43835	840.4346	*	699.7198	925.8326	*	 	 	 	 	 	 
6	1268.1207	0.9137931	*	21.4455	167.9073	*	102.02677	180.3775	*	336.15506	221.21623	*	277.45718	284.96323	*	875.2398	416.34586	*	1135.9573	453.726	*	393.99857	508.43448	*	1242.3992	532.6277	*	643.55396	591.84784	*	513.9758	685.266	*	1284.9042	717.0012	*	431.54517	720.5113	*	604.11	841.05853	*	700.0886	926.08997	*	 	 	 	 	 	 
7	1268.4539	1.5615385	*	21.280607	167.54065	*	101.441284	180.92331	*	336.54617	220.87212	*	277.36865	285.09665	*	875.68054	416.57465	*	1136.0432	454.08	*	393.75922	508.52615	*	1241.9493	533.4027	*	644.1723	591.9225	*	514.4295	685.17255	*	1285.5657	717.2275	*	431.5986	721.35345	*	604.37744	840.96674	*	701.5746	925.87213	*	 	 	 	 	 	 
8	1267.371	1.5	*	20.685167	167.27351	*	100.028984	180.87953	*	337.60098	220.75552	*	277.39557	285.18112	*	875.5434	416.57956	*	1136.2416	455.29987	*	393.68918	509.16843	*	1242.3073	533.96576	*	643.8068	592.5536	*	514.021	685.3643	*	1286.2351	717.5018	*	431.4647	722.5932	*	604.936	841.91235	*	701.83905	926.3771	*	 	 	 	 	 	 
9	1267.2273	1.4636364	*	20.454363	167.6374	*	99.861984	180.45634	*	337.4774	221.26166	*	277.46375	285.0602	*	876.127	416.82275	*	1136.8475	455.3293	*	392.879	509.5189	*	1242.7892	534.5763	*	643.4137	592.93115	*	514.06525	685.1864	*	1287.1377	717.8935	*	431.91223	722.92316	*	605.0921	841.99744	*	702.3392	925.8629	*	 	 	 	 	 	 
