Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9
Tracks 1 to 9
1	1246.50000	433.50000	 	693.00000	411.00000	 	439.50000	771.00000	 	337.50000	376.50000	 	192.00000	1021.50000	 	1066.50000	471.00000	 	 	 	 	 	 	 	 	 	 
2	1249.50000	435.00000	 	685.50000	418.50000	 	441.00000	772.50000	 	337.50000	376.50000	 	192.00000	1021.50000	 	1066.50000	471.00000	 	 	 	 	 	 	 	 	 	 
3	1251.00000	433.50000	 	690.00000	415.50000	 	441.00000	772.50000	 	337.50000	378.00000	 	190.50000	1023.00000	 	1068.00000	471.00000	 	 	 	 	 	 	 	 	 	 
4	1254.00000	433.50000	 	691.50000	412.50000	 	441.00000	774.00000	 	337.50000	378.00000	 	192.00000	1023.00000	 	1063.50000	468.00000	 	 	 	 	 	 	 	 	 	 
5	1252.50000	432.00000	 	688.50000	415.50000	 	436.50000	771.00000	 	336.00000	378.00000	 	193.50000	1023.00000	 	1065.00000	468.00000	 	 	 	 	 	 	 	 	 	 
6	1252.50000	432.00000	 	688.50000	415.50000	 	438.00000	771.00000	 	336.00000	378.00000	 	192.00000	1021.50000	 	1066.50000	468.00000	 	 	 	 	 	 	 	 	 	 
7	1246.50000	432.00000	 	690.00000	411.00000	 	438.00000	771.00000	 	336.00000	378.00000	 	193.50000	1023.00000	 	1066.50000	468.00000	 	 	 	 	 	 	 	 	 	 
8	1245.00000	433.50000	 	691.50000	412.50000	 	439.50000	771.00000	 	334.50000	376.50000	 	193.50000	1021.50000	 	1066.50000	469.50000	 	 	 	 	 	 	 	 	 	 
9	1245.00000	432.00000	 	691.50000	412.50000	 	439.50000	772.50000	 	337.50000	382.50000	 	192.00000	1021.50000	 	1065.00000	468.00000	 	 	 	 	 	 	 	 	 	 
10	1245.00000	433.50000	 	688.50000	415.50000	 	439.50000	771.00000	 	340.50000	388.50000	 	192.00000	1021.50000	 	1066.50000	468.00000	 	 	 	 	 	 	 	 	 	 
11	1243.50000	433.50000	 	688.50000	415.50000	 	439.50000	772.50000	 	337.50000	375.00000	 	190.50000	1023.00000	 	1065.00000	468.00000	 	 	 	 	 	 	 	 	 	 
12	1245.00000	433.50000	 	690.00000	412.50000	 	438.00000	771.00000	 	337.50000	375.00000	 	186.22549	1017.76989	 	1065.00000	468.00000	 	 	 	 	 	 	 	 	 	 
13	1245.00000	433.50000	 	690.00000	412.50000	 	438.00000	772.50000	 	337.50000	384.00000	 	189.00000	1024.50000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
14	1249.30145	439.83555	 	690.00000	412.50000	 	436.50000	771.00000	 	336.00000	373.50000	 	187.50000	1023.00000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
15	1245.00000	432.00000	 	690.00000	412.50000	 	436.50000	771.00000	 	339.00000	385.50000	 	187.50000	1024.50000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
16	1243.50000	433.50000	 	690.00000	411.00000	 	438.00000	771.00000	 	339.00000	385.50000	 	187.50000	1023.00000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
17	1240.50000	435.00000	 	688.50000	411.00000	 	439.50000	771.00000	 	339.00000	385.50000	 	187.50000	1024.50000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
18	1240.50000	435.00000	 	687.00000	415.50000	 	438.00000	771.00000	 	339.00000	385.50000	 	187.50000	1023.00000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
19	1239.00000	435.00000	 	687.00000	418.50000	 	436.50000	769.50000	 	339.00000	387.00000	 	187.50000	1023.00000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
20	1240.50000	436.50000	 	688.50000	418.50000	 	436.50000	772.50000	 	334.50000	376.50000	 	187.50000	1023.00000	 	1065.00000	471.00000	 	 	 	 	 	 	 	 	 	 
21	1242.00000	436.50000	 	688.50000	409.50000	 	 	 	 	337.50000	382.50000	 	189.00000	1023.00000	 	1063.50000	469.50000	 	 	 	 	 	 	 	 	 	 
22	1240.50000	436.50000	 	688.50000	409.50000	 	436.50000	772.50000	*	336.00000	379.50000	 	187.50000	1023.00000	 	1065.00000	469.50000	 	 	 	 	 	 	 	 	 	 
23	1240.50000	436.50000	 	688.50000	409.50000	 	435.00000	772.50000	 	336.00000	376.50000	 	187.50000	1023.00000	 	1066.50000	471.00000	 	 	 	 	 	 	 	 	 	 
24	1240.50000	436.50000	 	688.50000	409.50000	 	435.00000	769.50000	 	336.00000	376.50000	 	187.50000	1021.50000	 	1063.50000	471.00000	 	 	 	 	 	 	 	 	 	 
25	1240.50000	438.00000	 	688.50000	409.50000	 	436.50000	768.00000	 	336.00000	379.50000	 	189.00000	1023.00000	 	1065.00000	471.00000	 	 	 	 	 	 	 	 	 	 
26	1242.00000	439.50000	 	687.00000	417.00000	 	 	 	 	334.50000	379.50000	 	189.00000	1023.00000	 	1063.50000	472.50000	 	 	 	 	 	 	 	 	 	 
27	1242.00000	439.50000	 	688.50000	412.50000	 	435.00000	771.00000	*	336.00000	379.50000	 	187.50000	1024.50000	 	1063.50000	474.00000	 	 	 	 	 	 	 	 	 	 
28	1243.50000	439.50000	 	690.00000	412.50000	 	436.50000	771.00000	 	336.00000	381.00000	 	186.00000	1023.00000	 	1065.00000	471.00000	 	 	 	 	 	 	 	 	 	 
29	1242.00000	439.50000	 	690.00000	412.50000	 	436.50000	771.00000	 	336.00000	381.00000	 	187.50000	1021.50000	 	1065.00000	472.50000	 	 	 	 	 	 	 	 	 	 
30	1240.50000	439.50000	 	690.00000	414.00000	 	435.00000	769.50000	 	337.50000	384.00000	 	187.50000	1018.50000	 	1065.00000	472.50000	 	 	 	 	 	 	 	 	 	 
31	1242.00000	439.50000	 	691.50000	414.00000	 	436.50000	769.50000	 	337.50000	381.00000	 	189.00000	1020.00000	 	1066.50000	472.50000	 	 	 	 	 	 	 	 	 	 
32	1243.50000	439.50000	 	691.50000	414.00000	 	436.50000	769.50000	 	339.00000	382.50000	 	189.00000	1020.00000	 	1065.00000	472.50000	 	 	 	 	 	 	 	 	 	 
33	1245.00000	439.50000	 	690.00000	414.00000	 	 	 	 	339.00000	382.50000	 	190.50000	1023.00000	 	1063.50000	474.00000	 	 	 	 	 	 	 	 	 	 
34	1245.00000	439.50000	 	690.00000	414.00000	 	436.50000	768.00000	*	337.50000	381.00000	 	193.50000	1023.00000	 	1063.50000	474.00000	 	 	 	 	 	 	 	 	 	 
35	1245.00000	441.00000	 	690.00000	412.50000	 	435.00000	768.00000	 	336.00000	379.50000	 	193.50000	1023.00000	 	1063.50000	474.00000	 	 	 	 	 	 	 	 	 	 
36	1243.50000	441.00000	 	691.50000	414.00000	 	432.00000	768.00000	 	 	 	 	186.75149	1017.98136	 	1065.00000	475.50000	 	 	 	 	 	 	 	 	 	 
37	1245.00000	441.00000	 	691.50000	414.00000	 	435.00000	768.00000	 	334.50000	382.50000	*	187.09356	1017.64741	 	1065.00000	474.00000	 	 	 	 	 	 	 	 	 	 
38	1245.00000	439.50000	 	693.00000	414.00000	 	435.00000	768.00000	 	337.50000	382.50000	 	190.50000	1023.00000	 	1065.00000	474.00000	 	 	 	 	 	 	 	 	 	 
39	1249.50000	441.00000	 	693.00000	414.00000	 	435.00000	768.00000	 	337.50000	379.50000	 	190.50000	1021.50000	 	1065.00000	474.00000	 	21.75551	556.58659	 	 	 	 	 	 	 
40	1248.00000	442.50000	 	693.00000	415.50000	 	436.50000	768.00000	 	339.00000	382.50000	 	189.00000	1021.50000	 	1065.00000	475.50000	 	 	 	 	 	 	 	 	 	 
