Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	905.38434	723.08338	 	 	 	 
2	 	 	 	 	 	 
3	 	 	 	 	 	 
4	 	 	 	 	 	 
5	890.79863	719.96078	*	 	 	 
6	887.16956	721.14471	 	 	 	 
7	886.77605	721.55694	 	 	 	 
8	886.16394	721.78112	 	 	 	 
9	883.10282	723.28165	 	 	 	 
10	894.44709	719.90290	 	 	 	 
11	882.51807	723.87299	 	 	 	 
12	881.68944	724.43859	 	 	 	 
13	881.02407	725.21953	 	 	 	 
14	891.00000	735.00000	 	 	 	 
15	880.61597	725.51780	 	 	 	 
16	891.23863	719.31063	 	 	 	 
17	 	 	 	 	 	 
18	 	 	 	 	 	 
19	874.71281	733.53421	*	 	 	 
20	 	 	 	 	 	 
21	 	 	 	 	 	 
22	 	 	 	 	 	 
23	876.24668	733.00861	*	 	 	 
24	884.19086	722.30383	 	 	 	 
25	 	 	 	 	 	 
26	 	 	 	 	 	 
27	 	 	 	 	 	 
28	 	 	 	 	 	 
29	 	 	 	 	 	 
30	 	 	 	 	 	 
31	 	 	 	 	 	 
32	 	 	 	 	 	 
33	 	 	 	 	 	 
34	 	 	 	 	 	 
35	 	 	 	 	 	 
36	 	 	 	 	 	 
37	 	 	 	 	 	 
38	 	 	 	 	 	 
39	 	 	 	 	 	 
40	 	 	 	 	 	 
41	 	 	 	 	 	 
42	 	 	 	 	 	 
43	 	 	 	 	 	 
44	 	 	 	 	 	 
45	 	 	 	 	 	 
46	 	 	 	 	 	 
47	 	 	 	 	 	 
48	 	 	 	 	 	 
49	 	 	 	 	 	 
50	 	 	 	 	 	 
51	 	 	 	 	 	 
52	 	 	 	 	 	 
53	 	 	 	 	 	 
54	 	 	 	 	 	 
55	 	 	 	 	 	 
56	 	 	 	 	 	 
57	 	 	 	 	 	 
58	 	 	 	 	 	 
59	 	 	 	 	 	 
60	 	 	 	 	 	 
61	 	 	 	 	 	 
62	 	 	 	 	 	 
63	 	 	 	 	 	 
64	 	 	 	 	 	 
65	 	 	 	 	 	 
66	 	 	 	 	 	 
67	 	 	 	 	 	 
68	 	 	 	 	 	 
69	 	 	 	 	 	 
70	 	 	 	 	 	 
71	 	 	 	 	 	 
72	 	 	 	 	 	 
73	 	 	 	 	 	 
74	 	 	 	 	 	 
75	 	 	 	 	 	 
76	 	 	 	 	 	 
77	 	 	 	 	 	 
78	 	 	 	 	 	 
79	 	 	 	 	 	 
80	 	 	 	 	 	 
81	 	 	 	 	 	 
82	 	 	 	 	 	 
83	 	 	 	 	 	 
84	 	 	 	 	 	 
85	 	 	 	 	 	 
86	 	 	 	 	 	 
87	 	 	 	 	 	 
88	 	 	 	 	 	 
89	 	 	 	 	 	 
90	 	 	 	 	 	 
91	 	 	 	 	 	 
92	 	 	 	 	 	 
93	 	 	 	 	 	 
94	 	 	 	 	 	 
95	 	 	 	 	 	 
96	 	 	 	300.00000	834.00000	 
97	 	 	 	301.22908	847.10064	 
98	 	 	 	300.21686	846.76673	 
99	 	 	 	300.00000	834.00000	 
100	 	 	 	300.00000	835.50000	 
101	 	 	 	302.29216	846.82516	 
102	 	 	 	 	 	 
103	 	 	 	 	 	 
104	 	 	 	 	 	 
105	 	 	 	 	 	 
106	 	 	 	298.50000	831.00000	*
107	 	 	 	 	 	 
108	 	 	 	 	 	 
109	 	 	 	301.11306	846.88768	*
110	 	 	 	 	 	 
111	 	 	 	 	 	 
112	 	 	 	300.00000	834.00000	*
113	 	 	 	298.37364	846.50868	 
114	 	 	 	 	 	 
115	 	 	 	 	 	 
116	 	 	 	 	 	 
117	 	 	 	 	 	 
118	 	 	 	 	 	 
119	 	 	 	 	 	 
120	 	 	 	 	 	 

Track 	Length	Distance traveled	Nr of Frames
1	126.89440	21.20781	16
2	97.97132	12.61396	10
