Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	876.19756	671.17565	 	 	 	 	 	 	 	 	 	 
2	876.32531	671.21906	 	 	 	 	 	 	 	 	 	 
3	876.05451	670.98832	 	853.97819	309.51168	 	 	 	 	 	 	 
4	876.25127	671.16058	 	 	 	 	 	 	 	 	 	 
5	876.02910	671.09701	 	 	 	 	 	 	 	 	 	 
6	875.99490	671.03978	 	 	 	 	 	 	 	 	 	 
7	875.97423	670.94537	 	 	 	 	 	 	 	 	 	 
8	876.04392	671.04360	 	860.00932	321.00078	*	 	 	 	 	 	 
9	876.09307	670.80690	 	 	 	 	 	 	 	 	 	 
10	877.07706	671.55487	 	861.45373	333.07974	*	 	 	 	 	 	 
11	878.03459	672.72969	 	860.00026	336.22476	 	 	 	 	 	 	 
12	877.09395	672.39438	 	857.29595	334.97024	 	 	 	 	 	 	 
13	878.23354	673.20562	 	856.48491	335.58495	 	 	 	 	 	 	 
14	878.34137	672.86450	 	858.77519	336.68601	 	 	 	 	 	 	 
15	878.36213	673.06149	 	859.50000	339.00000	 	 	 	 	 	 	 
16	875.05242	668.04804	 	861.00000	339.00000	 	 	 	 	 	 	 
17	875.30598	668.54680	 	859.50000	339.00000	 	 	 	 	 	 	 
18	875.94344	667.62966	 	858.00000	334.50000	 	 	 	 	 	 	 
19	875.42765	668.22249	 	853.50000	333.00000	 	 	 	 	 	 	 
20	874.85453	669.65683	 	849.00000	331.50000	 	 	 	 	 	 	 
21	876.34470	669.85174	 	852.00000	336.00000	 	 	 	 	 	 	 
22	874.50000	661.50000	 	853.50000	337.50000	 	 	 	 	 	 	 
23	876.79216	670.01604	 	850.50000	339.00000	 	 	 	 	 	 	 
24	876.63271	671.25970	 	855.00000	337.50000	 	 	 	 	 	 	 
25	877.98403	672.63883	 	859.50000	339.00000	 	 	 	 	 	 	 
26	875.62185	673.78252	 	856.94480	336.03061	 	 	 	 	 	 	 
27	871.50000	669.00000	 	857.18234	335.19852	 	 	 	 	 	 	 
28	874.51143	672.21380	 	861.00000	331.50000	 	 	 	 	 	 	 
29	871.50000	670.50000	 	860.07217	334.76060	 	 	 	 	 	 	 
30	873.00000	669.00000	 	865.50000	333.00000	 	 	 	 	 	 	 
31	875.13619	671.99434	 	868.50000	330.00000	 	 	 	 	 	 	 
32	870.00000	667.50000	 	868.50000	327.00000	 	 	 	 	 	 	 
33	867.00000	669.00000	 	862.63407	331.40625	 	 	 	 	 	 	 
34	867.00000	669.00000	 	868.50000	325.50000	 	 	 	 	 	 	 
35	862.50000	667.50000	 	864.00000	324.00000	 	 	 	 	 	 	 
36	865.50000	669.00000	 	865.50000	322.50000	 	 	 	 	 	 	 
37	867.00000	672.00000	 	862.50000	322.50000	 	 	 	 	 	 	 
38	865.50000	673.50000	 	862.50000	328.50000	 	 	 	 	 	 	 
39	870.00000	676.50000	 	859.50000	330.00000	 	 	 	 	 	 	 
40	873.00000	673.50000	 	858.00000	328.50000	 	 	 	 	 	 	 
41	874.50000	670.50000	 	856.50000	328.50000	 	 	 	 	 	 	 
42	874.50000	667.50000	 	853.50000	325.50000	 	 	 	 	 	 	 
43	873.00000	673.50000	 	856.96149	331.17937	 	 	 	 	 	 	 
44	873.00000	676.50000	 	857.40717	331.79206	 	 	 	 	 	 	 
45	876.00000	675.00000	 	856.49073	331.79147	 	 	 	 	 	 	 
46	877.50000	676.50000	 	855.07592	331.34117	 	 	 	 	 	 	 
47	874.50000	678.00000	 	854.89141	330.24869	 	 	 	 	 	 	 
48	874.11931	676.47607	 	855.55977	328.68491	 	 	 	 	 	 	 
49	874.01829	676.86947	 	857.20876	330.01024	 	 	 	 	 	 	 
50	872.99699	676.92664	 	856.70862	331.64477	 	 	 	 	 	 	 
51	870.81392	676.28951	 	856.05253	330.33533	 	 	 	 	 	 	 
52	870.47321	676.65950	 	856.44539	329.94554	 	 	 	 	 	 	 
53	871.76008	675.52653	 	856.95047	331.68477	 	 	 	 	 	 	 
54	872.68381	676.92102	 	857.37423	331.72377	 	 	 	 	 	 	 
55	873.45237	677.96827	 	856.14180	331.02472	 	 	 	 	 	 	 
56	874.87242	676.40339	 	857.15350	332.12030	 	 	 	 	 	 	 
57	875.28740	675.78959	 	858.88804	332.77104	 	 	 	 	 	 	 
58	876.94686	675.43596	 	856.82624	333.35058	 	 	 	 	 	 	 
59	875.68003	675.99892	 	857.52124	334.39471	 	 	 	 	 	 	 
60	874.24003	676.01735	 	857.56124	335.11046	 	 	 	 	 	 	 
61	874.71462	677.03618	 	859.58545	335.49878	 	 	 	 	 	 	 
62	875.46078	677.21879	 	855.41262	335.68629	 	 	 	 	 	 	 
63	875.02493	677.00038	 	855.17768	336.60227	 	 	 	 	 	 	 
64	875.53373	675.63546	 	854.62341	337.40986	 	 	 	 	 	 	 
65	873.51806	675.49641	 	856.47441	336.62923	 	 	 	 	 	 	 
66	874.16716	675.33031	 	855.63545	337.74029	 	 	 	 	 	 	 
67	875.04804	675.42339	 	854.80628	337.20223	 	 	 	 	 	 	 
68	875.41352	675.86608	 	852.00000	339.00000	 	 	 	 	 	 	 
69	876.69250	676.03107	 	850.50000	342.00000	 	 	 	 	 	 	 
70	876.73196	674.62400	 	855.02098	337.54479	 	 	 	 	 	 	 
71	892.74749	674.88358	 	855.39428	337.61330	 	859.64723	657.90043	 	860.55252	697.85180	 
72	896.32614	670.67992	 	853.50000	343.50000	 	862.38607	655.88534	 	861.03026	691.83359	 
73	898.78342	668.06136	 	856.07748	338.33678	 	 	 	 	868.55026	692.70187	 
74	899.06656	670.04257	 	856.01099	338.52535	 	864.05923	659.06612	*	859.97740	686.97458	 
75	897.60385	670.35070	 	856.95193	338.53248	 	863.07254	656.83765	 	 	 	 
76	897.74944	669.14270	 	855.05659	340.21838	 	861.72581	657.84793	 	860.36441	692.18644	*
77	896.76100	670.76244	 	854.44305	338.50997	 	865.71271	674.18450	 	 	 	 
78	 	 	 	854.58105	337.89799	 	882.75651	670.69337	 	 	 	 
79	898.22427	668.75662	*	853.84706	338.68741	 	865.06371	671.08871	 	 	 	 
