Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11
Tracks 1 to 11
1	82.94574	380.40698	 	995.91636	572.64899	 	886.50000	427.50000	 	165.00000	645.00000	 	985.31918	597.03124	 	74.63840	353.63132	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	86.36054	375.63265	 	995.99013	572.37165	 	886.50000	429.00000	 	170.73740	641.97753	 	984.67982	596.58636	 	74.51665	354.25345	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	82.94307	379.28273	 	996.30702	572.68903	 	886.50000	429.00000	 	170.44683	642.48970	 	983.88086	594.32816	 	74.20835	354.32358	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	78.16588	381.61137	 	995.60452	571.63001	 	886.50000	427.50000	 	169.64282	642.42922	 	987.80217	595.66469	 	74.77880	354.87270	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	77.82371	381.12949	 	995.91118	572.68836	 	888.00000	427.50000	 	168.55938	642.59093	 	989.12752	595.20841	 	75.09815	355.71440	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	72.48799	380.95372	 	996.06400	571.83733	 	880.75234	420.98146	 	172.50000	640.50000	 	988.68703	594.69628	 	74.42930	355.97990	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	74.14719	381.39802	 	995.44127	570.79292	 	881.48837	421.44432	 	166.40661	642.12204	 	988.35803	594.10291	 	73.93538	356.05889	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	73.62212	381.53846	 	995.81604	571.22664	 	888.00000	427.50000	 	 	 	 	985.67670	595.71883	 	74.03227	355.67813	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	72.63742	381.40847	 	995.86951	571.44151	 	889.50000	427.50000	 	172.50000	639.00000	*	984.61698	594.83457	 	73.80436	355.86021	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	73.07980	380.38214	 	996.01978	572.61960	 	888.00000	427.50000	 	172.50000	640.50000	 	986.08306	593.37186	 	74.07200	356.18873	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	79.38689	378.57908	 	995.67368	571.30439	 	888.00000	427.50000	 	172.51445	639.93463	 	988.50092	592.62908	 	72.95276	355.26002	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	80.36314	378.06878	 	 	 	 	886.50000	424.50000	 	172.50000	640.50000	 	987.78762	590.50000	 	73.20696	354.75725	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	82.48577	378.63516	 	995.96667	571.14496	*	886.50000	430.50000	 	172.50000	639.00000	 	988.33233	592.54732	 	73.75058	354.25551	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
14	79.66042	383.62763	 	994.13596	569.41296	 	885.00000	429.00000	 	172.50000	639.00000	 	988.10734	591.29500	 	73.90563	354.66687	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
15	80.91401	381.90924	 	994.97757	570.71560	 	883.50000	430.50000	 	172.50000	640.50000	 	989.94151	592.93100	 	74.24146	354.70279	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
16	77.11836	382.85266	 	 	 	 	883.50000	429.00000	 	172.50000	640.50000	 	989.67571	593.32349	 	74.63409	355.54623	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
17	78.44118	378.41176	 	995.94687	572.44489	*	880.50000	432.00000	 	172.50000	640.50000	 	991.81638	596.59656	 	75.47707	356.64878	 	55.40870	379.20000	 	 	 	 	 	 	 	 	 	 	 	 	 
18	 	 	 	995.80510	572.43586	 	879.03869	421.36611	 	174.00000	639.00000	 	992.09019	597.96744	 	75.77261	356.98790	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	 	 	 	996.08815	572.47905	 	880.12168	421.33120	 	174.00000	640.50000	 	991.23553	597.57429	 	74.92784	358.48069	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	 	 	 	995.49575	572.04337	 	876.13862	417.22205	 	172.50000	640.50000	 	990.35295	596.10998	 	74.49570	358.79193	 	 	 	 	894.07573	436.41006	 	 	 	 	 	 	 	 	 	 
21	 	 	 	996.02627	572.39153	 	876.52868	416.38810	 	172.50000	640.50000	 	988.58043	596.65760	 	74.12027	359.47182	 	 	 	 	897.01493	435.02800	 	 	 	 	 	 	 	 	 	 
22	 	 	 	995.06667	570.63441	 	879.39760	420.77543	 	172.50000	640.50000	 	989.87788	594.70964	 	75.00000	357.00000	 	53.89801	373.70647	*	 	 	 	 	 	 	 	 	 	 	 	 
23	 	 	 	995.75796	571.96108	 	875.51625	416.41073	 	172.50000	640.50000	 	991.80832	596.85510	 	71.64639	361.41905	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	994.64829	571.10143	 	875.42041	415.70213	 	174.00000	640.50000	 	992.27975	596.94652	 	71.38927	361.84794	 	 	 	 	899.00596	430.93782	*	 	 	 	 	 	 	 	 	 
25	 	 	 	994.12516	569.05257	 	874.93916	415.44493	 	172.50000	640.50000	 	989.22240	592.90000	 	73.07702	360.65583	 	 	 	 	898.92954	429.11563	 	 	 	 	 	 	 	 	 	 
26	 	 	 	995.59606	571.40197	 	878.64765	418.23908	 	174.00000	640.50000	 	988.51606	592.37102	 	74.89388	357.68676	 	61.50286	379.96952	*	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	995.87327	571.82424	 	880.66140	419.39551	 	174.00000	640.50000	 	988.95488	592.67844	 	74.17528	355.43139	 	81.68099	379.61976	 	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	994.69863	570.08767	 	879.87195	419.47325	 	173.34189	640.07671	 	988.35000	591.82975	 	74.25877	354.89239	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	993.86154	568.12769	 	879.89468	419.37146	 	174.99383	639.93291	 	988.68387	589.61937	 	75.47797	353.33629	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	993.91111	567.46074	 	880.12173	419.90926	 	175.50024	639.87220	 	990.61964	589.60241	 	75.55712	352.96646	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	994.10388	568.96918	 	873.07513	412.74630	 	171.75662	639.31368	 	989.84509	591.74024	 	75.72256	352.82744	 	 	 	 	890.12442	429.09822	*	 	 	 	 	 	 	 	 	 
32	 	 	 	994.40225	570.97191	 	873.20130	413.38047	 	166.50000	639.00000	 	991.14953	593.35187	 	77.56279	352.79756	 	 	 	 	887.50364	431.28928	 	 	 	 	 	 	 	 	 	 
33	 	 	 	 	 	 	874.31298	413.81251	 	171.85367	639.74935	 	989.14703	589.37622	 	75.86319	359.84896	 	 	 	 	902.48248	422.15633	 	 	 	 	 	 	 	 	 	 
34	 	 	 	993.69087	567.18970	*	874.14978	413.74947	 	172.21932	639.81812	 	991.06065	589.20780	 	75.29481	363.86791	 	 	 	 	899.01530	429.82983	 	 	 	 	 	 	 	 	 	 
35	 	 	 	993.31975	565.88715	 	874.60405	414.21218	 	176.31396	639.74610	 	994.90404	587.86139	 	75.89667	363.43595	 	55.43182	350.47159	*	900.53686	428.67949	 	 	 	 	 	 	 	 	 	 
36	 	 	 	 	 	 	874.22970	414.53383	 	172.64458	640.22645	 	995.65372	587.48745	 	74.49957	363.23001	 	 	 	 	901.10400	423.20267	 	 	 	 	 	 	 	 	 	 
37	 	 	 	 	 	 	874.52507	414.51708	 	176.13026	639.62536	 	993.79930	586.72570	 	75.04771	363.79350	 	 	 	 	902.02439	425.37016	 	 	 	 	 	 	 	 	 	 
38	 	 	 	 	 	 	874.93979	414.54479	 	171.76658	640.92201	 	991.47326	590.76111	 	75.49699	362.85613	 	60.00733	345.84615	*	900.08342	430.09533	 	 	 	 	 	 	 	 	 	 
39	 	 	 	993.60393	565.24719	*	874.37576	414.16357	 	172.30486	639.84948	 	992.83455	588.58332	 	73.42935	364.28722	 	81.47368	342.26316	 	899.98003	429.81092	 	 	 	 	 	 	 	 	 	 
40	 	 	 	994.30052	562.63731	 	874.43373	413.78294	 	172.87510	639.64784	 	993.66716	587.24769	 	71.26838	365.08729	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	994.53623	561.81159	 	874.25873	413.75179	 	172.61421	640.20187	 	994.93841	585.81508	 	74.86438	363.83625	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	 	 	 	873.87138	413.75052	 	173.67773	639.49360	 	994.96212	585.19545	 	75.06133	363.27916	 	58.48132	345.99780	*	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	 	 	 	 	874.80686	413.07020	 	174.23833	639.74277	 	993.03995	583.49069	 	75.25353	363.05290	 	55.38525	348.77049	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	 	 	 	873.72283	412.79483	 	174.97327	640.00788	 	993.81141	582.96824	 	72.01450	367.30876	 	55.24576	348.93220	 	867.96429	441.28571	*	 	 	 	 	 	 	 	 	 
45	 	 	 	994.26220	562.53659	*	874.51289	412.51145	 	174.00000	639.00000	 	992.22882	585.98972	 	70.42192	367.10301	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	 	 	 	880.97927	418.17581	 	170.37761	642.42793	 	993.06813	584.77794	 	69.04720	367.63399	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	 	994.56522	562.00725	*	880.57208	418.52284	 	174.00000	640.50000	 	990.42733	583.81594	 	69.20206	365.87038	 	91.33923	352.27729	*	 	 	 	 	 	 	 	 	 	 	 	 
48	 	 	 	993.73077	563.41758	 	881.04904	419.19185	 	173.36670	639.94027	 	991.95267	585.58237	 	70.17513	365.41953	 	90.74121	349.78275	 	865.69444	438.12037	*	 	 	 	 	 	 	 	 	 
49	 	 	 	 	 	 	882.68856	420.06717	 	173.20808	639.94174	 	988.66599	585.91021	 	69.75625	365.00486	 	 	 	 	860.30414	435.03406	 	 	 	 	 	 	 	 	 	 
50	 	 	 	993.58333	563.82576	*	883.45058	420.52778	 	172.50000	640.50000	 	991.01539	586.29866	 	69.60921	364.89269	 	92.97473	352.46941	*	860.70330	437.59341	 	 	 	 	 	 	 	 	 	 
51	 	 	 	 	 	 	883.29479	420.29384	 	174.46637	640.08919	 	991.34254	585.38159	 	69.86147	365.07771	 	90.89365	348.96190	 	861.53731	439.26866	 	 	 	 	 	 	 	 	 	 
52	 	 	 	994.28505	562.60748	*	883.64790	420.78728	 	174.00000	640.50000	 	992.59197	585.77078	 	69.53932	365.79254	 	91.39426	352.39426	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	 	 	 	 	 	886.50000	426.00000	 	174.69986	639.85055	 	991.42566	584.04267	 	71.18893	366.60210	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	 	 	 	994.88148	561.40000	*	883.03932	420.28293	 	170.70745	640.23542	 	990.54000	583.03829	 	75.62382	363.85950	 	 	 	 	859.38776	440.25714	*	 	 	 	 	 	 	 	 	 
55	 	 	 	994.84375	561.43750	 	882.72230	420.40089	 	172.31549	640.03899	 	991.76232	583.78737	 	75.31676	363.26704	 	 	 	 	854.46610	438.22034	 	 	 	 	 	 	 	 	 	 
56	 	 	 	 	 	 	882.57610	420.38192	 	171.00000	637.50000	 	994.54076	583.69147	 	73.04445	360.96917	 	 	 	 	858.00483	442.45894	 	 	 	 	 	 	 	 	 	 
57	 	 	 	 	 	 	881.43589	420.12179	 	172.50000	637.50000	 	994.61039	580.95766	 	73.50000	358.50000	 	 	 	 	854.75768	441.27645	 	 	 	 	 	 	 	 	 	 
58	 	 	 	 	 	 	880.94379	420.24466	 	172.50000	637.50000	 	993.42631	581.06742	 	73.26962	360.84354	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	 	 	 	880.93340	420.24273	 	172.58171	639.34925	 	989.43621	580.06203	 	73.50000	358.50000	 	 	 	 	853.51707	442.59512	*	 	 	 	 	 	 	 	 	 
60	 	 	 	 	 	 	880.14052	420.03675	 	173.10583	639.42321	 	988.80639	578.77278	 	72.35957	361.32508	 	 	 	 	853.68983	435.86102	 	 	 	 	 	 	 	 	 	 
61	 	 	 	 	 	 	881.03232	420.29040	 	177.00000	639.00000	 	989.70286	578.19137	 	76.50000	355.50000	 	 	 	 	858.33846	441.54462	 	 	 	 	 	 	 	 	 	 
62	 	 	 	 	 	 	881.16477	420.28230	 	178.50000	637.50000	 	989.17457	578.61138	 	71.68290	360.64938	 	 	 	 	854.08942	435.41971	 	 	 	 	 	 	 	 	 	 
63	 	 	 	 	 	 	882.35161	420.34633	 	178.50000	636.00000	 	991.86936	577.20736	 	70.16316	360.28375	 	 	 	 	858.51039	436.58199	 	 	 	 	 	 	 	 	 	 
64	 	 	 	 	 	 	882.39408	420.12316	 	174.55754	639.73363	 	990.11672	577.75825	 	71.21355	361.11531	 	 	 	 	858.85882	438.05412	 	 	 	 	 	 	 	 	 	 
65	 	 	 	 	 	 	881.71211	420.17354	 	180.00000	637.50000	 	990.18461	579.10498	 	71.93208	360.00052	 	 	 	 	858.41667	437.91667	 	 	 	 	 	 	 	 	 	 
66	 	 	 	 	 	 	878.72021	421.05802	 	180.00000	639.00000	 	990.82616	578.23086	 	69.99956	358.86873	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
67	 	 	 	 	 	 	881.74539	420.14909	 	178.50000	639.00000	 	991.06618	579.75079	 	70.70683	359.84144	 	 	 	 	860.22557	436.97701	*	 	 	 	 	 	 	 	 	 
68	 	 	 	 	 	 	880.78048	420.02633	 	178.50000	639.00000	 	992.96893	579.99452	 	71.72709	359.11902	 	 	 	 	858.52632	436.60617	 	 	 	 	 	 	 	 	 	 
69	 	 	 	 	 	 	881.96128	420.17268	 	173.16902	640.05005	 	994.18585	579.86871	 	71.93967	359.83494	 	 	 	 	859.75581	438.04797	 	 	 	 	 	 	 	 	 	 
70	 	 	 	 	 	 	883.27226	420.48769	 	173.53132	639.18718	 	992.83905	577.93564	 	71.75744	359.96049	 	 	 	 	854.74638	435.09420	 	 	 	 	 	 	 	 	 	 
71	 	 	 	 	 	 	883.61181	420.66880	 	172.85201	639.44382	 	993.16855	574.64908	 	71.54404	359.80636	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	 	 	 	 	 	 	883.56746	420.65305	 	172.49118	640.02377	 	995.28734	575.11777	 	72.13877	359.86112	 	 	 	 	861.05645	436.07258	*	 	 	 	 	 	 	 	 	 
73	 	 	 	979.12084	588.52528	 	883.61715	420.60790	 	171.92824	640.21976	 	996.85306	573.59049	 	75.00000	358.50000	 	 	 	 	861.73077	438.71795	 	 	 	 	 	 	 	 	 	 
74	 	 	 	979.35851	587.49520	 	886.50000	426.00000	 	172.41370	639.68015	 	997.68097	574.22947	 	71.95304	360.66652	 	 	 	 	861.82243	435.74299	 	855.93359	408.92578	 	 	 	 	 	 	 
75	 	 	 	979.30394	587.90994	 	883.39255	421.11046	 	171.88278	639.86699	 	999.24784	574.60170	 	72.48387	360.46300	 	 	 	 	 	 	 	856.70796	407.51327	 	 	 	 	 	 	 
