Frame	X1	Y1	Flag1	X2	Y2	Flag2
Tracks 1 to 2
1	1290.76820	160.06076	 	294.00000	688.50000	 
2	1290.36603	160.29729	 	294.00000	688.50000	 
3	1290.47875	160.16639	 	294.00000	688.50000	 
4	1290.42454	159.84847	 	283.26338	687.96106	 
5	1291.17889	159.65113	 	292.50000	687.00000	 
6	1291.35795	159.71890	 	292.50000	687.00000	 
7	1292.00760	159.54762	 	283.08950	685.69422	 
8	1292.29089	159.12445	 	283.06959	685.72546	 
9	1291.55441	160.20896	 	294.00000	687.00000	 
10	1291.65422	160.23908	 	283.44998	685.65311	 
11	1292.65374	159.09076	 	283.75352	684.30179	 
12	1295.39330	157.84990	 	294.00000	684.00000	 
13	1296.01750	157.95261	 	294.00000	684.00000	 
14	1295.60474	158.60079	 	294.00000	684.00000	 
15	1295.06039	158.75813	 	292.50000	684.00000	 
16	1293.98066	159.14722	 	284.04606	681.59056	 
17	1294.86344	159.06664	 	292.50000	684.00000	 
18	1294.77799	159.40952	 	284.59145	680.27811	 
19	1295.62747	158.99410	 	285.00715	679.35378	 
20	1295.20889	159.83239	 	284.94944	679.27747	 
21	1295.95289	159.57914	 	294.00000	684.00000	 
22	1296.96741	159.08458	 	292.50000	684.00000	 
23	1296.04179	158.94429	 	283.62683	681.17409	 
24	1295.79879	159.41070	 	283.67081	681.98742	 
25	1293.82526	159.83709	 	283.60052	681.91882	 
26	1294.11253	160.14593	 	283.16928	685.01726	 
27	1293.96839	160.55598	 	294.00000	685.50000	 
28	1293.38003	161.00310	 	283.61906	685.22944	 
29	1291.04434	163.45285	 	294.00000	687.00000	 
30	1290.98932	163.52681	 	283.90720	685.69156	 
31	1291.88958	163.21244	 	284.72225	683.42440	 
32	1291.48764	163.92147	 	284.91644	683.30201	 
33	1292.46531	163.39658	 	297.00000	685.50000	 
34	1290.83788	165.67249	 	295.50000	687.00000	 
35	1291.02270	165.44712	 	 	 	 
36	1291.14685	166.41682	 	297.00000	688.50000	*
37	1290.55255	169.11935	 	298.50000	688.50000	 
38	1297.50000	172.50000	 	298.50000	687.00000	 
39	1297.50000	172.50000	 	300.00000	688.50000	 
40	1297.50000	172.50000	 	 	 	 
41	1295.95556	168.17360	 	310.89810	690.07518	*
42	1292.85156	173.18941	 	311.05552	690.19670	 
43	1296.10126	175.79912	 	300.00000	688.50000	 
44	1297.50000	172.50000	 	311.44837	687.25676	 
45	1297.50000	172.50000	 	311.30410	686.53135	 
46	1297.50000	172.50000	 	310.86543	687.85753	 
47	1297.50000	172.50000	 	311.04877	687.91539	 
48	1297.50000	172.50000	 	311.17634	684.91532	 
49	1290.71966	167.95440	 	311.06061	686.06629	 
50	1297.50000	172.50000	 	311.21554	688.09127	 
51	1293.14964	174.38784	 	311.38872	685.55625	 
52	1299.00000	175.50000	 	311.79450	686.10099	 
53	1297.50000	174.00000	 	311.85298	687.76743	 
54	1295.02201	174.95270	 	311.89676	687.79660	 
55	1294.51178	178.02617	 	311.72009	685.95798	 
56	1299.00000	175.50000	 	311.62037	685.87333	 
57	1299.00000	175.50000	 	311.53146	687.28549	 
58	1297.50000	172.50000	 	311.16294	684.30616	 
59	1295.63541	175.73734	 	311.16679	686.16280	 
60	1297.78195	175.04192	 	310.49454	689.08473	 
61	1301.57225	175.28908	 	298.50000	687.00000	 
62	1301.86798	173.97218	 	297.00000	687.00000	 
63	1301.68990	175.16828	 	297.00000	687.00000	 
64	1300.28510	173.69072	 	297.00000	688.50000	 
65	1299.14791	174.78483	 	297.00000	688.50000	 
66	1296.62073	177.22862	 	297.00000	688.50000	 
67	1297.55988	180.86683	 	298.50000	688.50000	 
68	1298.81847	182.60636	 	298.50000	688.50000	 
69	1299.61871	181.35963	 	297.00000	688.50000	 
70	1300.99785	183.41756	 	298.50000	688.50000	 
71	1304.35609	183.99126	 	298.50000	688.50000	 
72	1304.78121	186.20296	 	298.50000	688.50000	 
73	1300.16292	184.91741	 	300.00000	688.50000	 
74	1300.17657	185.70712	 	298.50000	688.50000	 
75	1301.86654	187.42401	 	298.50000	688.50000	 
76	1300.26570	187.23123	 	298.50000	688.50000	 
77	1301.28631	187.96703	 	298.50000	688.50000	 
78	1300.50000	181.50000	 	298.50000	688.50000	 
79	1300.16303	188.71813	 	298.50000	688.50000	 
80	1300.50000	183.00000	 	298.50000	688.50000	 
81	1300.50000	183.00000	 	298.50000	688.50000	 
82	1302.00000	184.50000	 	298.50000	687.00000	 
83	1302.00000	184.50000	 	297.00000	687.00000	 
84	1303.50000	184.50000	 	297.00000	688.50000	 
85	1302.00000	184.50000	 	297.00000	688.50000	 
86	1303.50000	184.50000	 	297.00000	688.50000	 
87	1303.50000	184.50000	 	298.50000	688.50000	 
88	1302.00000	184.50000	 	298.50000	688.50000	 
89	1304.42225	189.12415	 	298.50000	687.00000	 
90	1302.00000	183.00000	 	298.50000	687.00000	 
91	1303.50000	183.00000	 	310.81474	689.36354	 
92	1305.00000	183.00000	 	300.00000	685.50000	 
93	1305.00000	183.00000	 	300.00000	685.50000	 
94	1305.00000	183.00000	 	298.50000	685.50000	 
95	1308.15893	187.16306	 	300.00000	684.00000	 
96	1305.00000	183.00000	 	300.00000	684.00000	 
97	1308.05633	187.64236	 	300.00000	684.00000	 
98	1307.71751	186.45230	 	301.50000	684.00000	 
99	1305.00000	181.50000	 	301.50000	684.00000	 
100	1305.00000	181.50000	 	311.13197	679.43458	 
101	1306.50000	181.50000	 	303.00000	684.00000	 
102	1305.00000	181.50000	 	303.00000	684.00000	 
103	1309.94964	185.16105	 	303.00000	684.00000	 
104	1306.50000	181.50000	 	303.00000	684.00000	 
105	1310.96998	183.31104	 	303.00000	684.00000	 
106	1311.00831	183.68057	 	303.00000	684.00000	 
107	1311.78307	182.45060	 	311.87479	680.41775	 
108	1311.74658	182.01173	 	313.13138	683.84148	 
109	1312.62820	181.34807	 	313.07920	684.26201	 
110	1311.86246	182.64677	 	313.65637	684.18690	 
111	1312.32756	181.34721	 	313.32427	682.51429	 
112	1312.39296	181.65567	 	312.51963	680.72498	 
113	1313.02326	181.07213	 	304.50000	682.50000	 
114	1313.33016	179.77777	 	310.99753	678.52714	 
115	1313.19028	180.07696	 	303.00000	684.00000	 
116	1313.79595	179.75022	 	311.30715	679.80743	 
117	1314.95892	179.73842	 	310.74376	678.31965	 
118	1314.72188	180.23306	 	311.27400	679.66243	 
119	1314.98904	180.90399	 	312.18220	681.22836	 
120	1309.50000	180.00000	 	312.54416	681.39654	 

Track 	Length	Distance traveled	Nr of Frames
1	252.81310	27.35788	120
2	378.94630	19.85812	118
