Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	552.00000	612.00000	 	771.77216	465.64246	 	 	 	 
2	552.00000	612.00000	 	771.45063	466.51877	 	 	 	 
3	552.00000	612.00000	 	778.50000	462.00000	 	 	 	 
4	552.00000	610.50000	 	778.50000	463.50000	 	630.78621	103.18389	 
5	553.50000	610.50000	 	780.00000	463.50000	 	633.05137	105.24185	 
6	553.50000	610.50000	 	780.00000	463.50000	 	633.26683	107.74001	 
7	553.50000	610.50000	 	780.00000	463.50000	 	627.24167	104.81133	 
8	552.00000	610.50000	 	780.00000	462.00000	 	629.28162	106.20748	 
9	552.00000	610.50000	 	780.00000	462.00000	 	629.38930	104.27700	 
10	553.50000	610.50000	 	780.00000	463.50000	 	635.56397	111.69809	 
11	553.50000	612.00000	 	778.50000	463.50000	 	637.97704	114.32188	 
12	552.00000	610.50000	 	771.94533	465.23696	 	637.76808	119.70436	 
13	552.00000	610.50000	 	780.00000	462.00000	 	634.04103	127.70670	 
14	552.00000	610.50000	 	772.66488	465.18752	 	632.27042	126.26952	 
15	550.50000	610.50000	 	780.00000	462.00000	 	632.51327	122.35891	 
16	550.50000	610.50000	 	780.00000	462.00000	 	636.11965	116.70041	 
17	549.00000	610.50000	 	778.50000	463.50000	 	636.40097	116.95643	 
18	552.00000	610.50000	 	778.50000	462.00000	 	635.96795	116.20326	 
19	552.00000	609.00000	 	777.00000	462.00000	 	635.55422	115.68154	 
20	552.00000	609.00000	 	777.00000	462.00000	 	637.26887	119.43383	 
21	552.00000	609.00000	 	777.00000	462.00000	 	636.36187	129.19496	 
22	550.50000	609.00000	 	777.00000	462.00000	 	636.44057	124.21523	 
23	549.00000	610.50000	 	777.00000	462.00000	 	636.12490	121.22594	 
24	549.00000	612.00000	 	777.00000	463.50000	 	634.70058	122.31828	 
25	549.00000	612.00000	 	778.50000	462.00000	 	 	 	 
26	550.50000	612.00000	 	770.21202	463.92633	 	627.72180	139.39743	*
27	550.50000	612.00000	 	777.00000	462.00000	 	630.16216	138.57997	 
28	550.50000	612.00000	 	777.00000	460.50000	 	624.37064	140.35434	 
29	550.50000	612.00000	 	778.50000	460.50000	 	 	 	 
30	550.50000	612.00000	 	778.50000	460.50000	 	 	 	 
31	549.00000	612.00000	 	778.50000	460.50000	 	 	 	 
32	549.00000	612.00000	 	778.50000	460.50000	 	 	 	 
33	547.50000	610.50000	 	778.50000	460.50000	 	 	 	 
34	550.50000	610.50000	 	778.50000	460.50000	 	 	 	 
35	549.00000	610.50000	 	778.50000	460.50000	 	 	 	 
36	550.50000	610.50000	 	778.50000	459.00000	 	 	 	 
37	547.50000	610.50000	 	778.50000	459.00000	 	 	 	 
38	547.50000	612.00000	 	780.00000	459.00000	 	619.77207	139.62613	 
39	549.00000	610.50000	 	780.00000	459.00000	 	620.08164	139.86828	 
40	549.00000	610.50000	 	781.50000	460.50000	 	625.96168	139.76270	 
41	549.00000	612.00000	 	781.50000	462.00000	 	616.24620	136.66968	 
42	549.00000	613.50000	 	781.50000	463.50000	 	621.29989	140.22701	 
43	547.50000	612.00000	 	781.50000	462.00000	 	616.96218	137.04805	 
44	547.50000	612.00000	 	781.50000	462.00000	 	613.96254	136.14255	 
45	547.50000	612.00000	 	781.50000	460.50000	 	613.58718	136.12345	 
46	547.50000	612.00000	 	781.50000	460.50000	 	621.48560	140.08524	 
47	547.50000	612.00000	 	781.50000	462.00000	 	 	 	 
48	546.00000	612.00000	 	783.00000	463.50000	 	 	 	 
49	546.00000	612.00000	 	781.50000	463.50000	 	 	 	 
50	544.50000	612.00000	 	781.50000	462.00000	 	623.15262	137.73118	*
51	547.50000	610.50000	 	781.50000	462.00000	 	 	 	 
52	546.00000	610.50000	 	781.50000	462.00000	 	 	 	 
53	544.50000	610.50000	 	783.00000	462.00000	 	 	 	 
54	546.00000	610.50000	 	783.00000	462.00000	 	 	 	 
55	547.50000	612.00000	 	783.00000	460.50000	 	 	 	 
56	547.50000	612.00000	 	783.00000	462.00000	 	631.06320	135.43289	 
57	547.50000	610.50000	 	784.50000	462.00000	 	633.11948	133.14236	 
58	547.50000	609.00000	 	783.00000	462.00000	 	632.92387	133.76007	 
59	547.50000	609.00000	 	781.50000	462.00000	 	631.34213	134.37634	 
60	547.50000	609.00000	 	781.50000	462.00000	 	627.92247	135.16642	 
61	549.00000	609.00000	 	781.50000	462.00000	 	622.55082	136.89271	 
62	547.50000	609.00000	 	781.50000	462.00000	 	621.29068	137.94655	 
63	547.50000	609.00000	 	781.50000	462.00000	 	618.54919	138.27520	 
64	547.50000	610.50000	 	781.50000	462.00000	 	618.62776	138.34272	 
65	547.50000	610.50000	 	783.00000	462.00000	 	622.60279	137.41804	 
66	549.00000	610.50000	 	783.00000	460.50000	 	624.47600	135.38008	 
67	547.50000	612.00000	 	783.00000	459.00000	 	628.12770	132.93502	 
68	547.50000	612.00000	 	781.50000	460.50000	 	626.83882	133.11132	 
69	547.50000	612.00000	 	783.00000	460.50000	 	625.50135	131.66482	 
70	549.00000	612.00000	 	783.00000	460.50000	 	617.79672	126.32015	 
71	547.50000	612.00000	 	783.00000	460.50000	 	620.68333	128.22217	 
72	546.75000	612.00000	 	783.00000	459.00000	 	623.55955	129.59813	 
73	547.50000	612.00000	 	784.50000	459.00000	 	619.57413	126.45871	 
74	546.00000	610.50000	 	784.50000	460.50000	 	 	 	 
75	546.00000	610.50000	 	783.00000	460.50000	 	621.47847	113.26975	*
76	546.00000	609.00000	 	784.50000	460.50000	 	618.43367	111.17179	 
77	544.50000	610.50000	 	784.50000	462.00000	 	616.32522	115.64943	 
78	544.50000	610.50000	 	781.50000	462.00000	 	614.99279	117.82106	 
79	546.00000	610.50000	 	783.00000	460.50000	 	614.74592	120.04630	 
80	546.00000	610.50000	 	784.50000	460.50000	 	613.68907	119.73543	 
81	546.00000	610.50000	 	784.50000	459.00000	 	610.94471	115.83175	 
82	546.00000	609.00000	 	784.50000	459.00000	 	609.96232	115.11513	 
83	544.50000	609.00000	 	784.50000	459.00000	 	610.72891	114.42131	 
84	543.00000	609.00000	 	784.50000	459.00000	 	610.39021	114.08667	 
85	544.50000	610.50000	 	786.00000	459.00000	 	611.46852	110.40786	 
86	543.00000	609.00000	 	786.00000	459.00000	 	611.25850	110.71532	 
87	541.50000	609.00000	 	786.00000	459.00000	 	609.97548	111.91602	 
88	541.50000	609.00000	 	786.00000	459.00000	 	610.32823	114.27245	 
89	541.50000	609.00000	 	786.00000	459.00000	 	609.67566	116.03332	 
90	541.50000	609.00000	 	786.00000	459.00000	 	609.83114	115.75879	 
91	544.50000	610.50000	 	784.50000	459.00000	 	610.22804	113.74737	 
92	543.00000	609.00000	 	784.50000	457.50000	 	609.93377	113.01823	 
93	541.50000	609.00000	 	784.50000	459.00000	 	609.18549	112.91624	 
94	541.50000	609.00000	 	786.00000	459.00000	 	607.54548	113.63870	 
95	543.00000	609.00000	 	786.00000	460.50000	 	609.18903	111.65392	 
96	543.00000	609.00000	 	786.00000	460.50000	 	609.34232	112.05250	 
97	544.50000	610.50000	 	786.00000	460.50000	 	610.83335	113.64963	 
98	543.00000	609.00000	 	786.00000	460.50000	 	611.44568	111.62000	 
99	543.00000	609.00000	 	786.00000	462.00000	 	613.61577	108.35262	 
100	543.00000	609.00000	 	786.00000	462.00000	 	610.83842	109.51841	 
101	543.00000	610.50000	 	786.00000	462.00000	 	614.19073	106.07399	 
102	543.00000	610.50000	 	786.00000	460.50000	 	613.41568	107.52559	 
103	543.00000	610.50000	 	786.00000	462.00000	 	613.97792	107.07274	 
104	543.00000	610.50000	 	786.00000	462.00000	 	618.76175	108.13846	 
105	543.00000	610.50000	 	787.50000	462.00000	 	618.48521	110.41900	 
106	541.50000	610.50000	 	787.50000	460.50000	 	621.79494	110.60926	 
107	543.00000	610.50000	 	787.50000	462.00000	 	622.17986	108.47200	 
108	543.00000	612.00000	 	786.00000	462.00000	 	622.76056	107.34230	 
109	543.00000	612.00000	 	786.00000	460.50000	 	621.40002	108.52256	 
110	541.50000	610.50000	 	786.00000	460.50000	 	620.77395	109.40865	 
111	541.50000	610.50000	 	786.00000	460.50000	 	621.29925	108.74717	 
112	541.50000	610.50000	 	786.00000	459.00000	 	620.61816	110.35557	 
113	541.50000	612.00000	 	784.50000	460.50000	 	621.99775	110.27488	 
114	541.50000	610.50000	 	786.00000	460.50000	 	622.90317	109.09560	 
115	543.00000	610.50000	 	784.50000	460.50000	 	620.44424	107.71644	 
116	541.50000	610.50000	 	784.50000	460.50000	 	617.73246	108.75126	 
117	543.00000	610.50000	 	784.50000	460.50000	 	612.37096	112.36289	 
118	544.50000	610.50000	 	784.50000	460.50000	 	611.84342	114.73587	 
119	543.00000	609.00000	 	783.00000	462.00000	 	609.86007	112.93000	 
120	543.00000	610.50000	 	783.00000	460.50000	 	608.87842	114.05477	 

Track 	Length	Distance traveled	Nr of Frames
1	124.64933	9.12414	120
2	158.79946	12.34946	120
3	334.35805	24.45665	98
