Frame	X1	Y1	Flag1
Tracks 1 to 1
1	1207.25918	776.39073	 
2	1207.28849	781.39157	 
3	1206.56834	781.14246	 
4	1206.66332	781.27737	 
5	1209.42693	789.01383	 
6	1209.85274	789.87375	 
7	1206.98801	783.15232	 
8	1209.80006	788.26996	 
9	1210.76017	791.23348	 
10	1209.89667	791.90325	 
11	1208.73631	789.83443	 
12	 	 	 
13	 	 	 
14	 	 	 
15	 	 	 
16	 	 	 
17	 	 	 
18	 	 	 
19	 	 	 
20	 	 	 
21	 	 	 
22	 	 	 
23	 	 	 
24	 	 	 
25	 	 	 
26	 	 	 
27	 	 	 
28	 	 	 
29	 	 	 
30	 	 	 
31	 	 	 
32	 	 	 
33	 	 	 
34	 	 	 
35	 	 	 
36	 	 	 
37	 	 	 
38	 	 	 
39	 	 	 
40	 	 	 
41	 	 	 
42	 	 	 
43	 	 	 
44	 	 	 
45	 	 	 
46	 	 	 
47	 	 	 
48	 	 	 
49	 	 	 
50	 	 	 
51	 	 	 
52	 	 	 
53	 	 	 
54	 	 	 
55	 	 	 
56	 	 	 
57	 	 	 
58	 	 	 
59	 	 	 
60	 	 	 
61	 	 	 
62	 	 	 
63	 	 	 
64	 	 	 
65	 	 	 
66	 	 	 
67	 	 	 
68	 	 	 
69	 	 	 
70	 	 	 
71	 	 	 
72	 	 	 
73	 	 	 
74	 	 	 
75	 	 	 
76	 	 	 
77	 	 	 
78	 	 	 
79	 	 	 
80	 	 	 
81	 	 	 
82	 	 	 
83	 	 	 
84	 	 	 
85	 	 	 
86	 	 	 
87	 	 	 
88	 	 	 
89	 	 	 
90	 	 	 
91	 	 	 
92	 	 	 
93	 	 	 
94	 	 	 
95	 	 	 
96	 	 	 
97	 	 	 
98	 	 	 
99	 	 	 
100	 	 	 
101	 	 	 
102	 	 	 
103	 	 	 
104	 	 	 
105	 	 	 
106	 	 	 
107	 	 	 
108	 	 	 
109	 	 	 
110	 	 	 
111	 	 	 
112	 	 	 
113	 	 	 
114	 	 	 
115	 	 	 
116	 	 	 
117	 	 	 
118	 	 	 
119	 	 	 
120	 	 	 

Track 	Length	Distance traveled	Nr of Frames
1	34.82852	13.52461	11
