Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5
Tracks 1 to 5
1	1249.50000	831.00000	 	865.50000	456.00000	 	 	 	 	 	 	 	 	 	 
2	1249.50000	831.00000	 	865.50000	456.00000	 	 	 	 	 	 	 	 	 	 
3	1251.00000	831.00000	 	868.50000	456.00000	 	 	 	 	 	 	 	 	 	 
4	1251.00000	832.50000	 	868.50000	454.50000	 	 	 	 	 	 	 	 	 	 
5	1249.50000	832.50000	 	865.50000	454.50000	 	 	 	 	 	 	 	 	 	 
6	1260.89820	835.93015	 	864.00000	454.50000	 	 	 	 	 	 	 	 	 	 
7	1261.27092	835.15160	 	864.00000	454.50000	 	 	 	 	 	 	 	 	 	 
8	 	 	 	864.00000	454.50000	 	 	 	 	 	 	 	 	 	 
9	 	 	 	864.00000	454.50000	 	 	 	 	 	 	 	 	 	 
10	1261.17350	832.66544	*	867.00000	456.00000	 	 	 	 	 	 	 	 	 	 
11	1249.50000	832.50000	 	867.00000	454.50000	 	 	 	 	 	 	 	 	 	 
12	1249.50000	834.00000	 	871.50000	456.00000	 	 	 	 	 	 	 	 	 	 
13	1259.94341	837.38120	 	861.00000	453.00000	 	 	 	 	 	 	 	 	 	 
14	1251.00000	834.00000	 	865.50000	456.00000	 	 	 	 	 	 	 	 	 	 
15	1249.50000	834.00000	 	861.00000	453.00000	 	 	 	 	 	 	 	 	 	 
16	 	 	 	861.00000	453.00000	 	 	 	 	 	 	 	 	 	 
17	1249.50000	834.00000	*	867.00000	454.50000	 	 	 	 	 	 	 	 	 	 
18	1249.50000	832.50000	 	859.50000	451.50000	 	 	 	 	 	 	 	 	 	 
19	1261.02862	833.82439	 	867.00000	456.00000	 	 	 	 	 	 	 	 	 	 
20	1261.18236	834.56316	 	873.00000	457.50000	 	 	 	 	 	 	 	 	 	 
21	 	 	 	870.00000	456.00000	 	 	 	 	 	 	 	 	 	 
22	 	 	 	870.00000	454.50000	 	322.50000	45.00000	 	 	 	 	 	 	 
23	 	 	 	862.50000	453.00000	 	 	 	 	 	 	 	 	 	 
24	 	 	 	870.00000	453.00000	 	 	 	 	 	 	 	 	 	 
25	1248.00000	834.00000	*	864.00000	454.50000	 	321.00000	43.50000	*	 	 	 	 	 	 
26	 	 	 	862.50000	454.50000	 	322.50000	43.50000	 	 	 	 	 	 	 
27	 	 	 	861.00000	453.00000	 	321.00000	43.50000	 	 	 	 	 	 	 
28	 	 	 	867.00000	453.00000	 	332.73858	40.09172	 	 	 	 	 	 	 
29	 	 	 	868.50000	450.00000	 	 	 	 	 	 	 	 	 	 
30	 	 	 	868.50000	450.00000	 	321.00000	42.00000	*	 	 	 	 	 	 
31	 	 	 	868.50000	450.00000	 	 	 	 	 	 	 	 	 	 
32	1232.27049	830.84804	 	868.50000	450.00000	 	322.60248	28.83479	*	 	 	 	 	 	 
33	1246.50000	832.50000	 	868.50000	451.50000	 	 	 	 	 	 	 	 	 	 
34	1245.00000	832.50000	 	868.50000	451.50000	 	322.50000	42.00000	*	 	 	 	 	 	 
35	1245.00000	834.00000	 	862.50000	453.00000	 	322.50000	43.50000	 	 	 	 	 	 	 
36	1245.00000	832.50000	 	870.00000	450.00000	 	322.50000	43.50000	 	 	 	 	 	 	 
37	1245.00000	832.50000	 	870.00000	450.00000	 	333.38528	42.98275	 	 	 	 	 	 	 
38	1245.00000	832.50000	 	861.00000	453.00000	 	333.33206	46.22296	 	 	 	 	 	 	 
39	1245.00000	832.50000	 	862.50000	453.00000	 	 	 	 	 	 	 	 	 	 
40	1245.00000	831.00000	 	868.50000	453.00000	 	 	 	 	 	 	 	 	 	 
41	1245.00000	831.00000	 	864.00000	454.50000	 	 	 	 	819.41044	1011.78480	 	 	 	 
42	1243.50000	831.00000	 	864.00000	454.50000	 	 	 	 	 	 	 	 	 	 
43	1235.46732	825.40293	 	868.50000	451.50000	 	 	 	 	819.12472	1006.58600	*	110.16835	65.57559	 
44	1232.92556	832.69821	 	862.50000	454.50000	 	 	 	 	818.74759	1011.80264	 	 	 	 
