Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
1	688.50699	485.84990	 	594.00000	157.50000	 	160.50000	837.00000	 	 	 	 	 	 	 	 	 	 
2	689.50014	485.31432	 	594.00000	157.50000	 	160.50000	835.50000	 	 	 	 	 	 	 	 	 	 
3	690.54581	484.35220	 	594.00000	156.00000	 	160.50000	835.50000	 	715.33186	591.04645	 	 	 	 	 	 	 
4	690.77942	483.98890	 	594.00000	157.50000	 	160.50000	835.50000	 	715.37270	591.12483	 	 	 	 	 	 	 
5	690.61076	478.14135	 	594.00000	157.50000	 	159.00000	835.50000	 	713.38031	594.68353	 	 	 	 	 	 	 
6	688.64907	482.19939	 	592.50000	157.50000	 	159.00000	835.50000	 	712.92901	596.78227	 	 	 	 	 	 	 
7	690.50407	479.52560	 	592.50000	157.50000	 	157.50000	837.00000	 	712.82039	597.43708	 	 	 	 	 	 	 
8	691.02715	476.32146	 	592.50000	156.00000	 	157.50000	835.50000	 	713.09069	597.27249	 	 	 	 	 	 	 
9	689.74169	477.63607	 	594.00000	157.50000	 	159.00000	837.00000	 	713.40678	595.94586	 	 	 	 	 	 	 
10	688.79693	480.76981	 	594.00000	156.00000	 	157.50000	837.00000	 	713.89197	594.65433	 	 	 	 	 	 	 
11	688.57049	481.66621	 	594.00000	157.50000	 	157.50000	835.50000	 	713.57713	595.22386	 	 	 	 	 	 	 
12	687.88199	483.03175	 	592.50000	157.50000	 	157.50000	835.50000	 	713.43572	596.58350	 	 	 	 	 	 	 
13	686.15168	482.29732	 	591.00000	159.00000	 	156.00000	835.50000	 	713.72165	595.69305	 	 	 	 	 	 	 
14	686.89207	482.52111	 	591.00000	160.50000	 	154.50000	834.00000	 	714.22424	593.63896	 	 	 	 	 	 	 
15	685.64928	483.07540	 	589.50000	160.50000	 	154.50000	834.00000	 	714.45506	593.21425	 	 	 	 	 	 	 
16	686.15133	478.31619	 	588.00000	160.50000	 	154.50000	835.50000	 	713.86862	594.73313	 	 	 	 	 	 	 
17	684.94031	472.05274	 	588.00000	162.00000	 	154.50000	835.50000	 	714.53150	593.59688	 	 	 	 	 	 	 
18	683.58176	472.31772	 	586.50000	162.00000	 	153.00000	837.00000	 	 	 	 	 	 	 	 	 	 
19	684.43610	469.77904	 	588.00000	163.50000	 	153.00000	834.00000	 	714.26834	593.40949	*	 	 	 	 	 	 
20	683.64123	469.96572	 	588.00000	163.50000	 	153.00000	838.50000	 	 	 	 	 	 	 	 	 	 
21	684.65104	472.30791	 	589.50000	162.00000	 	153.00000	834.00000	 	714.55939	592.88302	*	 	 	 	 	 	 
22	683.52889	471.81415	 	589.50000	162.00000	 	153.00000	832.50000	 	714.21432	592.47529	 	 	 	 	 	 	 
23	682.38848	472.26810	 	591.00000	162.00000	 	154.50000	832.50000	 	713.65423	593.57464	 	 	 	 	 	 	 
24	683.80446	470.22551	 	591.00000	162.00000	 	156.00000	832.50000	 	713.28392	594.82533	 	 	 	 	 	 	 
25	683.69800	468.69728	 	591.00000	162.00000	 	153.00000	837.00000	 	713.37146	595.16847	 	 	 	 	 	 	 
26	684.24662	472.88965	 	591.00000	162.00000	 	154.50000	832.50000	 	714.10617	593.28429	 	 	 	 	 	 	 
27	683.51000	471.69495	 	591.00000	160.50000	 	154.50000	832.50000	 	713.18461	596.24055	 	 	 	 	 	 	 
28	679.10530	467.59321	 	591.00000	159.00000	 	154.50000	834.00000	 	713.10501	597.14194	 	 	 	 	 	 	 
29	681.98933	471.79015	 	589.50000	160.50000	 	154.50000	832.50000	 	713.34805	597.19854	 	 	 	 	 	 	 
30	683.23641	468.52179	 	591.00000	160.50000	 	154.50000	832.50000	 	713.51720	597.34771	 	 	 	 	 	 	 
31	684.42324	468.74691	 	591.00000	162.00000	 	154.50000	834.00000	 	714.24192	596.87603	 	 	 	 	 	 	 
32	682.95916	469.49060	 	591.00000	162.00000	 	153.00000	837.00000	 	714.00284	597.33500	 	 	 	 	 	 	 
33	680.67137	462.77880	 	589.50000	160.50000	 	154.50000	837.00000	 	713.85115	597.80629	 	 	 	 	 	 	 
34	680.06995	463.68410	 	589.50000	162.00000	 	156.00000	837.00000	 	723.00000	598.50000	 	 	 	 	 	 	 
35	673.41546	466.75570	 	589.50000	163.50000	 	156.00000	838.50000	 	713.54397	596.65369	 	 	 	 	 	 	 
36	673.59000	466.06662	 	588.00000	162.00000	 	156.00000	838.50000	 	723.00000	598.50000	 	 	 	 	 	 	 
37	 	 	 	588.00000	162.00000	 	156.00000	837.00000	 	713.99412	599.32281	 	 	 	 	 	 	 
38	 	 	 	588.00000	162.00000	 	156.00000	837.00000	 	713.53495	597.72631	 	 	 	 	 	 	 
39	677.13345	464.01340	*	589.50000	159.00000	 	156.00000	837.00000	 	723.00000	598.50000	 	 	 	 	 	 	 
40	676.90128	468.85079	 	589.50000	160.50000	 	156.00000	837.00000	 	713.12670	599.22735	 	 	 	 	 	 	 
41	676.03624	466.47418	 	591.00000	159.00000	 	156.00000	837.00000	 	723.00000	598.50000	 	 	 	 	 	 	 
42	672.83278	467.64438	 	592.50000	157.50000	 	156.00000	837.00000	 	721.50000	598.50000	 	 	 	 	 	 	 
43	672.21212	467.83538	 	592.50000	159.00000	 	156.00000	838.50000	 	713.45254	599.42312	 	 	 	 	 	 	 
44	676.70129	466.34332	 	591.00000	157.50000	 	156.00000	838.50000	 	712.99796	599.67142	 	 	 	 	 	 	 
45	676.92052	465.41642	 	591.00000	157.50000	 	156.00000	837.00000	 	712.44540	597.96449	 	 	 	 	 	 	 
46	680.68592	466.81500	 	589.50000	157.50000	 	156.00000	837.00000	 	712.70469	598.23789	 	 	 	 	 	 	 
47	683.65102	469.95314	 	591.00000	157.50000	 	156.00000	837.00000	 	 	 	 	 	 	 	 	 	 
48	683.03937	465.23624	 	591.00000	156.00000	 	154.50000	838.50000	 	 	 	 	 	 	 	 	 	 
49	684.77996	468.71900	 	591.00000	156.00000	 	154.50000	838.50000	 	712.66779	596.80943	*	 	 	 	 	 	 
50	686.95416	473.74500	 	589.50000	157.50000	 	154.50000	838.50000	 	712.59385	598.43119	 	 	 	 	 	 	 
51	688.29812	474.68080	 	588.00000	156.00000	 	154.50000	838.50000	 	 	 	 	 	 	 	 	 	 
52	688.43320	472.88675	 	586.50000	156.00000	 	156.00000	840.00000	 	 	 	 	 	 	 	 	 	 
