Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11
Tracks 1 to 11
1	883.50000	840.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	889.50000	847.50000	 	1041.00000	166.50000	 	754.50000	502.50000	 	787.50000	72.00000	 	588.00000	421.50000	 	576.00000	508.50000	 	205.50000	469.50000	 	1081.50000	241.50000	 	468.00000	63.00000	 	1020.00000	874.50000	 	777.00000	876.00000	 
3	889.50000	847.50000	 	1042.50000	166.50000	 	754.50000	501.00000	 	786.00000	73.50000	 	588.00000	421.50000	 	577.50000	504.00000	 	207.00000	469.50000	 	1078.50000	237.00000	 	468.00000	61.50000	 	1021.50000	876.00000	 	775.50000	879.00000	 
4	891.00000	847.50000	 	1041.00000	168.00000	 	754.50000	501.00000	 	784.50000	75.00000	 	589.50000	421.50000	 	576.00000	501.00000	 	210.00000	469.50000	 	1077.00000	235.50000	 	463.50000	61.50000	 	1024.50000	876.00000	 	778.50000	877.50000	 
5	891.00000	847.50000	 	1039.50000	168.00000	 	756.00000	501.00000	 	787.50000	72.00000	 	591.00000	423.00000	 	576.00000	504.00000	 	213.00000	468.00000	 	1077.00000	238.50000	 	465.00000	64.50000	 	1024.50000	879.00000	 	778.50000	877.50000	 
6	894.00000	846.00000	 	1041.00000	168.00000	 	762.00000	507.00000	 	787.50000	72.00000	 	589.50000	424.50000	 	574.50000	502.50000	 	207.00000	469.50000	 	1081.50000	237.00000	 	463.50000	67.50000	 	1027.50000	882.00000	 	780.00000	874.50000	 
7	897.00000	844.50000	 	1038.00000	169.50000	 	762.00000	508.50000	 	787.50000	72.00000	 	588.00000	426.00000	 	574.50000	508.50000	 	207.00000	466.50000	 	1083.00000	240.00000	 	463.50000	66.00000	 	1029.00000	882.00000	 	778.50000	874.50000	 
8	897.00000	846.00000	 	1039.50000	172.50000	 	762.00000	510.00000	 	792.00000	73.50000	 	588.00000	427.50000	 	570.00000	508.50000	 	205.50000	468.00000	 	1081.50000	243.00000	 	465.00000	64.50000	 	1024.50000	885.00000	 	778.50000	880.50000	 
9	892.50000	843.00000	 	1038.00000	172.50000	 	762.00000	510.00000	 	795.00000	70.50000	 	589.50000	427.50000	 	570.00000	508.50000	 	205.50000	468.00000	 	1086.00000	240.00000	 	468.00000	63.00000	 	1018.50000	885.00000	 	778.50000	883.50000	 
10	895.50000	843.00000	 	1036.50000	174.00000	 	760.50000	507.00000	 	796.50000	67.50000	 	592.50000	429.00000	 	574.50000	508.50000	 	205.50000	469.50000	 	1089.00000	237.00000	 	465.00000	61.50000	 	1018.50000	886.50000	 	781.50000	879.00000	 
11	894.00000	843.00000	 	1036.50000	178.50000	 	760.50000	510.00000	 	798.00000	67.50000	 	591.00000	427.50000	 	574.50000	507.00000	 	204.00000	468.00000	 	1089.00000	240.00000	 	465.00000	70.50000	 	1020.00000	888.00000	 	783.00000	877.50000	 
12	894.00000	841.50000	 	1036.50000	178.50000	 	762.00000	510.00000	 	796.50000	67.50000	 	592.50000	430.50000	 	573.00000	507.00000	 	202.50000	463.50000	 	1092.00000	237.00000	 	465.00000	70.50000	 	1023.00000	889.50000	 	783.00000	874.50000	 
13	895.50000	841.50000	 	1036.50000	177.00000	 	765.00000	507.00000	 	796.50000	66.00000	 	594.00000	429.00000	 	573.00000	508.50000	 	202.50000	462.00000	 	1093.50000	235.50000	 	468.00000	73.50000	 	1024.50000	891.00000	 	781.50000	876.00000	 
14	892.50000	840.00000	 	1035.00000	177.00000	 	765.00000	505.50000	 	792.00000	64.50000	 	594.00000	430.50000	 	573.00000	508.50000	 	202.50000	463.50000	 	1092.00000	237.00000	 	468.00000	70.50000	 	1023.00000	891.00000	 	783.00000	876.00000	 
15	891.00000	838.50000	 	1030.50000	177.00000	 	765.00000	507.00000	 	790.50000	60.00000	 	592.50000	429.00000	 	573.00000	508.50000	 	201.00000	463.50000	 	1093.50000	235.50000	 	469.50000	73.50000	 	1020.45425	892.10050	 	783.00000	879.00000	 
16	892.50000	837.00000	 	1032.00000	178.50000	 	762.00000	504.00000	 	792.00000	61.50000	 	591.00000	430.50000	 	570.00000	510.00000	 	201.00000	465.00000	 	1096.50000	238.50000	 	468.00000	70.50000	 	1021.50000	891.00000	 	784.50000	879.00000	 
17	894.00000	838.50000	 	1032.00000	178.50000	 	765.00000	504.00000	 	789.00000	60.00000	 	589.50000	429.00000	 	573.00000	508.50000	 	202.50000	468.00000	 	1101.00000	240.00000	 	465.00000	73.50000	 	1014.00000	888.00000	 	786.00000	877.50000	 
18	897.00000	840.00000	 	1035.00000	180.00000	 	763.50000	507.00000	 	789.00000	64.50000	 	588.00000	430.50000	 	573.00000	505.50000	 	198.00000	468.00000	 	1101.00000	243.00000	 	468.00000	73.50000	 	1017.00000	895.50000	 	786.00000	879.00000	 
19	898.50000	843.00000	 	1036.50000	178.50000	 	765.00000	505.50000	 	787.50000	64.50000	 	588.00000	436.50000	 	571.50000	505.50000	 	199.50000	468.00000	 	1101.00000	246.00000	 	469.50000	73.50000	 	1015.50000	897.00000	 	786.00000	877.50000	 
20	897.00000	841.50000	 	1036.50000	178.50000	 	762.00000	508.50000	 	789.00000	63.00000	 	586.50000	438.00000	 	570.00000	504.00000	 	199.50000	471.00000	 	1099.50000	244.50000	 	466.50000	78.00000	 	1011.00000	898.50000	 	787.50000	880.50000	 
21	898.50000	843.00000	 	1036.50000	177.00000	 	760.50000	511.50000	 	789.00000	61.50000	 	591.00000	439.50000	 	571.50000	507.00000	 	199.50000	472.50000	 	1099.50000	247.50000	 	462.00000	75.00000	 	1011.00000	898.50000	 	790.50000	876.00000	 
22	898.50000	841.50000	 	1038.00000	178.50000	 	760.50000	513.00000	 	792.00000	63.00000	 	591.00000	442.50000	 	573.00000	505.50000	 	195.00000	472.50000	 	1101.00000	246.00000	 	468.00000	75.00000	 	1012.50000	897.00000	 	792.00000	879.00000	 
23	898.50000	844.50000	 	1036.50000	175.50000	 	762.00000	516.00000	 	795.00000	64.50000	 	591.00000	444.00000	 	571.50000	505.50000	 	196.50000	474.00000	 	1099.50000	247.50000	 	469.50000	76.50000	 	1014.00000	897.00000	 	793.50000	882.00000	 
24	897.00000	847.50000	 	1033.50000	175.50000	 	759.00000	517.50000	 	793.50000	61.50000	 	591.00000	442.50000	 	571.50000	505.50000	 	196.50000	474.00000	 	1099.50000	246.00000	 	475.50000	75.00000	 	1017.00000	897.00000	 	792.00000	877.50000	 
25	897.00000	847.50000	 	1032.00000	175.50000	 	760.50000	514.50000	 	795.00000	60.00000	 	591.00000	441.00000	 	570.00000	505.50000	 	192.00000	471.00000	 	1096.50000	246.00000	 	474.00000	72.00000	 	1015.50000	892.50000	 	795.00000	880.50000	 
26	898.50000	849.00000	 	1032.00000	177.00000	 	760.50000	517.50000	 	795.00000	60.00000	 	588.00000	441.00000	 	570.00000	505.50000	 	196.50000	475.50000	 	1095.00000	250.50000	 	475.50000	72.00000	 	1017.00000	894.00000	 	796.50000	879.00000	 
27	900.00000	847.50000	 	1030.50000	175.50000	 	763.50000	517.50000	 	795.00000	61.50000	 	582.00000	442.50000	 	571.50000	507.00000	 	199.50000	475.50000	 	1093.50000	250.50000	 	472.50000	70.50000	 	1019.97934	890.81694	 	801.00000	882.00000	 
28	897.00000	847.50000	 	1027.50000	177.00000	 	760.50000	517.50000	 	798.00000	61.50000	 	583.50000	444.00000	 	571.50000	504.00000	 	201.00000	475.50000	 	1095.00000	250.50000	 	472.50000	72.00000	 	1012.50000	888.00000	 	798.00000	880.50000	 
29	897.00000	849.00000	 	1026.00000	174.00000	 	760.50000	517.50000	 	804.00000	63.00000	 	585.00000	442.50000	 	570.00000	502.50000	 	202.50000	475.50000	 	1095.00000	252.00000	 	472.50000	70.50000	 	1017.00000	885.00000	 	801.00000	882.00000	 
30	900.00000	849.00000	 	1027.50000	177.00000	 	759.00000	517.50000	 	801.00000	64.50000	 	582.00000	439.50000	 	570.00000	501.00000	 	202.50000	474.00000	 	1092.00000	252.00000	 	472.50000	67.50000	 	1018.50000	886.50000	 	802.50000	885.00000	 
31	898.50000	847.50000	 	1027.50000	175.50000	 	759.00000	513.00000	 	804.00000	63.00000	 	582.00000	438.00000	 	568.50000	498.00000	 	199.50000	477.00000	 	1089.00000	252.00000	 	471.00000	72.00000	 	1014.00000	882.00000	 	798.00000	886.50000	 
32	900.00000	846.00000	 	1026.00000	178.50000	 	760.50000	519.00000	 	799.50000	63.00000	 	579.00000	442.50000	 	567.00000	496.50000	 	199.50000	480.00000	 	1089.00000	250.50000	 	469.50000	76.50000	 	1015.50000	883.50000	 	799.50000	885.00000	 
33	901.50000	844.50000	 	1026.00000	186.00000	 	762.00000	517.50000	 	801.00000	61.50000	 	579.00000	442.50000	 	567.00000	493.50000	 	198.00000	475.50000	 	1092.00000	249.00000	 	472.50000	75.00000	 	1012.50000	885.00000	 	801.00000	892.50000	 
34	901.50000	843.00000	 	1018.50000	180.00000	 	765.00000	519.00000	 	804.00000	60.00000	 	583.50000	439.50000	 	570.00000	490.50000	 	195.00000	477.00000	 	1092.00000	252.00000	 	471.00000	75.00000	 	1018.50000	883.50000	 	802.50000	888.00000	 
35	898.50000	841.50000	 	1026.00000	178.50000	 	766.50000	516.00000	 	807.00000	61.50000	 	582.00000	439.50000	 	570.00000	489.00000	 	195.00000	477.00000	 	1092.00000	253.50000	 	472.50000	73.50000	 	1020.00000	885.00000	 	802.50000	888.00000	 
36	898.50000	841.50000	 	1023.00000	180.00000	 	766.50000	514.50000	 	804.00000	60.00000	 	582.00000	439.50000	 	570.00000	489.00000	 	192.00000	481.50000	 	1090.50000	249.00000	 	475.50000	73.50000	 	1023.00000	883.50000	 	802.50000	889.50000	 
37	900.00000	841.50000	 	1021.50000	180.00000	 	765.00000	516.00000	 	804.00000	60.00000	 	582.00000	439.50000	 	567.00000	490.50000	 	193.50000	484.50000	 	1090.50000	246.00000	 	474.00000	72.00000	 	1023.00000	885.00000	 	804.00000	886.50000	 
38	900.00000	840.00000	 	1026.00000	180.00000	 	762.00000	517.50000	 	802.50000	58.50000	 	582.00000	439.50000	 	571.50000	487.50000	 	192.00000	483.00000	 	1093.50000	246.00000	 	475.50000	73.50000	 	1026.00000	883.50000	 	805.50000	883.50000	 
39	898.50000	844.50000	 	1020.00000	180.00000	 	759.00000	514.50000	 	804.00000	60.00000	 	579.00000	439.50000	 	568.50000	486.00000	 	193.50000	481.50000	 	1096.50000	247.50000	 	475.50000	70.50000	 	1023.00000	883.50000	 	808.50000	883.50000	 
40	895.50000	844.50000	 	1026.00000	178.50000	 	760.50000	514.50000	 	804.00000	58.50000	 	577.50000	439.50000	 	570.00000	486.00000	 	189.00000	477.00000	 	1095.00000	249.00000	 	475.50000	73.50000	 	1026.00000	880.50000	 	810.00000	882.00000	 
41	894.00000	844.50000	 	1026.00000	180.00000	 	762.00000	514.50000	 	805.50000	57.00000	 	 	 	 	574.50000	487.50000	 	187.50000	477.00000	 	1098.00000	247.50000	 	477.00000	73.50000	 	1026.00000	879.00000	 	808.50000	882.00000	 
42	894.00000	843.00000	 	1023.00000	177.00000	 	763.50000	517.50000	 	802.50000	55.50000	 	 	 	 	573.00000	487.50000	 	184.50000	478.50000	 	1095.00000	249.00000	 	477.00000	73.50000	 	1026.00000	879.00000	 	804.00000	883.50000	 
43	895.50000	843.00000	 	1021.50000	178.50000	 	765.00000	517.50000	 	804.00000	57.00000	 	570.00000	444.00000	*	576.00000	493.50000	 	181.50000	480.00000	 	1093.50000	250.50000	 	477.00000	72.00000	 	1027.50000	880.50000	 	807.00000	888.00000	 
44	894.00000	843.00000	 	1020.00000	178.50000	 	765.00000	513.00000	 	804.00000	55.50000	 	571.50000	445.50000	 	574.50000	493.50000	 	181.50000	480.00000	 	1093.50000	253.50000	 	480.00000	73.50000	 	1029.00000	882.00000	 	805.50000	883.50000	 
45	895.50000	846.00000	 	1020.00000	181.50000	 	765.00000	516.00000	 	801.00000	61.50000	 	570.00000	444.00000	 	573.00000	496.50000	 	184.50000	483.00000	 	1096.50000	255.00000	 	480.00000	73.50000	 	1029.00000	880.50000	 	808.50000	888.00000	 
46	894.00000	844.50000	 	1021.50000	181.50000	 	768.00000	517.50000	 	804.00000	63.00000	 	568.50000	447.00000	 	571.50000	495.00000	 	186.00000	483.00000	 	1098.00000	255.00000	 	481.50000	73.50000	 	1030.50000	882.00000	 	807.00000	891.00000	 
47	897.00000	846.00000	 	1020.00000	184.50000	 	768.00000	516.00000	 	802.50000	63.00000	 	570.00000	444.00000	 	568.50000	493.50000	 	186.00000	483.00000	 	1099.50000	255.00000	 	483.00000	73.50000	 	1029.00000	883.50000	 	813.00000	891.00000	 
48	898.50000	846.00000	 	1024.50000	189.00000	 	763.50000	520.50000	 	801.00000	66.00000	 	571.50000	442.50000	 	573.00000	495.00000	 	180.00000	480.00000	 	1099.50000	255.00000	 	484.50000	76.50000	 	1029.00000	883.50000	 	810.00000	892.50000	 
49	897.00000	846.00000	 	1029.00000	187.50000	 	763.50000	519.00000	 	804.00000	63.00000	 	574.50000	439.50000	 	571.50000	493.50000	 	181.50000	478.50000	 	1099.50000	256.50000	 	483.00000	73.50000	 	1027.50000	885.00000	 	816.00000	892.50000	 
50	895.50000	847.50000	 	1026.00000	189.00000	 	766.50000	520.50000	 	805.50000	63.00000	 	576.00000	436.50000	 	576.00000	495.00000	 	180.00000	480.00000	 	1102.50000	255.00000	 	478.50000	72.00000	 	1024.50000	882.00000	 	814.50000	894.00000	 
51	894.00000	849.00000	 	1027.50000	187.50000	 	765.00000	517.50000	 	811.50000	63.00000	 	576.00000	430.50000	 	574.50000	496.50000	 	178.50000	477.00000	 	1101.00000	253.50000	 	478.50000	75.00000	 	1024.50000	883.50000	 	814.50000	897.00000	 
52	897.00000	850.50000	 	1023.00000	186.00000	 	768.00000	516.00000	 	811.50000	66.00000	 	580.50000	432.00000	 	570.00000	498.00000	 	178.50000	478.50000	 	1099.50000	250.50000	 	475.50000	75.00000	 	1023.00000	882.00000	 	816.00000	897.00000	 
53	895.50000	849.00000	 	1023.00000	183.00000	 	765.00000	516.00000	 	813.00000	69.00000	 	579.00000	427.50000	 	571.50000	496.50000	 	178.50000	481.50000	 	1098.00000	255.00000	 	475.50000	75.00000	 	1024.50000	883.50000	 	813.00000	900.00000	 
54	898.50000	850.50000	 	1024.50000	187.50000	 	763.50000	513.00000	 	813.00000	67.50000	 	580.50000	429.00000	 	570.00000	496.50000	 	171.00000	481.50000	 	1093.50000	255.00000	 	474.00000	75.00000	 	1023.00000	882.00000	 	811.50000	900.00000	 
55	900.00000	853.50000	 	1020.00000	183.00000	 	766.50000	513.00000	 	813.00000	66.00000	 	585.00000	430.50000	 	571.50000	496.50000	 	169.50000	480.00000	 	1095.00000	256.50000	 	477.00000	75.00000	 	1017.00000	877.50000	 	811.50000	898.50000	 
56	900.00000	853.50000	 	1017.00000	183.00000	 	768.00000	517.50000	 	817.50000	66.00000	 	585.00000	427.50000	 	573.00000	492.00000	 	172.50000	478.50000	 	1096.50000	261.00000	 	475.50000	78.00000	 	1015.50000	876.00000	 	811.50000	897.00000	 
57	897.00000	856.50000	 	1017.00000	183.00000	 	763.50000	514.50000	 	817.50000	63.00000	 	586.50000	430.50000	 	573.00000	490.50000	 	171.00000	478.50000	 	1098.00000	258.00000	 	475.50000	78.00000	 	1015.50000	874.50000	 	807.00000	895.50000	 
58	897.00000	859.50000	 	1018.50000	181.50000	 	766.50000	514.50000	 	820.50000	66.00000	 	585.00000	433.50000	 	573.00000	493.50000	 	174.00000	480.00000	 	1102.50000	258.00000	 	475.50000	78.00000	 	1015.50000	876.00000	 	807.00000	895.50000	 
59	897.00000	859.50000	 	1015.50000	175.50000	 	768.00000	519.00000	 	817.50000	63.00000	 	582.00000	430.50000	 	570.00000	490.50000	 	174.00000	484.50000	 	1101.00000	256.50000	 	475.50000	76.50000	 	1012.50000	871.50000	 	804.00000	892.50000	 
60	900.00000	858.00000	 	1017.00000	177.00000	 	771.00000	519.00000	 	816.00000	64.50000	 	583.50000	429.00000	 	568.50000	489.00000	 	174.00000	484.50000	 	1101.00000	255.00000	 	472.50000	75.00000	 	1012.50000	874.50000	 	802.50000	894.00000	 
61	901.50000	858.00000	 	1015.50000	180.00000	 	772.50000	517.50000	 	817.50000	64.50000	 	588.00000	430.50000	 	567.00000	487.50000	 	177.00000	486.00000	 	1102.50000	252.00000	 	469.50000	76.50000	 	1012.50000	874.50000	 	802.50000	898.50000	 
62	897.00000	861.00000	 	1014.00000	180.00000	 	769.50000	514.50000	 	813.00000	66.00000	 	588.00000	433.50000	 	567.00000	490.50000	 	178.50000	484.50000	 	1101.00000	255.00000	 	466.50000	78.00000	 	1018.50000	874.50000	 	802.50000	895.50000	 
63	895.50000	862.50000	 	1018.50000	183.00000	 	772.50000	514.50000	 	813.00000	63.00000	 	583.50000	433.50000	 	571.50000	490.50000	 	178.50000	484.50000	 	1095.00000	255.00000	 	468.00000	76.50000	 	1017.00000	873.00000	 	799.50000	894.00000	 
64	895.50000	862.50000	 	1020.00000	178.50000	 	769.50000	516.00000	 	816.00000	63.00000	 	585.00000	432.00000	 	574.50000	489.00000	 	177.00000	478.50000	 	1095.00000	252.00000	 	469.50000	73.50000	 	1021.50000	870.00000	 	799.50000	898.50000	 
65	895.50000	864.00000	 	1014.00000	177.00000	 	769.50000	517.50000	 	817.50000	64.50000	 	586.50000	429.00000	 	573.00000	489.00000	 	177.00000	477.00000	 	1093.50000	255.00000	 	471.00000	75.00000	 	1023.00000	868.50000	 	801.00000	897.00000	 
66	897.00000	864.00000	 	1017.00000	177.00000	 	766.50000	520.50000	 	820.50000	64.50000	 	585.00000	432.00000	 	573.00000	490.50000	 	177.00000	474.00000	 	1092.00000	252.00000	 	474.00000	79.50000	 	1021.50000	868.50000	 	801.00000	895.50000	 
67	895.50000	862.50000	 	1018.50000	183.00000	 	769.50000	520.50000	 	819.00000	66.00000	 	585.00000	430.50000	 	576.00000	490.50000	 	180.00000	475.50000	 	1095.00000	258.00000	 	471.00000	82.50000	 	1015.50000	874.50000	 	798.00000	895.50000	 
68	892.50000	865.50000	 	1018.50000	181.50000	 	771.00000	522.00000	 	820.50000	64.50000	 	588.00000	433.50000	 	574.50000	489.00000	 	180.00000	475.50000	 	1095.00000	258.00000	 	471.00000	84.00000	 	1015.50000	877.50000	 	793.50000	895.50000	 
69	892.50000	867.00000	 	1021.50000	183.00000	 	772.50000	523.50000	 	822.00000	64.50000	 	589.50000	436.50000	 	570.00000	490.50000	 	180.00000	475.50000	 	1099.50000	253.50000	 	472.50000	84.00000	 	1015.50000	877.50000	 	793.50000	897.00000	 
70	892.50000	862.50000	 	1020.00000	183.00000	 	771.00000	520.50000	 	826.50000	61.50000	 	591.00000	433.50000	 	571.50000	492.00000	 	178.50000	474.00000	 	1102.50000	252.00000	 	472.50000	90.00000	 	1014.00000	877.50000	 	796.50000	900.00000	 
71	891.00000	862.50000	 	1020.00000	181.50000	 	769.50000	519.00000	 	826.50000	60.00000	 	592.50000	436.50000	 	573.00000	493.50000	 	175.50000	475.50000	 	1101.00000	252.00000	 	472.50000	87.00000	 	1011.00000	880.50000	 	795.00000	898.50000	 
72	888.00000	862.50000	 	1020.00000	178.50000	 	769.50000	520.50000	 	828.00000	61.50000	 	589.50000	441.00000	 	574.50000	495.00000	 	171.00000	477.00000	 	1102.50000	253.50000	 	469.50000	91.50000	 	1006.50000	876.00000	 	798.00000	895.50000	 
73	886.50000	864.00000	 	1018.50000	178.50000	 	772.50000	523.50000	 	826.50000	60.00000	 	589.50000	445.50000	 	580.50000	498.00000	 	171.00000	480.00000	 	1098.00000	252.00000	 	471.00000	87.00000	 	1003.50000	876.00000	 	798.00000	895.50000	 
74	885.00000	865.50000	 	1014.00000	175.50000	 	772.50000	526.50000	 	828.00000	61.50000	 	591.00000	445.50000	 	582.00000	495.00000	 	171.00000	481.50000	 	1096.50000	253.50000	 	466.50000	88.50000	 	1006.50000	874.50000	 	796.50000	895.50000	 
75	883.50000	867.00000	 	1012.50000	177.00000	 	771.00000	529.50000	 	826.50000	64.50000	 	592.50000	447.00000	 	580.50000	495.00000	 	174.00000	481.50000	 	1099.50000	256.50000	 	469.50000	84.00000	 	1006.50000	876.00000	 	793.50000	895.50000	 
76	879.00000	870.00000	 	1014.00000	175.50000	 	771.00000	531.00000	 	831.00000	72.00000	 	589.50000	448.50000	 	577.50000	496.50000	 	171.00000	478.50000	 	1102.50000	262.50000	 	468.00000	85.50000	 	1008.00000	882.00000	 	793.50000	892.50000	 
77	880.50000	870.00000	 	1015.50000	177.00000	 	772.50000	531.00000	 	832.50000	72.00000	 	588.00000	444.00000	 	579.00000	499.50000	 	171.00000	475.50000	 	1107.00000	265.50000	 	469.50000	88.50000	 	1009.50000	882.00000	 	795.00000	888.00000	 
78	877.50000	871.50000	 	1015.50000	177.00000	 	772.50000	528.00000	 	831.00000	67.50000	 	589.50000	444.00000	 	579.00000	499.50000	 	168.00000	474.00000	 	1110.00000	264.00000	 	466.50000	90.00000	 	1005.00000	883.50000	 	796.50000	888.00000	 
79	879.00000	871.50000	 	1017.00000	174.00000	 	775.50000	529.50000	 	829.50000	63.00000	 	594.00000	445.50000	 	576.00000	501.00000	 	166.50000	474.00000	 	1108.50000	264.00000	 	462.00000	88.50000	 	1008.00000	879.00000	 	796.50000	889.50000	 
80	877.50000	873.00000	 	1015.50000	177.00000	 	775.50000	528.00000	 	832.50000	64.50000	 	594.00000	444.00000	 	576.00000	501.00000	 	168.00000	474.00000	 	1107.00000	267.00000	 	462.00000	87.00000	 	1009.50000	879.00000	 	798.00000	889.50000	 
81	877.50000	873.00000	 	1015.50000	177.00000	 	780.00000	526.50000	 	832.50000	64.50000	 	588.00000	439.50000	 	576.00000	501.00000	 	165.00000	475.50000	 	1105.50000	264.00000	 	465.00000	90.00000	 	1006.50000	882.00000	 	799.50000	889.50000	 
82	879.00000	877.50000	 	1012.50000	177.00000	 	781.50000	526.50000	 	829.50000	66.00000	 	588.00000	436.50000	 	577.50000	499.50000	 	166.50000	474.00000	 	1105.50000	265.50000	 	463.50000	88.50000	 	1009.50000	880.50000	 	796.50000	888.00000	 
83	882.00000	877.50000	 	1014.00000	174.00000	 	783.00000	525.00000	 	825.00000	69.00000	 	 	 	 	579.00000	504.00000	 	165.00000	472.50000	 	1108.50000	267.00000	 	465.00000	91.50000	 	1008.00000	885.00000	 	796.50000	889.50000	 
84	882.00000	877.50000	 	1011.00000	172.50000	 	784.50000	522.00000	 	825.00000	67.50000	 	586.50000	432.00000	*	583.50000	505.50000	 	163.50000	471.00000	 	1108.50000	267.00000	 	466.50000	91.50000	 	1006.50000	883.50000	 	795.00000	886.50000	 
85	882.00000	880.50000	 	1012.50000	174.00000	 	784.50000	522.00000	 	825.00000	64.50000	 	588.00000	429.00000	 	583.50000	505.50000	 	162.00000	474.00000	 	1108.50000	268.50000	 	469.50000	93.00000	 	1002.00000	885.00000	 	796.50000	883.50000	 
86	880.50000	879.00000	 	1017.00000	172.50000	 	784.50000	525.00000	 	825.00000	63.00000	 	589.50000	427.50000	 	585.00000	508.50000	 	162.00000	471.00000	 	1111.50000	267.00000	 	472.50000	96.00000	 	994.50000	886.50000	 	793.50000	882.00000	 
