Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8
Tracks 1 to 8
1	1011.00000	624.00000	 	732.00000	508.50000	 	793.50000	304.50000	 	544.50000	700.50000	 	558.00000	397.50000	 	1102.50000	517.50000	 	496.50000	102.00000	 	637.50000	624.00000	 
2	1011.00000	622.50000	 	732.00000	510.00000	 	790.50000	306.00000	 	543.00000	700.50000	 	558.00000	402.00000	 	1102.50000	516.00000	 	493.50000	96.00000	 	636.00000	622.50000	 
3	1012.50000	621.00000	 	732.00000	510.00000	 	790.50000	303.00000	 	544.50000	702.00000	 	555.00000	394.50000	 	1102.50000	514.50000	 	493.50000	96.00000	 	634.50000	624.00000	 
4	1008.00000	624.00000	 	732.00000	508.50000	 	792.00000	301.50000	 	541.50000	699.00000	 	549.00000	393.00000	 	1102.50000	513.00000	 	493.50000	97.50000	 	636.00000	624.00000	 
5	1009.50000	624.00000	 	730.50000	510.00000	 	789.00000	303.00000	 	541.50000	694.50000	 	547.50000	397.50000	 	1102.50000	513.00000	 	492.00000	99.00000	 	637.50000	624.00000	 
6	1012.50000	622.50000	 	729.00000	508.50000	 	789.00000	297.00000	 	542.87436	700.31340	 	546.00000	394.50000	 	1102.50000	511.50000	 	495.00000	99.00000	 	639.00000	619.50000	 
7	1012.50000	622.50000	 	729.00000	507.00000	 	789.00000	298.50000	 	541.50000	697.50000	 	547.50000	393.00000	 	1110.00000	510.00000	 	496.50000	99.00000	 	643.50000	622.50000	 
8	1008.00000	624.00000	 	729.00000	510.00000	 	790.50000	301.50000	 	540.00000	699.00000	 	549.00000	391.50000	 	1108.50000	510.00000	 	498.00000	100.50000	 	645.00000	624.00000	 
9	1008.00000	621.00000	 	727.50000	504.00000	 	789.00000	301.50000	 	538.50000	700.50000	 	547.50000	390.00000	 	1105.50000	510.00000	 	499.50000	102.00000	 	648.00000	621.00000	 
10	1006.50000	621.00000	 	727.50000	502.50000	 	792.00000	303.00000	 	540.00000	700.50000	 	544.50000	388.50000	 	1105.50000	510.00000	 	499.50000	102.00000	 	646.50000	619.50000	 
