Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11	X12	Y12	Flag12
Tracks 1 to 12
1	985.50000	610.50000	 	697.50000	696.00000	 	1221.00000	535.50000	 	736.50000	474.00000	 	393.00000	249.00000	 	1345.50000	991.50000	 	537.00000	312.00000	 	249.85118	442.52457	 	 	 	 	 	 	 	 	 	 	 	 	 
2	981.00000	612.00000	 	702.00000	697.50000	 	1221.00000	535.50000	 	735.00000	472.50000	 	396.00000	252.00000	 	1345.50000	993.00000	 	540.00000	312.00000	 	248.40166	444.40714	 	 	 	 	 	 	 	 	 	 	 	 	 
3	982.50000	609.00000	 	702.00000	697.50000	 	1222.50000	535.50000	 	733.50000	471.00000	 	399.00000	250.50000	 	1344.00000	996.00000	 	538.50000	310.50000	 	247.50000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
4	988.50000	609.00000	 	700.50000	699.00000	 	1222.50000	534.00000	 	735.00000	469.50000	 	400.50000	252.00000	 	1347.00000	993.00000	 	540.00000	309.00000	 	244.43501	454.00414	 	 	 	 	 	 	 	 	 	 	 	 	 
5	988.50000	604.50000	 	700.50000	697.50000	 	1219.50000	537.00000	 	735.00000	468.00000	 	402.00000	250.50000	 	1348.50000	988.50000	 	538.50000	309.00000	 	249.00000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
6	987.00000	607.50000	 	702.00000	696.00000	 	1218.00000	538.50000	 	735.00000	469.50000	 	399.00000	250.50000	 	1345.50000	990.00000	 	538.50000	309.00000	 	249.00000	444.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
7	985.50000	609.00000	 	697.50000	697.50000	 	1219.50000	537.00000	 	733.50000	468.00000	 	400.50000	249.00000	 	1345.50000	993.00000	 	537.00000	310.50000	 	244.50000	441.00000	 	 	 	 	 	 	 	 	 	 	 	 	 
8	987.00000	607.50000	 	699.00000	696.00000	 	1222.50000	535.50000	 	738.00000	469.50000	 	397.50000	247.50000	 	1345.50000	990.00000	 	538.50000	312.00000	 	243.00000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
9	988.50000	609.00000	 	700.50000	696.00000	 	1222.50000	538.50000	 	736.50000	471.00000	 	399.00000	243.00000	 	1347.00000	988.50000	 	538.50000	313.50000	 	244.50000	445.50000	 	 	 	 	 	 	 	 	 	 	 	 	 
