Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	514.50000	541.50000	 	207.00000	253.50000	 	678.00000	766.50000	 	 	 	 
2	514.50000	541.50000	 	207.00000	255.00000	 	684.00000	772.50000	 	 	 	 
3	513.00000	541.50000	 	207.00000	255.00000	 	678.00000	766.50000	 	 	 	 
4	514.50000	540.00000	 	207.00000	255.00000	 	687.00000	772.50000	 	 	 	 
5	513.00000	538.50000	 	207.00000	255.00000	 	691.50000	769.50000	 	 	 	 
6	514.50000	540.00000	 	207.00000	255.00000	 	696.36894	772.08907	 	 	 	 
7	514.50000	540.00000	 	207.00000	255.00000	 	685.50000	772.50000	 	 	 	 
8	516.00000	541.50000	 	207.00000	255.00000	 	687.00000	775.50000	 	 	 	 
9	517.50000	543.00000	 	207.00000	255.00000	 	694.38349	773.23962	 	 	 	 
10	514.50000	540.00000	 	207.00000	255.00000	 	688.50000	777.00000	 	 	 	 
11	513.00000	540.00000	 	207.00000	255.00000	 	685.50000	774.00000	 	 	 	 
12	514.50000	540.00000	 	207.00000	255.00000	 	685.50000	774.00000	 	 	 	 
13	514.50000	540.00000	 	207.00000	255.00000	 	685.50000	774.00000	 	 	 	 
14	519.00000	544.50000	 	207.00000	253.50000	 	685.50000	772.50000	 	 	 	 
15	514.50000	540.00000	 	207.00000	255.00000	 	685.50000	774.00000	 	 	 	 
16	514.50000	540.00000	 	207.00000	255.00000	 	685.50000	772.50000	 	 	 	 
17	519.00000	544.50000	 	207.00000	253.50000	 	685.50000	772.50000	 	 	 	 
18	520.50000	544.50000	 	207.00000	253.50000	 	684.00000	772.50000	 	 	 	 
19	519.00000	544.50000	 	207.00000	255.00000	 	682.50000	774.00000	 	 	 	 
20	519.00000	544.50000	 	207.00000	253.50000	 	685.50000	774.00000	 	 	 	 
21	519.00000	544.50000	 	207.00000	253.50000	 	682.50000	772.50000	 	 	 	 
22	519.00000	544.50000	 	207.00000	253.50000	 	685.50000	775.50000	 	 	 	 
23	519.00000	544.50000	 	207.00000	252.00000	 	690.94233	770.66685	 	 	 	 
24	520.50000	544.50000	 	210.00000	255.00000	 	684.00000	772.50000	 	 	 	 
25	517.50000	543.00000	 	207.00000	255.00000	 	681.00000	768.00000	 	 	 	 
26	517.50000	543.00000	 	207.00000	253.50000	 	684.00000	769.50000	 	 	 	 
27	517.50000	543.00000	 	211.50000	255.00000	 	685.50000	772.50000	 	 	 	 
28	517.50000	544.50000	 	207.00000	255.00000	 	681.00000	771.00000	 	 	 	 
29	519.00000	543.00000	 	207.00000	255.00000	 	685.50000	772.50000	 	 	 	 
30	519.00000	543.00000	 	207.00000	255.00000	 	685.50000	768.00000	 	 	 	 
31	519.00000	543.00000	 	207.00000	255.00000	 	681.00000	768.00000	 	 	 	 
32	519.00000	543.00000	 	208.50000	255.00000	 	682.50000	769.50000	 	 	 	 
33	519.00000	544.50000	 	208.50000	255.00000	 	682.50000	768.00000	 	 	 	 
34	519.00000	544.50000	 	207.00000	255.00000	 	682.50000	768.00000	 	 	 	 
35	519.00000	544.50000	 	207.00000	253.50000	 	685.50000	772.50000	 	 	 	 
36	519.00000	544.50000	 	207.00000	255.00000	 	681.00000	769.50000	 	 	 	 
37	520.50000	544.50000	 	207.00000	255.00000	 	684.00000	769.50000	 	 	 	 
38	520.50000	544.50000	 	207.00000	253.50000	 	682.50000	769.50000	 	 	 	 
39	520.50000	544.50000	 	207.00000	253.50000	 	681.00000	768.00000	 	 	 	 
40	520.50000	544.50000	 	207.00000	253.50000	 	679.50000	766.50000	 	 	 	 
41	520.50000	544.50000	 	207.00000	253.50000	 	681.00000	768.00000	 	 	 	 
42	520.50000	544.50000	 	207.00000	253.50000	 	682.50000	768.00000	 	 	 	 
43	520.50000	544.50000	 	207.00000	253.50000	 	682.50000	768.00000	 	 	 	 
44	520.50000	544.50000	 	205.50000	255.00000	 	681.00000	766.50000	 	 	 	 
45	520.50000	544.50000	 	205.50000	253.50000	 	682.50000	765.00000	 	 	 	 
46	519.00000	544.50000	 	208.50000	253.50000	 	682.50000	766.50000	 	 	 	 
47	520.50000	543.00000	 	208.50000	253.50000	 	682.50000	765.00000	 	 	 	 
48	519.00000	543.00000	 	208.50000	253.50000	 	681.00000	766.50000	 	 	 	 
49	520.50000	543.00000	 	205.50000	253.50000	 	681.00000	766.50000	 	 	 	 
50	520.50000	543.00000	 	211.50000	255.00000	 	681.00000	765.00000	 	 	 	 
51	517.50000	543.00000	 	207.00000	255.00000	 	684.00000	765.00000	 	 	 	 
52	520.50000	543.00000	 	207.00000	255.00000	 	682.50000	765.00000	 	 	 	 
53	519.00000	543.00000	 	208.50000	255.00000	 	686.44631	763.16845	 	 	 	 
54	519.00000	543.00000	 	209.76416	260.78171	 	686.58343	761.97695	 	 	 	 
55	522.00000	543.00000	 	210.12842	260.62226	 	681.00000	765.00000	 	 	 	 
56	519.00000	543.00000	 	208.89825	261.39414	 	686.56989	762.48418	 	 	 	 
57	517.50000	543.00000	 	208.50000	253.50000	 	684.00000	763.50000	 	 	 	 
58	520.50000	543.00000	 	209.33314	259.32892	 	681.00000	765.00000	 	 	 	 
59	519.00000	543.00000	 	207.72085	258.83380	 	679.50000	765.00000	 	 	 	 
60	517.50000	543.00000	 	207.99319	258.35543	 	678.00000	765.00000	 	 	 	 
61	519.00000	544.50000	 	207.16218	258.45500	 	685.79098	761.81958	 	 	 	 
62	519.00000	543.00000	 	207.45649	257.25784	 	685.91890	763.68111	 	 	 	 
63	519.00000	543.00000	 	207.11535	256.88839	 	685.15786	763.67435	 	 	 	 
64	519.00000	544.50000	 	207.11925	256.52509	 	 	 	 	 	 	 
65	522.00000	543.00000	 	206.13006	256.76708	 	684.94533	764.14456	*	 	 	 
66	519.00000	543.00000	 	204.33868	257.58953	 	685.11988	763.79161	 	 	 	 
67	520.50000	544.50000	 	206.48332	257.43939	 	683.74477	762.63891	 	 	 	 
68	519.00000	543.00000	 	206.90902	256.28909	 	684.00509	762.77672	 	 	 	 
69	519.00000	544.50000	 	202.50000	255.00000	 	683.86275	762.94054	 	 	 	 
70	519.00000	544.50000	 	204.00000	253.50000	 	683.99828	762.85101	 	 	 	 
71	522.00000	546.00000	 	207.93384	257.38308	 	684.91835	763.49837	 	 	 	 
72	519.00000	544.50000	 	208.82386	257.15506	 	684.16296	762.42668	 	 	 	 
73	519.00000	544.50000	 	208.07251	258.37837	 	683.30078	761.77368	 	 	 	 
74	519.00000	544.50000	 	207.00000	255.00000	 	683.67472	761.94370	 	 	 	 
75	519.00000	544.50000	 	207.34213	258.22310	 	682.89903	762.55830	 	 	 	 
76	520.50000	544.50000	 	207.91149	260.05048	 	682.61750	763.51910	 	 	 	 
77	520.50000	544.50000	 	206.47906	260.25723	 	680.46561	763.38794	 	 	 	 
78	519.00000	544.50000	 	208.50000	255.00000	 	680.32151	761.21793	 	 	 	 
79	519.00000	544.50000	 	207.95257	258.76798	 	679.72203	761.29178	 	 	 	 
80	519.00000	544.50000	 	207.52893	257.35641	 	679.59005	761.39866	 	 	 	 
81	517.50000	544.50000	 	207.55871	257.67160	 	 	 	 	 	 	 
82	519.00000	544.50000	 	207.21471	257.83911	 	 	 	 	 	 	 
83	519.00000	544.50000	 	208.50000	256.50000	 	677.47631	763.04689	*	 	 	 
84	519.00000	544.50000	 	208.50000	256.50000	 	678.68162	764.18197	 	 	 	 
85	517.50000	544.50000	 	208.50000	255.00000	 	679.65117	764.69374	 	 	 	 
86	519.00000	544.50000	 	208.50000	256.50000	 	680.07029	765.32110	 	 	 	 
87	522.00000	544.50000	 	208.50000	256.50000	 	682.45612	765.83430	 	 	 	 
88	517.50000	543.00000	 	210.00000	258.00000	 	682.57649	766.17949	 	 	 	 
89	517.50000	544.50000	 	210.00000	258.00000	 	682.33551	766.07064	 	 	 	 
90	519.00000	544.50000	 	204.93966	257.47075	 	682.01750	766.01218	 	 	 	 
91	519.00000	544.50000	 	204.81035	258.15622	 	682.97427	766.31553	 	 	 	 
92	517.50000	544.50000	 	204.26428	258.05748	 	682.05629	765.94794	 	 	 	 
93	517.50000	544.50000	 	204.83759	257.98666	 	681.21262	765.33364	 	 	 	 
