Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3
Tracks 1 to 3
1	426.00000	162.00000	 	1261.50000	483.00000	 	465.00000	765.00000	 
2	426.00000	162.00000	 	1257.00000	489.00000	 	463.50000	765.00000	 
3	424.50000	162.00000	 	1258.50000	490.50000	 	465.00000	766.50000	 
4	423.00000	154.50000	 	1257.00000	489.00000	 	465.00000	768.00000	 
5	423.00000	160.50000	 	1260.00000	486.00000	 	466.50000	766.50000	 
6	421.50000	159.00000	 	1258.50000	490.50000	 	465.00000	763.50000	 
7	421.50000	159.00000	 	1260.00000	486.00000	 	466.50000	765.00000	 
8	423.00000	159.00000	 	1260.00000	487.50000	 	466.50000	769.50000	 
9	423.00000	157.50000	 	1257.00000	486.00000	 	466.50000	766.50000	 
10	423.00000	157.50000	 	1260.00000	487.50000	 	466.50000	768.00000	 
11	423.00000	156.00000	 	1258.50000	489.00000	 	465.00000	765.00000	 
12	424.50000	160.50000	 	1257.00000	492.00000	 	466.50000	766.50000	 
13	423.00000	157.50000	 	1257.00000	493.50000	 	465.00000	766.50000	 
14	423.00000	159.00000	 	1257.00000	493.50000	 	463.50000	771.00000	 
15	423.00000	160.50000	 	1257.00000	492.00000	 	460.50000	772.50000	 
16	424.50000	160.50000	 	1257.00000	495.00000	 	460.50000	771.00000	 
17	423.00000	159.00000	 	1255.50000	493.50000	 	460.50000	772.50000	 
18	424.50000	160.50000	 	1257.00000	493.50000	 	462.00000	771.00000	 
19	421.50000	159.00000	 	1255.50000	495.00000	 	460.50000	771.00000	 
20	423.00000	160.50000	 	1254.00000	493.50000	 	460.50000	772.50000	 
21	423.00000	160.50000	 	1257.00000	489.00000	 	460.50000	771.00000	 
22	423.00000	160.50000	 	1257.00000	490.50000	 	462.00000	771.00000	 
23	423.00000	160.50000	 	1255.50000	495.00000	 	463.50000	765.00000	 
24	423.00000	157.50000	 	1255.50000	496.50000	 	463.50000	765.00000	 
25	423.00000	159.00000	 	1255.50000	495.00000	 	465.00000	768.00000	 
26	423.00000	157.50000	 	1255.50000	495.00000	 	463.50000	766.50000	 
27	423.00000	157.50000	 	1257.00000	493.50000	 	465.00000	768.00000	 
28	421.50000	157.50000	 	1258.50000	492.00000	 	465.00000	769.50000	 
29	423.00000	157.50000	 	1257.00000	489.00000	 	466.50000	771.00000	 
30	424.50000	159.00000	 	1255.50000	495.00000	 	465.00000	771.00000	 
31	423.00000	159.00000	 	1254.00000	495.00000	 	463.50000	772.50000	 
32	423.00000	157.50000	 	1254.00000	493.50000	 	465.00000	772.50000	 
33	423.00000	157.50000	 	1255.50000	492.00000	 	463.50000	774.00000	 
34	424.50000	159.00000	 	1257.00000	490.50000	 	465.00000	774.00000	 
35	424.50000	157.50000	 	1258.50000	487.50000	 	465.00000	774.00000	 
36	426.00000	157.50000	 	1258.50000	489.00000	 	465.00000	771.00000	 
37	423.00000	154.50000	 	1257.00000	489.00000	 	466.50000	772.50000	 
38	423.00000	154.50000	 	1260.00000	487.50000	 	462.00000	771.00000	 
39	423.00000	157.50000	 	1258.50000	487.50000	 	462.00000	771.00000	 
40	421.50000	154.50000	 	1258.50000	489.00000	 	465.00000	771.00000	 
41	423.00000	156.00000	 	1257.00000	489.00000	 	465.00000	772.50000	 
42	421.50000	156.00000	 	1258.50000	489.00000	 	463.50000	771.00000	 
43	423.00000	159.00000	 	1258.50000	489.00000	 	465.00000	772.50000	 
44	424.50000	156.00000	 	1261.50000	484.50000	 	460.50000	771.00000	 
45	424.50000	156.00000	 	1260.00000	489.00000	 	460.50000	772.50000	 
46	424.50000	156.00000	 	1257.00000	493.50000	 	460.50000	772.50000	 
47	424.50000	156.00000	 	1260.00000	487.50000	 	460.50000	774.00000	 
48	426.00000	156.00000	 	1257.00000	493.50000	 	460.50000	772.50000	 
49	424.50000	156.00000	 	1258.50000	495.00000	 	463.50000	775.50000	 
50	426.00000	156.00000	 	1261.50000	483.00000	 	463.50000	772.50000	 
51	424.50000	156.00000	 	1258.50000	490.50000	 	465.00000	774.00000	 
52	424.50000	154.50000	 	1261.50000	483.00000	 	465.00000	774.00000	 
53	424.50000	154.50000	 	1263.00000	483.00000	 	466.50000	772.50000	 
54	424.50000	154.50000	 	1260.00000	486.00000	 	465.00000	766.50000	 
55	424.50000	154.50000	 	1258.50000	489.00000	 	466.50000	769.50000	 
56	423.00000	153.00000	 	1258.50000	490.50000	 	463.50000	768.00000	 
57	424.50000	156.00000	 	1261.50000	486.00000	 	466.50000	769.50000	 
58	424.50000	156.00000	 	1261.50000	484.50000	 	465.00000	766.50000	 
59	424.50000	157.50000	 	1263.00000	483.00000	 	468.00000	772.50000	 
60	423.00000	157.50000	 	1261.50000	484.50000	 	465.00000	765.00000	 
61	421.50000	157.50000	 	1261.50000	484.50000	 	465.00000	763.50000	 
62	423.00000	157.50000	 	1260.00000	492.00000	 	465.00000	763.50000	 
63	424.50000	157.50000	 	1258.50000	486.00000	 	466.50000	771.00000	 
64	423.00000	159.00000	 	1261.50000	484.50000	 	465.00000	766.50000	 
65	424.50000	156.00000	 	1258.50000	486.00000	 	466.50000	769.50000	 
66	424.50000	156.00000	 	1263.00000	481.50000	 	465.00000	769.50000	 
67	423.00000	153.00000	 	1257.00000	487.50000	 	468.00000	772.50000	 
68	423.00000	159.00000	 	1260.00000	486.00000	 	466.50000	772.50000	 
69	423.00000	159.00000	 	1260.00000	486.00000	 	468.00000	775.50000	 
70	421.50000	157.50000	 	1261.50000	484.50000	 	466.50000	769.50000	 
71	421.50000	153.00000	 	1261.50000	484.50000	 	465.00000	763.50000	 
72	421.50000	153.00000	 	1260.00000	486.00000	 	465.00000	765.00000	 
73	421.50000	156.00000	 	1258.50000	486.00000	 	465.00000	762.00000	 
74	423.00000	154.50000	 	1258.50000	486.00000	 	465.00000	765.00000	 
75	421.50000	157.50000	 	1260.00000	483.00000	 	468.00000	772.50000	 
76	423.00000	154.50000	 	1257.00000	486.00000	 	466.50000	765.00000	 
77	420.00000	156.00000	 	1255.50000	492.00000	 	465.00000	765.00000	 
78	420.00000	156.00000	 	1257.00000	490.50000	 	466.50000	765.00000	 
79	420.00000	156.00000	 	1257.00000	489.00000	 	466.50000	766.50000	 
80	420.00000	156.00000	 	1257.00000	487.50000	 	466.50000	771.00000	 
81	420.00000	156.00000	 	1258.50000	490.50000	 	468.00000	771.00000	 
82	420.00000	156.00000	 	1263.00000	483.00000	 	466.50000	765.00000	 
83	420.00000	156.00000	 	1260.00000	489.00000	 	465.00000	765.00000	 
84	421.50000	153.00000	 	1261.50000	486.00000	 	463.50000	763.50000	 
85	421.50000	157.50000	 	1260.00000	487.50000	 	465.00000	768.00000	 
86	420.75000	151.50000	 	1260.00000	490.50000	 	466.50000	768.00000	 
87	421.50000	153.00000	 	1260.00000	487.50000	 	465.00000	766.50000	 
88	423.00000	153.00000	 	1261.50000	481.50000	 	466.50000	765.00000	 
89	421.50000	153.00000	 	1258.50000	490.50000	 	465.75000	768.00000	 
90	421.50000	153.00000	 	1260.00000	490.50000	 	465.00000	765.00000	 
91	423.00000	154.50000	 	1260.00000	490.50000	 	466.50000	766.50000	 
92	421.50000	156.00000	 	1258.50000	492.00000	 	466.50000	765.00000	 
93	423.00000	151.50000	 	1258.50000	490.50000	 	465.00000	768.00000	 
94	423.00000	151.50000	 	1261.50000	489.00000	 	463.50000	768.00000	 
95	423.00000	151.50000	 	1258.50000	492.00000	 	465.00000	769.50000	 
96	423.00000	151.50000	 	1258.50000	493.50000	 	465.00000	769.50000	 
97	423.00000	153.00000	 	1260.00000	490.50000	 	465.00000	769.50000	 
98	421.50000	150.00000	 	1258.50000	493.50000	 	463.50000	768.00000	 
99	422.84207	155.43349	 	1258.50000	492.00000	 	463.50000	769.50000	 
100	421.50000	150.00000	 	1260.00000	490.50000	 	460.50000	766.50000	 
101	423.00000	151.50000	 	1260.00000	489.00000	 	463.50000	769.50000	 
102	423.00000	153.00000	 	1260.00000	487.50000	 	462.00000	768.00000	 
103	423.00000	151.50000	 	1258.50000	490.50000	 	463.50000	769.50000	 
104	423.00000	153.00000	 	1257.00000	490.50000	 	462.00000	766.50000	 
105	423.00000	153.00000	 	1257.00000	492.00000	 	462.00000	769.50000	 
