Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6
Tracks 1 to 6
1	139.20731	819.36681	 	273.00000	466.50000	 	883.50000	688.50000	 	1032.00000	789.00000	 	 	 	 	 	 	 
2	 	 	 	273.00000	465.00000	 	885.00000	688.50000	 	1032.00000	789.00000	 	1210.50000	405.00000	 	 	 	 
3	 	 	 	271.50000	466.50000	 	885.00000	690.00000	 	1032.00000	789.00000	 	1219.12482	407.33261	 	 	 	 
4	140.75250	818.90887	*	273.00000	468.00000	 	883.50000	688.50000	 	1035.00000	789.00000	 	1210.50000	405.00000	 	 	 	 
5	140.95435	819.84885	 	273.00000	469.50000	 	882.00000	690.00000	 	1033.50000	789.00000	 	1212.00000	405.00000	 	 	 	 
6	139.64811	820.42984	 	273.00000	469.50000	 	883.50000	691.50000	 	1033.50000	787.50000	 	1212.00000	406.50000	 	 	 	 
7	139.36838	820.59657	 	271.50000	468.00000	 	883.50000	691.50000	 	1033.50000	787.50000	 	1209.00000	408.00000	 	 	 	 
8	138.21455	821.55996	 	273.00000	468.00000	 	883.50000	690.00000	 	1035.00000	786.00000	 	1210.50000	408.00000	 	 	 	 
9	137.09028	821.88794	 	271.50000	471.00000	 	883.50000	690.00000	 	1033.50000	787.50000	 	 	 	 	 	 	 
10	137.11479	822.68054	 	270.00000	472.50000	 	883.50000	691.50000	 	1033.50000	787.50000	 	1210.50000	409.50000	*	 	 	 
11	135.86730	823.54618	 	270.00000	472.50000	 	883.50000	691.50000	 	1033.50000	786.00000	 	1210.50000	409.50000	 	 	 	 
12	135.57975	824.02116	 	267.00000	472.50000	 	883.50000	690.00000	 	1035.00000	784.50000	 	1209.00000	406.50000	 	 	 	 
13	136.02947	822.39532	 	268.50000	471.00000	 	882.00000	690.00000	 	1035.00000	786.00000	 	1207.50000	406.50000	 	 	 	 
14	136.14057	821.84847	 	270.00000	469.50000	 	883.50000	690.00000	 	1035.00000	784.50000	 	1207.50000	408.00000	 	 	 	 
15	138.82251	820.05503	 	268.50000	468.00000	 	882.00000	688.50000	 	1035.00000	786.00000	 	1207.50000	409.50000	 	 	 	 
16	136.91607	823.67592	 	270.00000	469.50000	 	882.00000	690.00000	 	1036.50000	786.00000	 	1207.50000	409.50000	 	 	 	 
