Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9
Tracks 1 to 9
1	1177.50000	466.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	1177.50000	465.00000	 	1212.00000	241.50000	 	120.52968	707.63980	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	1177.50000	465.00000	 	1212.00000	241.50000	 	129.00000	709.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
4	 	 	 	1212.00000	241.50000	 	129.00000	709.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
5	1179.00000	466.50000	*	1212.00000	241.50000	 	129.00000	709.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
6	1179.00000	466.50000	 	1201.94584	242.05940	 	122.76320	704.09504	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	1177.50000	468.00000	 	 	 	 	129.00000	709.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	1179.00000	466.50000	 	1212.00000	241.50000	*	121.36285	705.87215	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	1179.00000	468.00000	 	1212.00000	241.50000	 	120.80785	707.00925	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	1177.50000	471.00000	 	1206.24161	249.51068	 	130.50000	709.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	1178.93706	477.53957	 	 	 	 	122.34251	704.79497	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
12	1179.00000	469.50000	 	1212.00000	241.50000	*	120.16912	709.32877	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
