Frame	X1	Y1	Flag1
Tracks 1 to 1
1	669.00000	267.00000	 
2	669.00000	268.50000	 
3	667.50000	268.50000	 
4	667.50000	267.00000	 
5	667.50000	267.00000	 
6	666.00000	267.00000	 
7	667.50000	267.00000	 
8	667.50000	265.50000	 
9	667.50000	265.50000	 
10	664.72938	273.83981	 
11	666.00000	265.50000	 
12	666.00000	265.50000	 
13	667.50000	265.50000	 
14	667.50000	267.00000	 
15	669.00000	267.00000	 
16	667.50000	267.00000	 
17	667.50000	265.50000	 
18	666.00000	265.50000	 
19	666.00000	267.00000	 
20	666.00000	267.00000	 
21	666.00000	267.00000	 
22	666.00000	267.00000	 
23	666.00000	267.00000	 
24	667.50000	267.00000	 
25	667.50000	267.00000	 
26	667.50000	267.00000	 
27	 	 	 
28	664.50000	267.00000	*
29	663.00000	267.00000	 
30	664.50000	270.00000	 
31	663.00000	268.50000	 
32	664.50000	271.50000	 
33	663.00000	270.00000	 
34	666.12649	267.57915	 
35	664.50000	270.00000	 
36	663.00000	270.00000	 
37	664.50000	268.50000	 
38	663.00000	270.00000	 
39	666.05600	264.33413	 
40	663.00000	271.50000	 
41	661.50000	273.00000	 
42	661.50000	273.00000	 
43	663.00000	273.00000	 
44	663.00000	273.00000	 
45	663.00000	273.00000	 
46	663.00000	271.50000	 
47	663.00000	273.00000	 
48	 	 	 
49	664.50000	273.00000	*
50	666.00000	273.00000	 
51	663.78660	264.39295	 
52	663.91275	264.28517	 
53	667.50000	273.00000	 
54	 	 	 
55	666.00000	274.50000	*
56	666.00000	274.50000	 
57	 	 	 
58	 	 	 
59	666.00000	274.50000	*
60	664.41610	264.42912	 
61	667.50000	274.50000	 
62	 	 	 
63	 	 	 
64	664.50000	273.00000	*
65	664.50000	273.00000	 
66	664.50000	274.50000	 
67	663.00000	274.50000	 
68	663.00000	273.00000	 
69	663.00000	273.00000	 
70	 	 	 
71	666.00000	271.50000	*
72	664.50000	273.00000	 
73	 	 	 
74	 	 	 
75	 	 	 
76	665.17318	264.34779	*
77	666.00000	276.00000	 
78	664.50000	276.00000	 
79	665.57220	264.43999	 
80	665.52455	264.46315	 
81	666.00000	276.00000	 
82	664.50000	277.50000	 
83	664.50000	276.00000	 
84	664.50000	276.00000	 
85	666.00000	276.00000	 
86	666.00000	276.00000	 
87	665.12228	264.33859	 
88	666.00000	274.50000	 
89	665.28280	264.46880	 
90	663.00000	276.00000	 
91	664.50000	274.50000	 
92	666.00000	274.50000	 
93	 	 	 
94	 	 	 
95	664.50000	274.50000	*
96	 	 	 
97	663.78307	264.34272	*
98	664.44264	264.25033	 
99	667.50000	274.50000	 
100	 	 	 
101	666.43570	264.26293	*
102	666.38838	264.41461	 
103	 	 	 
104	666.29668	263.84283	*
105	664.50000	274.50000	 
106	 	 	 
107	666.00000	273.00000	*
108	 	 	 
109	 	 	 
110	667.50000	273.00000	*
111	 	 	 
112	 	 	 
113	 	 	 
114	667.50000	273.00000	*
115	 	 	 
116	 	 	 
117	667.50000	270.00000	*
118	667.50000	270.00000	 
119	666.00000	271.50000	 
120	 	 	 
121	667.50000	271.50000	*
122	664.50000	273.00000	 
123	664.50000	271.50000	 
124	666.76960	264.66294	 
125	664.50000	270.00000	 
126	664.50000	270.00000	 
127	664.55803	262.58819	 
128	 	 	 
129	666.71495	264.94835	*
130	665.77503	266.53913	 
131	663.81450	263.85341	 
132	666.04904	264.09502	 
133	663.00000	271.50000	 
134	666.03134	264.02975	 
135	664.50000	273.00000	 
136	667.27570	264.71951	 
137	663.00000	271.50000	 
138	663.00000	271.50000	 
139	663.00000	270.00000	 
140	661.50000	270.00000	 
141	661.50000	268.50000	 
142	661.50000	268.50000	 
143	661.50000	267.00000	 
144	661.50000	268.50000	 
145	661.50000	267.00000	 
146	661.50000	265.50000	 
147	661.50000	265.50000	 
148	663.00000	265.50000	 
149	663.00000	265.50000	 
150	661.50000	264.00000	 
151	667.30700	273.59119	 
152	663.00000	265.50000	 
153	667.41119	273.84199	 
154	 	 	 
155	663.00000	265.50000	*
156	668.01413	273.45092	 
157	668.08918	273.15845	 
158	660.00000	264.00000	 
159	667.52571	273.39310	 
160	667.21769	273.31377	 
161	666.88811	273.63694	 
162	666.78796	273.77385	 
163	666.44308	273.72251	 
164	666.46348	273.78278	 
165	665.83538	273.83457	 
166	666.50611	273.81396	 
167	666.99676	273.77539	 
168	 	 	 
169	666.99385	273.77736	*
170	663.00000	265.50000	 
171	663.00000	267.00000	 
172	661.50000	265.50000	 
173	663.00000	265.50000	 
174	 	 	 
175	 	 	 
176	 	 	 
177	 	 	 
178	 	 	 
179	666.80325	274.89678	*
180	667.79541	275.44446	 
181	663.00000	267.00000	 
182	 	 	 
183	 	 	 
184	663.00000	264.00000	*
185	 	 	 
186	 	 	 
187	 	 	 
188	666.00000	264.00000	*
189	 	 	 
190	 	 	 
191	 	 	 
192	664.50000	265.50000	*
193	 	 	 
194	663.00000	267.00000	*
195	663.00000	267.00000	 
196	663.00000	265.50000	 
197	663.00000	267.00000	 
198	663.00000	268.50000	 
199	 	 	 
200	666.00000	267.00000	*
201	666.00000	267.00000	 
202	 	 	 
203	 	 	 
204	 	 	 
205	 	 	 
206	 	 	 
207	 	 	 
208	666.00000	265.50000	*
209	667.50000	265.50000	 
210	667.50000	265.50000	 
211	666.00000	267.00000	 
212	666.00000	267.00000	 
213	666.00000	267.00000	 
214	667.50000	268.50000	 
215	666.00000	268.50000	 
216	666.00000	270.00000	 
217	667.50000	271.50000	 
218	667.50000	270.00000	 
219	667.50000	270.00000	 
220	667.50000	271.50000	 
221	667.50000	271.50000	 
222	667.50000	268.50000	 
223	663.53185	270.60820	 
224	666.81424	268.79032	 
225	666.69966	274.69425	 
226	664.50000	268.50000	 
227	663.00000	270.00000	 
228	661.50000	270.00000	 
229	663.00000	270.00000	 
230	663.00000	271.50000	 
231	664.50000	270.00000	 
232	664.50000	270.00000	 
233	663.00000	270.00000	 
234	667.57937	269.13238	 
235	664.50000	268.50000	 
236	664.50000	268.50000	 
237	661.50000	267.00000	 
238	663.00000	268.50000	 
239	661.50000	267.00000	 
240	663.00000	265.50000	 

Track 	Length	Distance traveled	Nr of Frames
1	585.97302	6.18466	191
