Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4	X5	Y5	Flag5	X6	Y6	Flag6	X7	Y7	Flag7	X8	Y8	Flag8	X9	Y9	Flag9	X10	Y10	Flag10	X11	Y11	Flag11
Tracks 1 to 11
1	631.69033	336.47001	 	649.29990	637.37195	 	285.28479	1026.76321	 	354.25232	628.45269	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
2	629.00597	338.93988	 	648.40659	639.46994	 	288.00000	1012.50000	 	337.01285	625.09026	 	644.23070	322.07310	 	795.32367	607.71384	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
3	624.93379	339.35160	 	650.13777	637.56775	 	286.50000	1012.50000	 	339.99181	626.75305	 	644.50606	325.18608	 	797.96445	608.02108	 	687.12139	599.41618	 	 	 	 	 	 	 	 	 	 	 	 	 
4	623.42784	340.54155	 	650.63221	637.55688	 	285.00000	1011.00000	 	340.69832	625.69613	 	642.32380	325.49937	 	794.22053	609.11070	 	687.24682	604.62704	 	 	 	 	 	 	 	 	 	 	 	 	 
5	623.18019	341.05928	 	650.21378	638.28615	 	291.00000	1014.00000	 	342.56752	630.96752	 	641.12467	324.58643	 	795.20637	609.53408	 	680.79130	598.24348	 	 	 	 	 	 	 	 	 	 	 	 	 
6	637.23340	354.79229	 	649.12039	638.55530	 	289.82635	1018.25861	 	339.90780	632.11607	 	637.89524	329.56186	 	794.62489	607.72523	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
7	637.98182	353.78990	 	650.03343	638.18158	 	291.00000	1011.00000	 	340.74903	630.77527	 	636.01694	328.37856	 	794.55954	607.83920	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
8	637.03091	354.92274	 	649.45241	638.49012	 	286.50000	1008.00000	 	344.71222	634.73422	 	638.57250	329.90055	 	794.96190	610.38842	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
9	621.79696	341.62343	 	649.18577	639.01347	 	285.46395	1018.45986	 	344.57727	636.99355	 	640.26673	326.87378	 	794.24137	607.39110	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
10	621.14875	342.23800	 	650.82877	637.38838	 	283.52428	1022.69415	 	346.33707	638.22284	 	638.43850	328.46847	 	792.93811	606.77027	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
11	637.35149	354.21040	 	651.36996	636.08895	 	285.00000	1017.00000	 	344.51610	636.54136	 	635.99172	329.53008	 	793.07657	605.19307	 	688.85217	596.22609	*	 	 	 	 	 	 	 	 	 	 	 	 
12	637.01533	354.82184	 	650.80011	636.81200	 	285.00000	1017.00000	 	345.10083	632.42912	 	636.22481	329.53744	 	790.61768	605.53367	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
13	618.93103	343.59091	 	652.17302	635.19099	 	286.50000	1012.50000	 	345.00000	630.00000	 	636.47662	329.98008	 	787.55462	608.74112	 	688.69922	592.39844	*	 	 	 	 	 	 	 	 	 	 	 	 
14	618.42424	343.46890	 	650.64073	637.02675	 	288.00000	1012.50000	 	345.00000	633.00000	 	636.58273	331.11729	 	788.71774	606.81279	 	683.05479	592.28082	 	 	 	 	 	 	 	 	 	 	 	 	 
15	619.27096	343.18114	 	650.01534	637.06149	 	286.50000	1014.00000	 	347.88905	630.52612	 	636.15002	328.82727	 	790.01690	607.31495	 	675.35714	589.06429	 	 	 	 	 	 	 	 	 	 	 	 	 
16	637.58724	354.07317	 	652.02496	635.42413	 	286.50000	1014.00000	 	343.89528	629.32536	 	633.10846	329.32346	 	793.50000	609.00000	 	684.30795	596.06457	 	 	 	 	 	 	 	 	 	 	 	 	 
17	637.16468	354.16706	 	652.37150	634.81551	 	288.00000	1014.00000	 	344.14195	630.04813	 	634.50000	327.00000	 	793.50000	612.00000	 	691.71390	593.30790	 	 	 	 	 	 	 	 	 	 	 	 	 
18	636.51935	354.77742	 	653.14019	633.86984	 	286.50000	1012.50000	 	340.62065	631.46724	 	635.33702	326.28449	 	793.59689	610.72551	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
19	635.52310	355.34488	 	653.74462	632.81544	 	285.65506	1021.17843	 	345.03000	628.71613	 	636.14766	330.35619	 	794.48416	607.21844	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
20	637.26545	354.35112	 	654.51307	632.27326	 	283.46355	1021.35934	 	342.80376	627.31473	 	635.28886	331.83079	 	796.83244	608.39422	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
21	637.57303	353.72472	 	654.17665	632.72632	 	280.21305	1023.48961	 	341.38433	629.59594	 	633.32587	329.61388	 	797.44007	607.65274	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
22	635.45655	354.85052	 	653.98787	632.98516	 	279.11498	1023.20864	 	342.28396	626.03951	 	631.92918	332.87875	 	796.59322	607.01736	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
23	633.36648	355.37654	 	 	 	 	279.00000	1017.00000	 	344.16374	626.55467	 	631.57194	332.27414	 	795.03598	603.07022	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
24	 	 	 	655.24433	632.55679	*	280.50000	1015.50000	 	343.71328	625.79195	 	632.16444	334.75746	 	794.22876	606.16757	 	689.31009	603.12018	*	 	 	 	 	 	 	 	 	 	 	 	 
25	636.12157	354.98039	*	654.74692	632.64908	 	281.11223	1022.99129	 	343.29895	627.74352	 	629.98112	333.89371	 	794.68564	605.77864	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
26	634.83807	355.59801	 	653.09066	633.45646	 	282.37511	1021.74602	 	343.31713	626.60766	 	627.64434	334.35643	 	798.26181	602.14070	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
27	 	 	 	653.85185	633.39552	 	285.00000	1015.50000	 	341.88324	627.10832	 	627.00000	337.50000	 	795.90419	602.61120	 	691.49368	603.17439	*	 	 	 	 	 	 	 	 	 	 	 	 
28	 	 	 	654.42183	632.89969	 	285.00000	1014.00000	 	341.75804	625.74070	 	627.73701	338.78404	 	795.85446	602.10943	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
29	 	 	 	653.66802	634.09742	 	283.45923	1018.94083	 	341.80016	627.00110	 	627.09930	343.47574	 	796.92138	601.19785	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
30	 	 	 	653.36700	634.91823	 	285.02373	1020.34679	 	340.86629	624.48187	 	627.02792	344.86495	 	800.94916	600.19296	 	699.82648	607.86073	*	 	 	 	 	 	 	 	 	 	 	 	 
31	 	 	 	654.24085	634.08665	 	286.84918	1019.10617	 	340.03171	623.47430	 	628.50000	345.00000	 	801.46458	599.56914	 	699.50447	602.65884	 	 	 	 	 	 	 	 	 	 	 	 	 
32	 	 	 	654.67780	633.36792	 	289.50000	1009.50000	 	340.90617	622.43427	 	628.62597	345.12152	 	800.23156	600.26627	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
33	 	 	 	653.43296	634.39412	 	289.50000	1009.50000	 	340.70367	622.96830	 	628.72055	345.04883	 	799.75851	598.91249	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
34	 	 	 	653.73368	634.85754	 	289.50000	1009.50000	 	340.56008	623.82610	 	631.13993	343.13143	 	798.27977	602.50778	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
35	 	 	 	653.89083	634.84286	 	289.50000	1011.00000	 	342.00000	627.00000	 	632.57372	344.20048	 	797.20847	600.27683	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
36	 	 	 	653.79755	634.67945	 	291.00000	1012.50000	 	343.48918	629.19206	 	634.02479	343.18944	 	799.54708	598.91631	 	698.50817	599.16993	*	 	 	 	 	 	 	 	 	 	 	 	 
37	 	 	 	654.13373	634.16514	 	288.00000	1012.50000	 	342.68029	631.35947	 	633.43659	342.62246	 	801.87533	599.21070	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
38	 	 	 	654.84519	632.46192	 	292.50000	1009.50000	 	341.46212	634.22504	 	632.66574	341.08036	 	801.98180	599.32285	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
39	 	 	 	 	 	 	294.00000	1011.00000	 	340.78940	634.97881	 	632.28455	339.91803	 	801.55397	599.55530	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
40	 	 	 	655.56402	632.79955	*	294.00000	1008.00000	 	342.63756	635.07473	 	630.88543	342.39408	 	802.51839	604.68236	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
41	 	 	 	670.13542	622.77652	 	291.00000	1005.00000	 	341.88514	634.73365	 	630.38898	344.18796	 	801.35000	600.55194	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
42	 	 	 	 	 	 	287.32774	1014.18206	 	341.74905	632.61386	 	631.57637	343.73813	 	800.65582	602.50173	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
43	 	 	 	 	 	 	286.13775	1014.29127	 	339.90280	631.15423	 	629.66085	345.31274	 	800.39287	602.68408	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
44	 	 	 	 	 	 	289.50000	1009.50000	 	341.58271	629.42481	 	630.52785	346.70002	 	801.85189	598.05734	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
45	 	 	 	668.37092	623.66886	*	287.32270	1018.13986	 	342.52978	629.83133	 	629.58560	348.28561	 	803.48521	597.91164	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
46	 	 	 	666.61259	624.47084	 	292.50000	1015.50000	 	342.47920	631.27587	 	629.65348	345.46757	 	805.35757	597.49571	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
47	 	 	 	666.59427	625.18430	 	288.66574	1022.87921	 	339.61933	627.49616	 	629.75999	344.81257	 	803.29659	599.49355	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
48	 	 	 	665.28790	626.25349	 	292.50000	1017.00000	 	340.80044	626.07447	 	631.54499	347.07644	 	800.12991	595.73213	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
49	 	 	 	653.81946	633.32975	 	288.00000	1017.00000	 	343.77329	621.89010	 	628.72985	343.54184	 	800.37198	602.51190	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
50	 	 	 	651.55512	635.66994	 	289.50000	1017.00000	 	342.08710	622.65656	 	628.38915	343.87660	 	804.28264	603.67005	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
51	 	 	 	649.28932	637.38826	 	292.50000	1018.50000	 	340.34915	626.53947	 	627.65795	342.77699	 	808.57727	602.24232	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
52	 	 	 	650.49465	636.45541	 	292.50000	1021.50000	 	339.98814	623.54264	 	626.24819	341.99729	 	807.86897	599.41207	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
53	 	 	 	650.18676	636.84415	 	294.00000	1021.50000	 	339.51986	624.83026	 	623.05365	336.84740	 	804.16122	598.68873	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
54	 	 	 	651.35301	635.34959	 	292.50000	1018.50000	 	336.71692	626.83383	 	622.57530	337.40926	 	804.21320	604.19802	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
55	 	 	 	648.96415	638.57233	 	294.00000	1023.00000	 	337.10853	626.97114	 	618.30090	336.35198	 	806.32605	598.96334	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
56	 	 	 	649.60740	637.81052	 	294.00000	1024.50000	 	340.77604	621.88687	 	617.76745	334.42904	 	804.55890	602.73203	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
57	 	 	 	647.51046	640.33487	 	292.50000	1023.00000	 	340.58728	620.59520	 	618.82254	329.48129	 	805.50000	598.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
58	 	 	 	648.74224	636.96516	 	295.50000	1023.00000	 	339.16381	622.27691	 	618.77306	328.07506	 	808.50000	598.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
59	 	 	 	657.31211	631.24568	 	289.00217	1028.10323	 	339.93809	621.26554	 	621.03033	331.75015	 	810.00000	595.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
60	 	 	 	658.46558	630.29584	 	287.69124	1026.36736	 	341.39616	622.19565	 	616.75011	333.28027	 	810.00000	597.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
61	 	 	 	649.54882	637.89507	 	288.69309	1027.58137	 	338.66904	621.49031	 	616.50068	331.46149	 	811.50000	597.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
62	 	 	 	660.30568	629.86154	 	289.76699	1025.56731	 	335.98205	619.83718	 	614.56452	332.73203	 	807.00000	598.50000	 	 	 	 	356.33054	634.36402	 	 	 	 	 	 	 	 	 	 
63	 	 	 	659.81904	629.35398	 	291.92155	1025.00544	 	334.89335	618.65968	 	615.84329	335.00130	 	811.21315	601.45708	 	 	 	 	356.18750	634.45089	 	 	 	 	 	 	 	 	 	 
64	 	 	 	649.19169	638.11899	 	290.95165	1022.15646	 	335.33781	618.45985	 	614.28953	336.86729	 	810.00000	600.00000	 	 	 	 	356.12981	634.38462	 	 	 	 	 	 	 	 	 	 
65	 	 	 	648.76391	638.97550	 	289.06400	1021.36070	 	334.11068	621.14079	 	613.27871	338.61057	 	810.00000	601.50000	 	 	 	 	356.44444	634.02924	 	 	 	 	 	 	 	 	 	 
66	 	 	 	648.01356	639.60210	 	290.03614	1023.24827	 	331.65252	621.28041	 	616.76446	340.38503	 	810.00000	600.00000	 	 	 	 	356.16749	634.45813	 	 	 	 	 	 	 	 	 	 
67	 	 	 	647.10254	640.95258	 	290.11140	1024.71182	 	333.72931	624.20134	 	618.34573	340.65282	 	811.50000	601.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
68	 	 	 	648.43565	639.15575	 	288.39304	1027.35361	 	334.10159	623.50178	 	620.10909	335.34163	 	814.50000	603.00000	 	 	 	 	356.15190	634.77637	*	 	 	 	 	 	 	 	 	 
69	 	 	 	648.52004	637.61114	 	289.36731	1027.88240	 	333.88252	621.44189	 	619.67252	337.29126	 	816.00000	601.50000	 	 	 	 	355.97561	633.99593	 	 	 	 	 	 	 	 	 	 
70	 	 	 	655.09705	632.65702	 	288.20578	1029.07022	 	334.98630	620.60534	 	619.51575	338.94110	 	816.00000	598.50000	 	 	 	 	356.14027	634.53394	 	 	 	 	 	 	 	 	 	 
71	 	 	 	657.22213	630.94750	 	288.36671	1029.56583	 	338.04534	623.60956	 	621.18416	337.61881	 	816.00000	598.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
72	 	 	 	657.53242	630.03176	 	297.00000	1027.50000	 	337.24707	622.72834	 	622.16496	336.23717	 	816.00000	598.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
73	 	 	 	656.59054	630.68138	 	293.10795	1028.88725	 	335.93764	621.34914	 	623.65039	338.93754	 	819.00000	597.00000	 	 	 	 	356.17766	634.52284	*	 	 	 	 	 	 	 	 	 
74	 	 	 	654.88497	632.11527	 	288.70025	1027.62807	 	335.18948	619.54657	 	623.57764	339.02201	 	822.00000	598.50000	 	 	 	 	356.16509	634.47642	 	 	 	 	 	 	 	 	 	 
75	 	 	 	657.87871	630.54237	 	288.56395	1027.92595	 	338.07103	618.95837	 	623.99060	339.24129	 	823.50000	598.50000	 	 	 	 	356.14692	634.49289	 	 	 	 	 	 	 	 	 	 
76	 	 	 	655.64169	631.12239	 	298.50000	1024.50000	 	338.22182	617.59237	 	625.92138	340.43701	 	822.00000	600.00000	 	 	 	 	356.12381	634.51429	 	 	 	 	 	 	 	 	 	 
77	 	 	 	655.11456	631.76835	 	287.42423	1028.97216	 	337.67445	618.20369	 	628.21001	342.53157	 	820.50000	601.50000	 	 	 	 	356.13270	634.48815	 	 	 	 	 	 	 	 	 	 
78	 	 	 	656.06142	631.20188	 	291.54158	1029.19954	 	336.03023	619.82275	 	628.78889	343.53195	 	822.00000	604.50000	 	 	 	 	356.15640	634.47393	 	 	 	 	 	 	 	 	 	 
79	 	 	 	656.34439	630.57427	 	290.77167	1028.61276	 	336.03659	617.84020	 	625.91737	342.14640	 	820.98371	606.69490	 	 	 	 	354.77578	629.68085	 	 	 	 	 	 	 	 	 	 
80	 	 	 	656.21395	633.01340	 	292.84554	1027.34043	 	336.45985	621.74595	 	624.41061	342.36123	 	820.23790	610.28519	 	 	 	 	356.03493	634.54585	 	 	 	 	 	 	 	 	 	 
81	 	 	 	655.65438	633.44637	 	293.65761	1026.86378	 	336.53015	620.18204	 	625.31962	341.97318	 	822.46011	609.27907	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
82	 	 	 	653.87986	633.46838	 	297.00000	1026.00000	 	337.62775	620.74920	 	623.06541	342.23285	 	820.50000	612.00000	 	 	 	 	356.12963	634.47222	*	 	 	 	 	 	 	 	 	 
83	 	 	 	653.30175	633.52463	 	292.50000	1026.00000	 	336.45766	621.97291	 	620.55169	341.35969	 	819.00000	610.50000	 	 	 	 	355.78322	634.10490	 	 	 	 	 	 	 	 	 	 
84	 	 	 	652.35068	633.39573	 	291.00000	1027.50000	 	333.19148	624.44732	 	619.70932	342.62703	 	819.98409	610.88857	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
85	 	 	 	644.24759	644.70371	 	287.35393	1031.30057	 	332.93677	625.37543	 	618.53396	343.52307	 	817.24991	609.73470	 	 	 	 	 	 	 	676.75603	614.25172	 	 	 	 	 	 	 
86	 	 	 	645.57871	643.85090	 	288.81967	1028.44763	 	331.52939	627.91274	 	618.05919	341.74776	 	815.96271	609.33950	 	 	 	 	353.47011	628.24909	*	677.45316	613.67511	 	 	 	 	 	 	 
87	 	 	 	645.15917	644.18708	 	288.48843	1026.70312	 	330.88948	627.66357	 	618.76854	340.72985	 	814.48111	606.69619	 	 	 	 	353.45741	626.97900	 	676.76390	614.32978	 	 	 	 	 	 	 
88	 	 	 	645.91775	643.32325	 	289.46257	1028.01527	 	328.83367	627.26807	 	620.86775	341.06939	 	821.03908	608.63518	 	 	 	 	353.06042	626.76202	 	676.89129	613.60521	 	 	 	 	 	 	 
89	 	 	 	645.43850	643.97040	 	292.03683	1026.62484	 	331.53298	628.75323	 	620.91416	338.42420	 	822.94951	610.64197	 	 	 	 	353.53048	627.41070	 	675.44459	612.60814	 	 	 	 	 	 	 
90	 	 	 	651.84847	634.86340	 	290.45629	1026.18548	 	329.90798	627.09858	 	621.71804	336.11985	 	823.86408	612.67746	 	 	 	 	353.08523	626.56903	 	 	 	 	 	 	 	 	 	 
91	 	 	 	653.08092	633.35432	 	289.05729	1027.07193	 	330.45597	628.83034	 	619.87054	333.92689	 	819.94044	611.58812	 	 	 	 	353.21957	627.16587	 	 	 	 	 	 	 	 	 	 
92	 	 	 	654.16278	632.40689	 	287.46746	1027.40215	 	331.54572	629.75378	 	623.41419	333.88123	 	820.62167	612.14436	 	 	 	 	353.51075	627.76049	 	 	 	 	 	 	 	 	 	 
93	 	 	 	653.19604	632.84698	 	287.82642	1026.54963	 	330.58514	632.62405	 	621.37921	333.42399	 	818.28540	617.51091	 	 	 	 	353.38689	629.04590	 	 	 	 	 	 	 	 	 	 
94	 	 	 	651.85580	633.13100	 	288.53754	1024.88203	 	330.80889	631.93105	 	621.01629	333.79261	 	819.47897	614.16583	 	 	 	 	353.29478	626.60634	 	 	 	 	 	 	 	 	 	 
95	 	 	 	653.21222	637.28201	 	287.92149	1024.45609	 	332.72342	634.83615	 	622.86697	330.23151	 	823.21068	616.86241	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
96	 	 	 	653.77470	636.45624	 	288.42825	1025.35908	 	332.54599	632.70155	 	626.79384	330.50163	 	826.27145	616.84374	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
97	 	 	 	653.24773	637.01693	 	288.45652	1025.09091	 	338.38073	630.99910	 	622.28299	327.23270	 	825.72799	615.98449	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
98	 	 	 	645.67797	645.50866	 	288.56594	1025.47231	 	342.48737	632.44091	 	624.38125	327.05616	 	825.47839	613.60413	 	 	 	 	 	 	 	675.75878	619.46004	*	 	 	 	 	 	 
99	 	 	 	646.01647	645.54810	 	288.16890	1025.43469	 	345.43650	635.90214	 	623.71935	328.66940	 	822.70953	614.73586	 	 	 	 	 	 	 	675.56162	622.61268	 	 	 	 	 	 	 
100	 	 	 	646.62074	645.15147	 	288.42796	1024.94551	 	345.59682	633.84385	 	624.12727	326.96737	 	820.82709	615.50108	 	 	 	 	 	 	 	677.85161	623.09892	 	 	 	 	 	 	 
101	 	 	 	645.73018	643.45810	 	287.69272	1024.01930	 	343.60407	635.33539	 	622.19823	327.78874	 	821.01743	617.00510	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
102	 	 	 	646.20680	644.02225	 	291.00000	1021.50000	 	339.79956	635.21982	 	624.68268	329.09919	 	821.19900	617.70027	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
103	 	 	 	647.16297	643.01393	 	289.50000	1023.00000	 	339.73279	637.63259	 	627.00000	330.00000	 	822.49273	616.76040	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
104	 	 	 	647.12103	641.43064	 	288.00000	1024.50000	 	343.67633	640.12367	 	625.31208	329.16405	 	823.20579	617.51256	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
105	 	 	 	646.98179	642.16125	 	282.15809	1029.20884	 	345.00000	637.50000	 	624.29194	323.00561	 	820.83482	617.29430	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
106	 	 	 	651.50343	640.52708	 	283.49764	1028.35701	 	348.00000	639.00000	 	625.16092	325.26944	 	819.00000	613.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
107	 	 	 	652.41969	639.72291	 	284.49875	1029.02084	 	348.00000	637.50000	 	625.25026	326.93196	 	820.78570	612.11699	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
108	 	 	 	652.34483	640.79455	 	282.77692	1035.24178	 	346.50000	633.00000	 	622.36828	325.08923	 	819.57288	612.94054	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
109	 	 	 	649.75000	644.59686	 	283.93078	1037.59105	 	345.33907	634.52080	 	622.09053	326.29349	 	820.73272	611.06635	 	 	 	 	 	 	 	672.23333	620.44286	*	 	 	 	 	 	 
110	 	 	 	652.42916	639.69398	 	282.17398	1036.22532	 	344.79120	635.94012	 	623.45619	328.51764	 	822.31293	609.81314	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
111	 	 	 	652.98614	637.94523	 	282.60251	1036.73396	 	342.53293	633.84195	 	623.80988	328.95276	 	817.50000	606.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
112	 	 	 	652.35116	640.27143	 	281.97053	1037.18184	 	343.10905	632.50491	 	624.93899	328.86090	 	819.00000	604.50000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
113	 	 	 	652.44928	641.78146	 	283.45444	1035.38089	 	346.01072	634.47665	 	623.21628	329.64912	 	816.00000	603.00000	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 
114	 	 	 	647.75706	646.20250	 	282.43559	1033.84260	 	352.32727	631.72733	 	622.12866	326.59826	 	813.00000	603.00000	 	 	 	 	 	 	 	672.95869	625.27022	*	 	 	 	 	 	 
