Frame	X1	Y1	Flag1	X2	Y2	Flag2	X3	Y3	Flag3	X4	Y4	Flag4
Tracks 1 to 4
1	 	 	 	 	 	 	 	 	 	 	 	 
2	1213.50000	340.50000	 	 	 	 	 	 	 	 	 	 
3	1213.50000	339.00000	 	 	 	 	 	 	 	 	 	 
4	 	 	 	 	 	 	 	 	 	 	 	 
5	1215.00000	337.50000	*	 	 	 	 	 	 	 	 	 
6	 	 	 	 	 	 	 	 	 	 	 	 
7	 	 	 	 	 	 	 	 	 	 	 	 
8	1216.50000	339.00000	*	 	 	 	 	 	 	 	 	 
9	 	 	 	271.26877	446.88478	 	 	 	 	 	 	 
10	 	 	 	273.73550	444.65914	 	 	 	 	 	 	 
11	1215.00000	339.00000	*	 	 	 	 	 	 	 	 	 
12	 	 	 	 	 	 	 	 	 	 	 	 
13	1215.00000	336.00000	*	274.30924	446.95255	*	 	 	 	 	 	 
14	1218.00000	334.50000	 	274.93472	446.20333	 	 	 	 	 	 	 
15	1218.00000	339.00000	 	 	 	 	 	 	 	 	 	 
16	1218.00000	337.50000	 	 	 	 	 	 	 	 	 	 
17	1219.50000	334.50000	 	 	 	 	 	 	 	 	 	 
18	1221.00000	337.50000	 	269.88865	442.71924	*	 	 	 	 	 	 
19	1218.00000	337.50000	 	270.29478	442.08076	 	 	 	 	 	 	 
20	1215.00000	334.50000	 	271.79850	441.10244	 	 	 	 	 	 	 
21	1219.50000	336.00000	 	270.33108	441.01800	 	 	 	 	 	 	 
22	1218.00000	339.00000	 	271.23525	441.95086	 	 	 	 	 	 	 
23	1219.50000	337.50000	 	276.42286	442.96441	 	 	 	 	 	 	 
24	1221.00000	336.00000	 	275.94515	442.19766	 	 	 	 	 	 	 
25	1221.00000	337.50000	 	274.83475	442.55715	 	 	 	 	 	 	 
26	1221.00000	336.00000	 	274.26253	440.89215	 	 	 	 	 	 	 
27	1221.00000	337.50000	 	275.99703	440.42190	 	 	 	 	 	 	 
28	1222.50000	343.50000	 	272.08387	439.21139	 	 	 	 	 	 	 
29	1222.50000	342.00000	 	 	 	 	 	 	 	 	 	 
30	1222.50000	342.00000	 	 	 	 	 	 	 	 	 	 
31	1221.00000	343.50000	 	 	 	 	 	 	 	 	 	 
32	1222.50000	342.00000	 	 	 	 	 	 	 	 	 	 
33	1222.50000	340.50000	 	 	 	 	 	 	 	 	 	 
34	1227.00000	342.00000	 	 	 	 	 	 	 	 	 	 
35	1225.50000	343.50000	 	 	 	 	 	 	 	 	 	 
36	1227.00000	343.50000	 	 	 	 	 	 	 	 	 	 
37	1227.00000	342.00000	 	 	 	 	 	 	 	 	 	 
38	1228.50000	343.50000	 	 	 	 	 	 	 	 	 	 
39	1230.00000	343.50000	 	 	 	 	 	 	 	 	 	 
40	1230.00000	342.00000	 	 	 	 	 	 	 	 	 	 
41	1231.50000	345.00000	 	 	 	 	 	 	 	 	 	 
42	1234.50000	343.50000	 	 	 	 	 	 	 	 	 	 
43	1236.00000	342.00000	 	 	 	 	 	 	 	 	 	 
44	1236.00000	342.00000	 	 	 	 	 	 	 	 	 	 
45	1236.00000	342.00000	 	 	 	 	 	 	 	 	 	 
46	1234.50000	340.50000	 	 	 	 	 	 	 	 	 	 
47	1234.50000	339.00000	 	 	 	 	 	 	 	 	 	 
